a priori	/ɑ ˈpriori/
ansoitus	/ˈɑnsoitus/
antaa	/ˈɑntɑɑ/
antagonismi	/ˈɑntɑgoˌnismi/
antagonisti	/ˈɑntɑgoˌnisti/
antagonistinen	/ˈɑntɑgoˌnistinen/
antaja	/ˈɑntɑjɑ/
antarktinen	/ˈɑntɑrkˌtinen/
antasidi	/ˈɑntɑˌsidi/
antaumuksellinen	/ˈɑntɑuˌmukselˌlinen/
antaumuksellisesti	/ˈɑntɑuˌmukselliˌsesti/
antaumuksellisuus	/ˈɑntɑuˌmukselˌlisuus/
antaumus	/ˈɑntɑumus/
antautua	/ˈɑntɑuˌtuɑ/
anteeksi	/ˈɑnteeksi/
anteeksiannettava	/ˈɑnteeksiˌɑnnetˌtɑvɑ/
anteeksiantamaton	/ˈɑnteeksiˌɑntɑˌmɑton/
anteeksiantamattomasti	/ˈɑnteeksiˌɑntɑˌmɑttoˌmɑsti/
anteeksiantamattomuus	/ˈɑnteeksiˌɑntɑˌmɑttomuus/
anteeksiantamus	/ˈɑnteeksiˌɑntɑmus/
anteeksiantava	/ˈɑnteeksiˌɑntɑvɑ/
anteeksianto	/ˈɑnteeksiˌɑnto/
anteeksipyyntö	/ˈɑnteeksiˌpyyntø/
anteliaasti	/ˈɑnteliˌɑɑsti/
anteliaisuus	/ˈɑnteliˌɑisuus/
antelias	/ˈɑnteˌliɑs/
antenni	/ˈɑntenni/
antennimasto	/ˈɑntenniˌmɑsto/
antennivahvistin	/ˈɑntenniˌvɑhvistin/
anti	/ˈɑnti/
anti-	/ˈɑnti/
anti-inflammatorinen	/ˈɑntiinˌflɑmmɑˌtorinen/
antiaine	/ˈɑntiˌɑine/
antibiootti	/ˈɑntibiˌootti/
antibioottihoito	/ˈɑntibiˌoottiˌhoito/
antibioottinen	/ˈɑntibiˌoottinen/
antidepressiivi	/ˈɑntideˌpressiivi/
antigeeni	/ˈɑntiˌgeeni/
antihistamiini	/ˈɑntiˌhistɑˌmiini/
antihiukkanen	/ˈɑntihiˌukkɑnen/
antiikki	/ˈɑntiikki/
antiikkiesine	/ˈɑntiikˌkiesine/
antiikkihuonekalu	/ˈɑntiikkiˌhuoneˌkɑlu/
antiikkikynttilä	/ˈɑntiikkiˌkynttilæ/
antiikkiliike	/ˈɑntiikkiˌliike/
antiikkinahka	/ˈɑntiikkiˌnɑhkɑ/
antiikkinen	/ˈɑntiikˌkinen/
antiikva	/ˈɑntiikvɑ/
antikommunistinen	/ˈɑntiˌkommuˌnistinen/
antikristus	/ˈɑntiˌkristus/
antikvaarinen	/ˈɑntiˌkvɑɑrinen/
antikvariaatti	/ˈɑntiˌkvɑriˌɑɑtti/
antilooppi	/ˈɑntiˌlooppi/
antilooppirotta	/ˈɑntiˌlooppiˌrottɑ/
antimateria	/ˈɑntiˌmɑteˌriɑ/
antimet	/ˈɑntimet/
antimilitarismi	/ˈɑntiˌmilitɑˌrismi/
antimilitaristi	/ˈɑntiˌmilitɑˌristi/
antimilitaristinen	/ˈɑntiˌmilitɑˌristinen/
antimoni	/ˈɑntiˌmoni/
antioksidantti	/ˈɑntiˌoksiˌdɑntti/
antipartikkeli	/ˈɑntiˌpɑrtikˌkeli/
antipasto	/ˈɑntiˌpɑsto/
antipatia	/ˈɑntiˌpɑtiɑ/
antiperspirantti	/ˈɑntiˌperspiˌrɑntti/
antisankari	/ˈɑntiˌsɑnkɑri/
antisemiitti	/ˈɑntiseˌmiitti/
antisemiittinen	/ˈɑntiseˌmiittinen/
antisemiittisesti	/ˈɑntiseˌmiittiˌsesti/
antisemitismi	/ˈɑntiˌsemiˌtismi/
antisepti	/ˈɑntiˌsepti/
antiseptinen	/ˈɑntiˌseptinen/
antisosiaalinen	/ˈɑntiˌsosiˌɑɑlinen/
antistaattinen	/ˈɑntisˌtɑɑttinen/
antiteesi	/ˈɑntiˌteesi/
anto	/ˈɑnto/
antoisa	/ˈɑntoisɑ/
antoisasti	/ˈɑntoiˌsɑsti/
antoisuus	/ˈɑntoisuus/
antolainaus	/ˈɑntoˌlɑinɑus/
antolainauskorko	/ˈɑntoˌlɑinɑˌuskorko/
antologia	/ˈɑntoˌlogiɑ/
antrasiitti	/ˈɑntrɑˌsiitti/
antropologi	/ˈɑntroˌpologi/
antropologia	/ˈɑntroˌpoloˌgiɑ/
antropologinen	/ˈɑntroˌpoloˌginen/
antropologisesti	/ˈɑntroˌpologiˌsesti/
antroposofi	/ˈɑntroˌposofi/
antroposofia	/ˈɑntroˌposoˌfiɑ/
antura	/ˈɑnturɑ/
anturamaa	/ˈɑntuˌrɑmɑɑ/
anturanahka	/ˈɑnturɑˌnɑhkɑ/
anturi	/ˈɑnturi/
aortta	/ˈɑorttɑ/
apaattinen	/ˈɑpɑɑtˌtinen/
apaattisesti	/ˈɑpɑɑttiˌsesti/
apaattisuus	/ˈɑpɑɑtˌtisuus/
apaja	/ˈɑpɑjɑ/
apajapaikka	/ˈɑpɑjɑˌpɑikkɑ/
aparaatti	/ˈɑpɑˌrɑɑtti/
apartamento	/ˈɑpɑrtɑˌmento/
apartheid	/ˈɑpɑrtheid/
apartheidpolitiikka	/ˈɑpɑrtˌheidpoliˌtiikkɑ/
apassi	/ˈɑpɑssi/
apatia	/ˈɑpɑˌtiɑ/
apatiitti	/ˈɑpɑˌtiitti/
ape	/ˈɑpe/
apea	/ˈɑpeɑ/
apeasti	/ˈɑpeˌɑsti/
apeissaan	/ˈɑpeissɑɑn/
aperitiivi	/ˈɑperiˌtiivi/
apeus	/ˈɑpeus/
apeutua	/ˈɑpeuˌtuɑ/
apila	/ˈɑpilɑ/
apilaheinä	/ˈɑpilɑˌheinæ/
apilaniitty	/ˈɑpilɑˌniitty/
apilankukka	/ˈɑpiˌlɑnkukkɑ/
apilanlehti	/ˈɑpiˌlɑnlehti/
apilanurmi	/ˈɑpilɑˌnurmi/
apilapelto	/ˈɑpilɑˌpelto/
apina	/ˈɑpinɑ/
apinaihminen	/ˈɑpiˌnɑihminen/
apinalaatikko	/ˈɑpinɑˌlɑɑtikko/
apinankukka	/ˈɑpiˌnɑnkukkɑ/
apinanleipäpuu	/ˈɑpinɑnˌleipæpuu/
apinoida	/ˈɑpiˌnoidɑ/
apinointi	/ˈɑpiˌnointi/
aplodeerata	/ˈɑploˌdeerɑtɑ/
aplodeeraus	/ˈɑploˌdeerɑus/
aplodi	/ˈɑplodi/
apnea	/ˈɑpneɑ/
apokalypsi	/ˈɑpokɑˌlypsi/
apokalyptinen	/ˈɑpokɑˌlyptinen/
apokryfi	/ˈɑpoˌkryfi/
apokryfikirja	/ˈɑpoˌkryfiˌkirjɑ/
apokryfinen	/ˈɑpoˌkryfinen/
apokryfisesti	/ˈɑpoˌkryfiˌsesti/
apokryfisuus	/ˈɑpoˌkryfisuus/
apokryfisyys	/ˈɑpoˌkryfisyys/
apolloperhonen	/ˈɑpolloˌperhonen/
apologeetta	/ˈɑpoloˌgeettɑ/
apologeettinen	/ˈɑpoloˌgeettinen/
apologia	/ˈɑpoˌlogiɑ/
apoptoosi	/ˈɑpopˌtoosi/
apostoli	/ˈɑposˌtoli/
apostolinen	/ˈɑposˌtolinen/
apostolinkyyti	/ˈɑpostoˌlinkyyti/
apotti	/ˈɑpotti/
appaa	/ˈɑppɑɑ/
apparaatti	/ˈɑppɑˌrɑɑtti/
appela	/ˈɑppelɑ/
appellatiivi	/ˈɑppellɑˌtiivi/
appelsiini	/ˈɑppelˌsiini/
appelsiinimarmeladi	/ˈɑppelˌsiiniˌmɑrmeˌlɑdi/
appelsiinimehu	/ˈɑppelˌsiiniˌmehu/
appelsiininkuori	/ˈɑppelˌsiininˌkuori/
appelsiinipuu	/ˈɑppelˌsiinipuu/
appenzeller	/ˈɑppenˌzeller/
appenzellerjuusto	/ˈɑppenˌzellerˌjuusto/
appi	/ˈɑppi/
appiukko	/ˈɑppiˌukko/
appivanhemmat	/ˈɑppiˌvɑnhemmɑt/
applikaatio	/ˈɑppliˌkɑɑtio/
applikoida	/ˈɑppliˌkoidɑ/
applikointi	/ˈɑppliˌkointi/
apposen	/ˈɑpposen/
apposet	/ˈɑpposet/
appositio	/ˈɑppoˌsitio/
approbatur	/ˈɑpproˌbɑtur/
approbatur-arvosana	/ˈɑpproˌbɑtuˌrɑrvoˌsɑnɑ/
approbaturtentti	/ˈɑpprobɑˌturtentti/
aprikoida	/ˈɑpriˌkoidɑ/
aprikointi	/ˈɑpriˌkointi/
aprikoosi	/ˈɑpriˌkoosi/
aprikoosipuu	/ˈɑpriˌkoosipuu/
aprillata	/ˈɑprilˌlɑtɑ/
aprillaus	/ˈɑprilˌlɑus/
aprilli	/ˈɑprilli/
aprillipila	/ˈɑprilˌlipilɑ/
aprillipäivä	/ˈɑprilliˌpæivæ/
apriorinen	/ˈɑpriˌorinen/
apriorisesti	/ˈɑpriˌoriˌsesti/
apriorisuus	/ˈɑpriˌorisuus/
apro	/ˈɑpro/
apropoo	/ˈɑpropoo/
apteekkari	/ˈɑpteekˌkɑri/
apteekki	/ˈɑpteekki/
apteekkilaitos	/ˈɑpteekkiˌlɑitos/
apteekkiliike	/ˈɑpteekkiˌliike/
apteekkineuvos	/ˈɑpteekkiˌneuvos/
apteekkioikeus	/ˈɑpteekkiˌoikeus/
apteekkitavara	/ˈɑpteekˌkitɑˌvɑrɑ/
apu	/ˈɑpu/
apuharvennus	/ˈɑpuˌhɑrvennus/
apuhoitaja	/ˈɑpuˌhoitɑjɑ/
apujoukko	/ˈɑpujoˌukko/
apukeino	/ˈɑpuˌkeino/
apukeittiö	/ˈɑpuˌkeittiø/
apukoulu	/ˈɑpuˌkoulu/
apulainen	/ˈɑpuˌlɑinen/
apulais-	/ˈɑpulɑis/
apulaisjohtaja	/ˈɑpuˌlɑisjohˌtɑjɑ/
apulaiskaupunginjohtaja	/ˈɑpuˌlɑiskɑuˌpunginˌjohtɑjɑ/
apulaislääkäri	/ˈɑpuˌlɑislææˌkæri/
apulaisoikeusasiamies	/ˈɑpuˌlɑisoiˌkeusɑˌsiɑmies/
apulaisoikeuskansleri	/ˈɑpuˌlɑisoikeˌuskɑnsˌleri/
apulaisprofessori	/ˈɑpuˌlɑisproˌfessori/
apulaispääsihteeri	/ˈɑpuˌlɑispææsihˌteeri/
apulaistutkija	/ˈɑpuˌlɑistutˌkijɑ/
apulannoite	/ˈɑpulɑnˌnoite/
apulanta	/ˈɑpuˌlɑntɑ/
apumies	/ˈɑpumies/
apumoottori	/ˈɑpuˌmoottori/
apuneuvo	/ˈɑpuˌneuvo/
apupisto	/ˈɑpuˌpisto/
apuraha	/ˈɑpuˌrɑhɑ/
apurahasto	/ˈɑpurɑˌhɑsto/
apuri	/ˈɑpuri/
apusana	/ˈɑpuˌsɑnɑ/
aputaso	/ˈɑpuˌtɑso/
aputyövoima	/ˈɑpuˌtyøvoimɑ/
apuverbi	/ˈɑpuˌverbi/
apuviiva	/ˈɑpuˌviivɑ/
apuvoima	/ˈɑpuˌvoimɑ/
apuväline	/ˈɑpuˌvæline/
arabeski	/ˈɑrɑˌbeski/
arabi	/ˈɑrɑbi/
arabia	/ˈɑrɑˌbiɑ/
arabialainen	/ˈɑrɑˌbiɑˌlɑinen/
arabian kieli	/ˈɑrɑˌbiɑn ˈkieli/
arabianhevonen	/ˈɑrɑbiˌɑnheˌvonen/
arabikumi	/ˈɑrɑˌbikumi/
arabimaa	/ˈɑrɑˌbimɑɑ/
arabisti	/ˈɑrɑˌbisti/
arabistiikka	/ˈɑrɑbisˌtiikkɑ/
arabivaltio	/ˈɑrɑbiˌvɑltio/
aralia	/ˈɑrɑˌliɑ/
aramea	/ˈɑrɑˌmeɑ/
arastaa	/ˈɑrɑstɑɑ/
arastella	/ˈɑrɑsˌtellɑ/
arastelu	/ˈɑrɑsˌtelu/
arasti	/ˈɑrɑsti/
araukaria	/ˈɑrɑuˌkɑriɑ/
arava	/ˈɑrɑvɑ/
aravahuoneisto	/ˈɑrɑvɑˌhuoneisto/
aravalaina	/ˈɑrɑvɑˌlɑinɑ/
aravalainoittaa	/ˈɑrɑvɑˌlɑinoittɑɑ/
aravalainoitteinen	/ˈɑrɑvɑˌlɑinoitˌteinen/
aravalainoitus	/ˈɑrɑvɑˌlɑinoitus/
aravatalo	/ˈɑrɑˌvɑtɑlo/
arboretum	/ˈɑrboˌretum/
arboristi	/ˈɑrboˌristi/
arbuusi	/ˈɑrbuusi/
areena	/ˈɑreenɑ/
arenti	/ˈɑrenti/
aresti	/ˈɑresti/
arestirangaistus	/ˈɑrestiˌrɑngɑistus/
argon	/ˈɑrgon/
argumentaatio	/ˈɑrgumenˌtɑɑtio/
argumentoida	/ˈɑrgumenˌtoidɑ/
argumentointi	/ˈɑrgumenˌtointi/
argumentti	/ˈɑrguˌmentti/
arho	/ˈɑrho/
arina	/ˈɑrinɑ/
aristaa	/ˈɑristɑɑ/
aristella	/ˈɑrisˌtellɑ/
aristokraatti	/ˈɑristoˌkrɑɑtti/
aristokraattinen	/ˈɑristoˌkrɑɑttinen/
aristokraattisesti	/ˈɑristoˌkrɑɑttiˌsesti/
aristokraattisuus	/ˈɑristoˌkrɑɑttisuus/
aristokratia	/ˈɑrisˌtokrɑˌtiɑ/
aristua	/ˈɑrisˌtuɑ/
aristus	/ˈɑristus/
aritmeettinen	/ˈɑritˌmeettinen/
aritmetiikka	/ˈɑritmeˌtiikkɑ/
arjalainen	/ˈɑrjɑˌlɑinen/
arka	/ˈɑrkɑ/
arkaainen	/ˈɑrkɑɑˌinen/
arkailla	/ˈɑrkɑillɑ/
arkaismi	/ˈɑrkɑismi/
arkaistinen	/ˈɑrkɑisˌtinen/
arkaistisesti	/ˈɑrkɑistiˌsesti/
arkaistisuus	/ˈɑrkɑisˌtisuus/
arkajalka	/ˈɑrkɑˌjɑlkɑ/
arkakatseinen	/ˈɑrkɑkɑtˌseinen/
arkala	/ˈɑrkɑlɑ/
arkaluonteinen	/ˈɑrkɑˌluonteinen/
arkaluonteisuus	/ˈɑrkɑˌluonteisuus/
arkaluontoinen	/ˈɑrkɑˌluontoinen/
arkanahkainen	/ˈɑrkɑnɑhˌkɑinen/
arkeittain	/ˈɑrkeittɑin/
arkeologi	/ˈɑrkeˌologi/
arkeologia	/ˈɑrkeˌoloˌgiɑ/
arkeologinen	/ˈɑrkeˌoloˌginen/
arkeologisesti	/ˈɑrkeˌologiˌsesti/
arki	/ˈɑrki/
arki-ilta	/ˈɑrkiiltɑ/
arkiajattelu	/ˈɑrkiɑˌjɑttelu/
arkiaskare	/ˈɑrkiˌɑskɑre/
arkiateria	/ˈɑrkiˌɑteˌriɑ/
arkielämä	/ˈɑrkieˌlæmæ/
arkihuoli	/ˈɑrkiˌhuoli/
arkikieli	/ˈɑrkiˌkieli/
arkikielinen	/ˈɑrkiˌkielinen/
arkikäyttö	/ˈɑrkikæˌyttø/
arkiliikunta	/ˈɑrkiˌliikuntɑ/
arkinen	/ˈɑrkinen/
arkiolot	/ˈɑrkiˌolot/
arkipuku	/ˈɑrkiˌpuku/
arkipyhä	/ˈɑrkiˌpyhæ/
arkipäivisin	/ˈɑrkiˌpæivisin/
arkipäivä	/ˈɑrkiˌpæivæ/
arkipäiväinen	/ˈɑrkiˌpæivæinen/
arkipäiväistyä	/ˈɑrkiˌpæivæisˌtyæ/
arkipäiväistää	/ˈɑrkiˌpæivæistææ/
arkipäiväisyys	/ˈɑrkiˌpæivæisyys/
arkirealismi	/ˈɑrkiˌreɑˌlismi/
arkirealistinen	/ˈɑrkiˌreɑˌlistinen/
arkiruoka	/ˈɑrkiˌruokɑ/
arkirutiini	/ˈɑrkiruˌtiini/
arkisesti	/ˈɑrkiˌsesti/
arkisin	/ˈɑrkisin/
arkisto	/ˈɑrkisto/
arkistoaines	/ˈɑrkistoˌɑines/
arkistoida	/ˈɑrkisˌtoidɑ/
arkistointi	/ˈɑrkisˌtointi/
arkistokappale	/ˈɑrkistoˌkɑppɑle/
arkistokelpoinen	/ˈɑrkistoˌkelpoinen/
arkistonhoitaja	/ˈɑrkistonˌhoitɑjɑ/
arkistopaperi	/ˈɑrkisˌtopɑˌperi/
arkistotutkimus	/ˈɑrkistoˌtutkimus/
arkistovalokuvaus	/ˈɑrkisˌtovɑˌlokuˌvɑus/
arkistua	/ˈɑrkisˌtuɑ/
arkisuus	/ˈɑrkisuus/
arkitodellisuus	/ˈɑrkitoˌdellisuus/
arkittain	/ˈɑrkittɑin/
arkitunnelma	/ˈɑrkiˌtunnelmɑ/
arkityyli	/ˈɑrkiˌtyyli/
arkiuupumus	/ˈɑrkiˌuupumus/
arkivaate	/ˈɑrkiˌvɑɑte/
arkiviikko	/ˈɑrkiˌviikko/
arkki	/ˈɑrkki/
arkki-	/ˈɑrkki/
arkkiatri	/ˈɑrkkiˌɑtri/
arkkienkeli	/ˈɑrkkienˌkeli/
arkkiherttua	/ˈɑrkkiˌherttuɑ/
arkkiherttuatar	/ˈɑrkkiˌherttuˌɑtɑr/
arkkihiippakunta	/ˈɑrkkiˌhiippɑˌkuntɑ/
arkkikonna	/ˈɑrkkiˌkonnɑ/
arkkimandriitta	/ˈɑrkkimɑnˌdriittɑ/
arkkipiispa	/ˈɑrkkiˌpiispɑ/
arkkitehdintutkinto	/ˈɑrkkiˌtehdinˌtutkinto/
arkkitehti	/ˈɑrkkiˌtehti/
arkkitehtitoimisto	/ˈɑrkkiˌtehtiˌtoimisto/
arkkitehtoninen	/ˈɑrkkiˌtehtoˌninen/
arkkitehtonisesti	/ˈɑrkkiˌtehtoniˌsesti/
arkkitehtuuri	/ˈɑrkkitehˌtuuri/
arkkityyppi	/ˈɑrkkiˌtyyppi/
arkkiveisu	/ˈɑrkkiˌveisu/
arkkivihollinen	/ˈɑrkkiviˌhollinen/
arkku	/ˈɑrkku/
arkkuhauta	/ˈɑrkkuˌhɑutɑ/
arkkuhautaus	/ˈɑrkkuˌhɑutɑus/
arkkupakastin	/ˈɑrkkupɑˌkɑstin/
arktinen	/ˈɑrktinen/
arkullinen	/ˈɑrkulˌlinen/
arkunkansi	/ˈɑrkunˌkɑnsi/
arkuus	/ˈɑrkuus/
armada	/ˈɑrmɑdɑ/
armahainen	/ˈɑrmɑˌhɑinen/
armahdus	/ˈɑrmɑhdus/
armahdusanomus	/ˈɑrmɑhˌdusɑˌnomus/
armahtaa	/ˈɑrmɑhtɑɑ/
armahtava	/ˈɑrmɑhˌtɑvɑ/
armahtavainen	/ˈɑrmɑhtɑˌvɑinen/
armainen	/ˈɑrmɑinen/
armanjakki	/ˈɑrmɑnˌjɑkki/
armas	/ˈɑrmɑs/
armastella	/ˈɑrmɑsˌtellɑ/
armeija	/ˈɑrmeijɑ/
armeijakunta	/ˈɑrmeijɑˌkuntɑ/
armeijaryhmä	/ˈɑrmeijɑˌryhmæ/
armeliaasti	/ˈɑrmeliˌɑɑsti/
armeliaisuus	/ˈɑrmeliˌɑisuus/
armelias	/ˈɑrmeˌliɑs/
armias	/ˈɑrmiɑs/
armo	/ˈɑrmo/
armoinen	/ˈɑrmoinen/
armoitettu	/ˈɑrmoiˌtettu/
armolahja	/ˈɑrmoˌlɑhjɑ/
armoleipä	/ˈɑrmoˌleipæ/
armollinen	/ˈɑrmolˌlinen/
armollisesti	/ˈɑrmolliˌsesti/
armollisuus	/ˈɑrmolˌlisuus/
armomurha	/ˈɑrmoˌmurhɑ/
armonaika	/ˈɑrmoˌnɑikɑ/
armonanomus	/ˈɑrmoˌnɑnomus/
armonisku	/ˈɑrmoˌnisku/
armonlaukaus	/ˈɑrmonˌlɑukɑus/
armopala	/ˈɑrmoˌpɑlɑ/
armoton	/ˈɑrmoton/
armottomasti	/ˈɑrmottoˌmɑsti/
armottomuus	/ˈɑrmotˌtomuus/
aro	/ˈɑro/
aroeläin	/ˈɑroˌelæin/
arokasvi	/ˈɑroˌkɑsvi/
aromaattinen	/ˈɑroˌmɑɑttinen/
aromaterapia	/ˈɑroˌmɑteˌrɑpiɑ/
aromi	/ˈɑromi/
aromikas	/ˈɑroˌmikɑs/
aromikkuus	/ˈɑroˌmikkuus/
aromilasi	/ˈɑroˌmilɑsi/
aromisuola	/ˈɑromiˌsuolɑ/
aronia	/ˈɑroˌniɑ/
arovyöhyke	/ˈɑroˌvyøhyke/
arpa	/ˈɑrpɑ/
arpajaiset	/ˈɑrpɑˌjɑiset/
arpajaislupa	/ˈɑrpɑˌjɑislupɑ/
arpajaisvoitto	/ˈɑrpɑˌjɑisvoitto/
arpakuutio	/ˈɑrpɑˌkuutio/
arpalippu	/ˈɑrpɑˌlippu/
arpanoppa	/ˈɑrpɑˌnoppɑ/
arpaonni	/ˈɑrpɑˌonni/
arpapeli	/ˈɑrpɑˌpeli/
arpaseteli	/ˈɑrpɑˌseteli/
arpeuma	/ˈɑrpeumɑ/
arpeuttaa	/ˈɑrpeˌuttɑɑ/
arpeutua	/ˈɑrpeuˌtuɑ/
arpeutuma	/ˈɑrpeuˌtumɑ/
arpi	/ˈɑrpi/
arpikudos	/ˈɑrpiˌkudos/
arpinen	/ˈɑrpinen/
arpisuus	/ˈɑrpisuus/
arpoa	/ˈɑrpoɑ/
arrakki	/ˈɑrrɑkki/
arrakkipunssi	/ˈɑrrɑkkiˌpunssi/
arroganssi	/ˈɑrroˌgɑnssi/
arrogantisti	/ˈɑrroˌgɑntisti/
arrogantti	/ˈɑrroˌgɑntti/
arrowjuuri	/ˈɑrrowˌjuuri/
arrowjuurijauho	/ˈɑrrowˌjuuriˌjɑuho/
arseeni	/ˈɑrseeni/
arseenihappo	/ˈɑrseeniˌhɑppo/
arsenaali	/ˈɑrseˌnɑɑli/
arsenikki	/ˈɑrseˌnikki/
arsenikkimyrkytys	/ˈɑrseˌnikkiˌmyrkytys/
arteesinen	/ˈɑrteeˌsinen/
artefakti	/ˈɑrteˌfɑkti/
artenomi	/ˈɑrteˌnomi/
arteria	/ˈɑrteˌriɑ/
arterioskleroosi	/ˈɑrteriˌoskleˌroosi/
artesaani	/ˈɑrteˌsɑɑni/
artikkeli	/ˈɑrtikˌkeli/
artikkelisarja	/ˈɑrtikˌkeliˌsɑrjɑ/
artikkelitoimittaja	/ˈɑrtikˌkeliˌtoimitˌtɑjɑ/
artikla	/ˈɑrtiklɑ/
artikulaatio	/ˈɑrtikuˌlɑɑtio/
artikuloida	/ˈɑrtikuˌloidɑ/
artikulointi	/ˈɑrtikuˌlointi/
artisokka	/ˈɑrtiˌsokkɑ/
artisti	/ˈɑrtisti/
artistinen	/ˈɑrtisˌtinen/
artistisuus	/ˈɑrtisˌtisuus/
artoteekki	/ˈɑrtoˌteekki/
artriitti	/ˈɑrtriitti/
artroosi	/ˈɑrtroosi/
arvaamaton	/ˈɑrvɑɑˌmɑton/
arvaamattomasti	/ˈɑrvɑɑˌmɑttoˌmɑsti/
arvaamattomuus	/ˈɑrvɑɑˌmɑttomuus/
arvailla	/ˈɑrvɑillɑ/
arvailu	/ˈɑrvɑilu/
arvanheitto	/ˈɑrvɑnˌheitto/
arvata	/ˈɑrvɑtɑ/
arvatenkaan	/ˈɑrvɑˌtenkɑɑn/
arvatenkin	/ˈɑrvɑˌtenkin/
arvattavasti	/ˈɑrvɑttɑˌvɑsti/
arvaus	/ˈɑrvɑus/
arvauskilpailu	/ˈɑrvɑˌuskilˌpɑilu/
arvausleikki	/ˈɑrvɑusˌleikki/
arvauttaa	/ˈɑrvɑˌuttɑɑ/
arveleva	/ˈɑrveˌlevɑ/
arvelevainen	/ˈɑrveleˌvɑinen/
arvelevasti	/ˈɑrveleˌvɑsti/
arvella	/ˈɑrvellɑ/
arvelu	/ˈɑrvelu/
arveluttaa	/ˈɑrveˌluttɑɑ/
arveluttava	/ˈɑrveˌluttɑvɑ/
arveluttavasti	/ˈɑrveˌluttɑˌvɑsti/
arveluttavuus	/ˈɑrveˌluttɑvuus/
arvettua	/ˈɑrvetˌtuɑ/
arvio	/ˈɑrvio/
arviohinta	/ˈɑrvioˌhintɑ/
arvioida	/ˈɑrviˌoidɑ/
arvioija	/ˈɑrviˌoijɑ/
arvioimisperuste	/ˈɑrviˌoimispeˌruste/
arviointi	/ˈɑrviˌointi/
arvioitsija	/ˈɑrviˌoitsijɑ/
arvioittaa	/ˈɑrviˌoittɑɑ/
arviolta	/ˈɑrviˌoltɑ/
arvioluku	/ˈɑrviˌoluku/
arviomääräraha	/ˈɑrvioˌmææræˌrɑhɑ/
arvioperuste	/ˈɑrviˌopeˌruste/
arviosumma	/ˈɑrvioˌsummɑ/
arvioverotus	/ˈɑrviˌoveˌrotus/
arvo	/ˈɑrvo/
arvo-osuus	/ˈɑrvoosuus/
arvo-osuusjärjestelmä	/ˈɑrvooˌsuusjærˌjestelmæ/
arvo-osuusrekisteri	/ˈɑrvooˌsuusreˌkisteri/
arvoarvostelma	/ˈɑrvoˌɑrvosˌtelmɑ/
arvoaste	/ˈɑrvoˌɑste/
arvoasteikko	/ˈɑrvoɑsˌteikko/
arvoesine	/ˈɑrvoˌesine/
arvohenkilö	/ˈɑrvoˌhenkilø/
arvoinen	/ˈɑrvoinen/
arvoisa	/ˈɑrvoisɑ/
arvoisuus	/ˈɑrvoisuus/
arvoituksellinen	/ˈɑrvoiˌtukselˌlinen/
arvoituksellisesti	/ˈɑrvoiˌtukselliˌsesti/
arvoituksellisuus	/ˈɑrvoiˌtukselˌlisuus/
arvoitus	/ˈɑrvoitus/
arvojärjestelmä	/ˈɑrvoˌjærjesˌtelmæ/
arvojärjestys	/ˈɑrvoˌjærjestys/
arvokala	/ˈɑrvoˌkɑlɑ/
arvokas	/ˈɑrvokɑs/
arvokasvu	/ˈɑrvoˌkɑsvu/
arvokilpailu	/ˈɑrvokilˌpɑilu/
arvokilpi	/ˈɑrvoˌkilpi/
arvokisa	/ˈɑrvoˌkisɑ/
arvokkaasti	/ˈɑrvokˌkɑɑsti/
arvokkuus	/ˈɑrvokkuus/
arvollinen	/ˈɑrvolˌlinen/
arvoluokitus	/ˈɑrvoˌluokitus/
arvomaailma	/ˈɑrvoˌmɑɑilmɑ/
arvomerkintä	/ˈɑrvoˌmerkintæ/
arvomerkintäinen	/ˈɑrvoˌmerkinˌtæinen/
arvomerkki	/ˈɑrvoˌmerkki/
arvonalennus	/ˈɑrvonɑˌlennus/
arvonanto	/ˈɑrvoˌnɑnto/
arvonimi	/ˈɑrvoˌnimi/
arvonlisä	/ˈɑrvonˌlisæ/
arvonlisävero	/ˈɑrvonˌlisæˌvero/
arvonlisäverollinen	/ˈɑrvonˌlisæveˌrollinen/
arvonlisäys	/ˈɑrvonˌlisæys/
arvonnousu	/ˈɑrvonˌnousu/
arvonnousuvero	/ˈɑrvonˌnousuˌvero/
arvonta	/ˈɑrvontɑ/
arvonvähennys	/ˈɑrvonvæˌhennys/
arvopaperi	/ˈɑrvoˌpɑperi/
arvopaperikauppa	/ˈɑrvoˌpɑpeˌrikɑˌuppɑ/
arvopaperimarkkinat	/ˈɑrvoˌpɑperiˌmɑrkkinɑt/
arvopaperipörssi	/ˈɑrvoˌpɑperiˌpørssi/
arvopaperisalkku	/ˈɑrvoˌpɑperiˌsɑlkku/
arvopaperistaa	/ˈɑrvoˌpɑpeˌristɑɑ/
arvopaperistua	/ˈɑrvoˌpɑpeˌristuɑ/
arvopohja	/ˈɑrvoˌpohjɑ/
arvoposti	/ˈɑrvoˌposti/
arvopuu	/ˈɑrvopuu/
arvopäivä	/ˈɑrvoˌpæivæ/
arvosana	/ˈɑrvoˌsɑnɑ/
arvosidonnainen	/ˈɑrvosiˌdonnɑinen/
arvosidonnaisuus	/ˈɑrvosiˌdonnɑisuus/
arvosija	/ˈɑrvoˌsijɑ/
arvossapito	/ˈɑrvosˌsɑpito/
arvostaa	/ˈɑrvostɑɑ/
