a	/ɑː/
förhöjd	/fœrh'œjːd/
förhoppning	/fœrh'ɔpːnɪŋ/
förhoppningsvis	/²fœrh'ɔpːnɪŋsviːs/
förhöra	/fœrh'øːr/
förhöra sig	/fœrh'øːʂɛj/
förhör	/fœrh'øːr/
förhyrd	/fœrh'yːɖ/
förinta	/fœr'ɪnːta/
förintar	/fœr'ɪnːtar/
förivra sig	/fœr'ɪvːraʂɛj/
förkalkning	/fœrk'alːknɪŋ/
förkämpe	/²f'øːrɕɛmːpɛ/
förkärlek	/²f'øːrɕäɭeːk/
förkasta	/fœrk'asːta/
förkastar	/fœrk'asːtar/
förkastlig	/fœrk'asːtlɪg/
förklädd	/fœrkl'ɛdː/
förkläde	/²f'œrːklɛːdɛ/, /²f'øːrklɛːdɛ/
förklara	/fœrkl'ɑːra/
förklarar	/fœrkl'ɑːrar/
förklaring	/fœrkl'ɑːrɪŋ/
förklarlig	/fœrkl'ɑːɭɪg/
förklä sig	/fœrkl'ɛːʂɛj/
förklinga	/fœrkl'ɪŋːa/
förklingar	/fœrkl'ɪŋːar/
förknippa	/fœrkn'ɪpːa/
förknippar	/fœrkn'ɪpːar/
förkommen	/fœrk'ɔmːɛn/
förköp	/²f'øːrɕøːp/
förkorta	/fœrk'ɔʈːa/
förkortar	/fœrk'ɔʈːar/
förkortning	/fœrk'ɔʈɳɪŋ/
förkovra sig	/fœrk'oːvraʂɛj/
förkroma	/fœrkr'oːma/
förkromar	/fœrkr'oːmar/
förkroppsliga	/fœrkr'ɔpːslɪga/
förkroppsligar	/fœrkr'ɔpːslɪgar/
förkrossad	/fœrkr'ɔsːad/
förkrossande	/fœrkr'ɔsːandɛ/
förkunna	/fœrk'ɵnːa/
förkunnar	/fœrk'ɵnːar/
förkväva	/fœrkv'ɛːvɛr/
förkyla sig	/fœrɕ'yːlɛʂɛj/
förkyld	/fœrɕ'yːld/
förkylning	/fœrɕ'yːlnɪŋ/
förlaga	/²f'øːɭɑːga/
förlägen	/fœɭ'ɛːgɛn/
förlag	/fœɭ'ɑːg/
förlägga	/fœɭ'ɛgːɛr/
förläggning	/fœɭ'ɛgːnɪŋ/
förlamad	/fœɭ'ɑːmad/
förlama	/fœɭ'ɑːma/
förlamar	/fœɭ'ɑːmar/
förlamning	/fœɭ'ɑːmnɪŋ/
förlänga	/fœɭ'ɛŋːɛr/
förlängning	/fœɭ'ɛŋːnɪŋ/
förlängt barnbidrag	/fœɭ'ɛŋːt ²b'ɑːɳbiːdrɑːg/
förlåta	/fœɭ'oːtɛr/
förlåtelse	/fœɭ'oːtɛlsɛ/
förlåt	/fœɭ'oːt/
förlät	/fœɭ'ɛːt/
förleda	/fœɭ'eːdɛr/
förlegad	/fœɭ'eːgad/
förlikas	/fœɭ'iːkas/
förlika sig	/fœɭ'iːkaʂɛj/
förlikning	/fœɭ'iːknɪŋ/
förlisa	/fœɭ'iːsɛr/
förlita sig på	/fœɭ'iːtaʂɛjpoː/
förljugen	/fœrj'ʉːgɛn/
förlöjliga	/fœɭ'œjːlɪga/
förlöjligar	/fœɭ'œjːlɪgar/
förlopp	/fœɭ'ɔpː/
förlora	/fœɭ'uːra/
förlorar	/fœɭ'uːrar/
förlösa	/fœɭ'øːsɛr/
förlossning	/fœɭ'ɔsːnɪŋ/
förlovad	/fœɭ'oːvad/
förlova sig	/fœɭ'oːvaʂɛj/
förlovning	/fœɭ'oːvnɪŋ/
förlust	/fœɭ'ɵsːt/
forma	/²f'ɔrːma/
formar	/²f'ɔrːmar/
förmå	/fœrm'oːr/
förmåga	/fœrm'oːga/
formalin	/fɔrmal'iːn/
formalism	/fɔrmal'ɪsːm/
formalitet	/fɔrmalɪt'eːt/
förman	/²f'øːrmanː/
förmån	/²f'øːrmoːn/
förmaning	/fœrm'ɑːnɪŋ/
förmäten	/fœrm'ɛːtɛn/
format	/fɔrm'ɑːt/
formation	/fɔrmaɧ'uːn/
formbar	/²f'ɔrːmbɑːr/
förmedla	/fœrm'eːdla/
förmedlar	/fœrm'eːdlar/
förmedling	/fœrm'eːdlɪŋ/
formel	/f'ɔrːmɛl/
formell	/fɔrm'ɛlː/
förment	/fœrm'eːnt/
förmer	/fœrm'eːr/
form	/fɔrːm/
formgivare	/²f'ɔrːmjiːvarɛ/
formgivning	/²f'ɔrːmjiːvnɪŋ/
förmiddag	/²f'øːrmɪdɑːg/, /²f'øːrmɪdːa/
förmildrande	/fœrm'ɪlːdrandɛ/
formligen	/f'ɔrːmlɪgɛn/
formlig	/f'ɔrːmlɪg/
förmoda	/fœrm'uːda/
förmodar	/fœrm'uːdar/
förmodan	/fœrm'uːdan/
förmodligen	/fœrm'uːdlɪgɛn/
förmögen	/fœrm'øːgɛn/
förmögenhet	/fœrm'øːgɛnheːt/
formsak	/²f'ɔrːmsɑːk/
formulär	/fɔrmɵl'ɛːr/
formulera	/fɔrmɵl'eːra/
formulerar	/fɔrmɵl'eːrar/
formulering	/fɔrmɵl'eːrɪŋ/
förmyndare	/²f'œrmʏnːdarɛ/, /fœrm'ʏnːdarɛ/
förnäm	/fœɳ'ɛːm/
förnämlig	/fœɳ'ɛːmlɪg/
förnamn	/²f'øːɳamːn/
förnedra	/fœɳ'eːdra/
förnedrar	/fœɳ'eːdrar/
förneka	/fœɳ'eːka/
förnekar	/fœɳ'eːkar/
forn	/fuːɳ/
förnimma	/fœɳ'ɪmːɛr/
förnimmelse	/fœɳ'ɪmːɛlsɛ/
förnödenhet	/fœɳ'øːdɛnheːt/
förnöjsam	/fœɳ'œjːsam/
forntid	/²f'uːɳʈiːd/
förnuft	/fœɳ'ɵfːt/
förnuftig	/fœɳ'ɵfːtɪg/
förnya	/fœɳ'yːa/
förnyar	/fœɳ'yːar/
förnyelse	/fœɳ'yːɛlsɛ/
förödande	/fœr'øːdandɛ/
förödelse	/fœr'øːdɛlsɛ/
förödmjuka	/²f'øːrøːdmjʉːka/
förödmjukar	/²f'øːrøːdmjʉːkar/
förödmjukelse	/²f'øːrøːdmjʉːkɛlsɛ/
föröka sig	/fœr'øːkaʂɛj/
förolämpning	/²f'øːrʊlɛmːpnɪŋ/
förolyckas	/²f'øːrʊlʏkːas/
förorättad	/²f'øːruːrɛtːad/
förord	/²f'øːruːɖ/
förorda	/²f'øːruːɖa/
förordar	/²f'øːruːɖar/
förordna	/fœr'oːɖɳa/
förordnar	/fœr'oːɖɳar/
förordning	/fœr'oːɖɳɪŋ/
förorena	/²f'øːrʊreːna/
förorenar	/²f'øːrʊreːnar/
förorening	/²f'øːrʊreːnɪŋ/
förorsaka	/²f'øːrʊʂɑːka/
förorsakar	/²f'øːrʊʂɑːkar/
förort	/²f'øːruːʈ/, /²f'øːrʊʈː/
föröva	/fœr'øːva/
förövar	/fœr'øːvar/
förpacka	/fœrp'akːa/
förpackar	/fœrp'akːar/
förpackning	/fœrp'akːnɪŋ/
förpassa	/fœrp'asːa/
förpassar	/fœrp'asːar/
förpesta	/fœrp'ɛsːta/
förpestar	/fœrp'ɛsːtar/
förplikta	/fœrpl'ɪkːta/
förpliktar	/fœrpl'ɪkːtar/
förpliktelse	/fœrpl'ɪkːtɛlsɛ/
förra	/²f'œrːa/
förråda	/fœr'oːdɛr/
förrädare	/fœr'ɛːdarɛ/
förråd	/fœr'oːd/
förrädisk	/fœr'ɛːdɪsk/
förrän	/f'œrː'ɛn/
förrätta	/fœr'ɛtːa/
förrättar	/fœr'ɛtːar/
förrättning	/fœr'ɛtːnɪŋ/
förresten	/fœr'ɛsːtɛn/
förr	/fœrː/
förrgår	/f'œrːgoːr/, /f'œrːgɔr/
förringa	/fœrɪŋːa/
förringar	/fœrɪŋːar/
förruttnelse	/fœr'ɵtːnɛlsɛ/
förrycka	/fœr'ʏkːɛr/
förryckt	/fœr'ʏkːt/
förrymd	/fœr'ʏmːd/
forsa	/²f'ɔʂːa/
forsar	/²f'ɔʂːar/
försäga sig	/fœʂ'ɛjːɛʂɛj/
försagd	/fœʂ'agːd/
försaka	/fœʂ'ɑːka/
försakar	/fœʂ'ɑːkar/
försäkra	/fœʂ'ɛːkra/
försäkrar	/fœʂ'ɛːkrar/
försäkran	/fœʂ'ɛːkran/
försäkring	/fœʂ'ɛːkrɪŋ/
försäkringsbesked	/²fœʂ'ɛːkrɪŋsbɛɧeːd/
försäkringsbolag	/²fœʂ'ɛːkrɪŋsbuːlɑːg/
försäkringskassa	/²fœʂ'ɛːkrɪŋskasːa/
Försäkringskassan	/²fœʂ'ɛːkrɪŋskasːan/
försäkringspremie	/²fœʂ'ɛːkrɪŋspreːmɪɛ/
försäljare	/fœʂ'ɛlːjarɛ/
försäljning	/fœʂ'ɛlːjnɪŋ/
församlas	/fœʂ'amːlas/
församling	/fœʂ'amːlɪŋ/
försämra	/fœʂ'ɛmːra/
försämrar	/fœʂ'ɛmːrar/
försämring	/fœʂ'ɛmːrɪŋ/
försändelse	/fœʂ'ɛnːdɛlsɛ/
försåt	/fœʂ'oːt/
försåtlig	/fœʂ'oːtlɪg/
försätta	/fœʂ'ɛtːɛr/
förseelse	/fœʂ'eːɛlsɛ/
förse	/fœʂ'eːr/
försegla	/fœʂ'eːgla/
förseglar	/fœʂ'eːglar/
försegling	/fœʂ'eːglɪŋ/
försenad	/fœʂ'eːnad/
försena	/fœʂ'eːna/
försenar	/fœʂ'eːnar/
försening	/fœʂ'eːnɪŋ/
försent	/fœʂ'eːnt/
fors	/fɔʂː/
försiggå	/²f'øːʂɪgoːr/
försigkommen	/²f'øːʂɪkɔmːɛn/
försiktig	/fœʂ'ɪkːtɪg/
försitta	/fœʂ'ɪtːɛr/
försjunka	/fœrɧ'ɵŋːkɛr/
forska	/²f'ɔʂːka/
forskar	/²f'ɔʂːkar/
förskärare	/²f'øːrɧɛːrarɛ/
forskare	/²f'ɔʂːkarɛ/
förskingra	/fœrɧ'ɪŋːra/
förskingrar	/fœrɧ'ɪŋːrar/
förskingring	/fœrɧ'ɪŋːrɪŋ/
förskjuta	/fœrɧ'ʉːtɛr/
förskjutning	/fœrɧ'ʉːtnɪŋ/
forskning	/²f'ɔʂːknɪŋ/
förskola	/²f'øːʂkuːla/
förskoleålder	/²f'øːʂkuːlɛɔlːdɛr/
försköna	/fœrɧ'øːna/
förskönar	/fœrɧ'øːnar/
förskona	/fœʂk'uːna/
förskonar	/fœʂk'uːnar/
förskoning	/fœʂk'uːnɪŋ/
förskott	/²f'øːʂkɔtː/
förskräckelse	/fœʂkr'ɛkːɛlsɛ/
förskräcklig	/fœʂkr'ɛkːlɪg/
förskräckt	/fœʂkr'ɛkːt/
forsla	/²f'ɔʂɭa/
forslar	/²f'ɔʂɭar/
förslå	/fœʂɭ'oːr/
förslag	/fœʂɭ'ɑːg/
förslagsvis	/²fœʂɭ'ɑːgsviːs/
förslitning	/fœʂɭ'iːtnɪŋ/
förslummas	/fœʂɭ'ɵmːas/
försmädlig	/fœʂm'ɛːdlɪg/
försmå	/fœʂm'oːr/
försmak	/²f'øːʂmɑːk/
försnilla	/fœʂɳ'ɪlːa/
försnillar	/fœʂɳ'ɪlːar/
försöka	/fœʂ'øːkɛr/
försök	/fœʂ'øːk/
försökskanin	/²fœʂ'øːkskaniːn/
försommar	/²f'øːʂɔmːar/
försonas	/fœʂ'uːnas/
försoning	/fœʂ'uːnɪŋ/
försonlig	/fœʂ'uːnlɪg/
försörja	/fœʂ'œrːjɛr/
försörjning	/fœʂ'œrːjnɪŋ/
försörjningsplikt	/²fœʂ'œrːjnɪŋsplɪkːt/
försova sig	/fœʂ'oːvɛʂɛj/
förspel	/²f'øːʂpeːl/
förspilla	/fœʂp'ɪlːɛr/
försprång	/²f'øːʂprɔŋː/
första	/²f'œʂʈa/
förstad	/²f'øːʂʈɑːd/
förståelig	/fœʂʈ'oːɛlɪg/
förståelse	/fœʂʈ'oːɛlsɛ/
förstå	/fœʂʈ'oːr/
förstahandskontrakt	/²f'œʂʈahandskɔntrakːt/
förstånd	/fœʂʈ'ɔnːd/
förståndig	/fœʂʈ'ɔnːdɪg/
förstärka	/fœʂʈ'ɛrːkɛr/
förstärkare	/fœʂʈ'ɛrːkarɛ/
förstås	/fœʂʈ'ɔsː/
förstasida	/²f'œʂʈasiːda/
förstatliga	/fœʂʈ'ɑːtlɪga/
förstatligar	/fœʂʈ'ɑːtlɪgar/
förstått	/fœʂʈ'ɔtː/
försteg	/²f'øːʂʈeːg/
först	/fœʂʈ/
förstklassig	/²f'œʂʈklasːɪg/
förstnämnd	/²f'œʂʈɳɛmːnd/, /²f'œʂʈɳɛmːd/
förstod	/fœʂʈ'uːd/
förstoppning	/fœʂʈ'ɔpːnɪŋ/
förstöra	/fœʂʈ'øːr/
förstora	/fœʂʈ'uːra/
förstorar	/fœʂʈ'uːrar/
förstörelse	/fœʂʈ'øːrɛlsɛ/
förstoring	/fœʂʈ'uːrɪŋ/
förströdd	/fœʂʈr'œdː/
förströ	/fœʂʈr'øːr/
förstummas	/fœʂʈ'ɵmːas/
försumlig	/fœʂ'ɵmːlɪg/
försumma	/fœʂ'ɵmːa/
försummar	/fœʂ'ɵmːar/
försummelse	/fœʂ'ɵmːɛlsɛ/
försupen	/fœʂ'ʉːpɛn/
försurning	/fœʂ'ʉːɳɪŋ/
försvaga	/fœʂv'ɑːga/
försvagar	/fœʂv'ɑːgar/
försvann	/fœʂv'anː/
försvara	/fœʂv'ɑːra/
försvarar	/fœʂv'ɑːrar/
försvåra	/fœʂv'oːra/
försvårar	/fœʂv'oːrar/
försvarare	/fœʂv'ɑːrarɛ/
försvar	/fœʂv'ɑːr/
försvarlig	/fœʂv'ɑːɭɪg/
försvarsadvokat	/²fœʂv'ɑːʂadvʊkɑːt/
försvenska	/fœʂv'ɛnːska/
försvenskar	/fœʂv'ɛnːskar/
försvinna	/fœʂv'ɪnːɛr/
försvinnande	/fœʂv'ɪnːandɛ/
försvunnen	/fœʂv'ɵnːɛn/
försvunnit	/fœʂv'ɵnːɪt/
försyn	/fœʂ'yːn/
försynt	/fœʂ'yːnt/
förtäckt	/fœʈ'ɛkːt/
förtala	/fœʈ'ɑːla/
förtalar	/fœʈ'ɑːlar/
förtal	/fœʈ'ɑːl/
förtälja	/fœʈ'ɛlːjɛr/
förtära	/fœʈ'ɛːr/
förta sig	/fœrt'ɑːʂɛj/
förtätad	/fœʈ'ɛːtad/
fortbestånd	/²f'ʊʈːbɛstɔnːd/
fortbildning	/²f'ʊʈːbɪlːdnɪŋ/
förtecken	/²f'øːʈɛkːɛn/
förteckning	/fœʈ'ɛkːnɪŋ/
förtegen	/fœʈ'eːgɛn/
fortfarande	/²f'ʊʈːfɑːrandɛ/
fort	/fʊʈː/
fortgå	/²f'ʊʈːgoːr/
förti	/²f'œʈːɪ/
förtid	/²f'øːʈiːd/
förtidspension	/²f'øːʈiːdspanɧuːn/
förtiga	/fœʈ'iːgɛr/
förtjäna	/fœrɕ'ɛːna/
förtjänar	/fœrɕ'ɛːnar/
förtjänst	/fœrɕ'ɛnːst/
förtjänt	/fœrɕ'ɛːnt/
förtjusande	/fœrɕ'ʉːsandɛ/
förtjusning	/fœrɕ'ʉːsnɪŋ/
förtjust	/fœrɕ'ʉːst/
fortkörare	/²f'ʊʈːɕøːrarɛ/
fortkörning	/²f'ʊʈːɕøːɳɪŋ/
fortlöpande	/²f'ʊʈɭøːpandɛ/
förtöja	/fœʈ'œjːɛr/
fortplanta sig	/²f'ʊʈːplanːtaʂɛj/
förträfflig	/fœʈr'ɛfːlɪg/
förtränga	/fœʈr'ɛŋːɛr/
förträngd	/fœʈr'ɛŋːd/
förtret	/fœʈr'eːt/
förtroende	/fœʈr'uːɛndɛ/
förtroendeingivande	/²fœʈr'uːɛndɛɪnjiːvandɛ/
förtroendeman	/²fœʈr'uːɛndɛmanː/
förtroendeuppdrag	/²fœʈr'uːɛndɛɵpdrɑːg/
förtrogen	/fœʈr'uːgɛn/
förtrolig	/fœʈr'uːlɪg/
förtrolighet	/fœʈr'uːlɪgheːt/
förtrollad	/fœʈr'ɔlːad/
förtrollning	/fœʈr'ɔlːnɪŋ/
förtröstan	/fœʈr'œsːtan/
förtrycka	/fœʈr'ʏkːɛr/
förtryck	/fœʈr'ʏkː/
förtryckt	/fœʈr'ʏkːt/
fortsätta	/²f'ʊʈʂɛtːɛr/
fortsättning	/²f'ʊʈʂɛtːnɪŋ/
fortskaffningsmedel	/²f'ʊʈʂkafnɪŋsmeːdɛl/
fortskrida	/²f'ʊʈʂkriːdɛr/
förtulla	/fœʈ'ɵlːa/
förtullar	/fœʈ'ɵlːar/
förtur	/²f'øːʈʉːr/
förtvina	/fœʈv'iːna/
förtvinar	/fœʈv'iːnar/
förtvivlad	/fœʈv'iːvlad/
förtvivla	/fœʈv'iːvla/
förtvivlar	/fœʈv'iːvlar/
förtvivlan	/fœʈv'iːvlan/
förtydliga	/fœʈ'ʏdːlɪga/
förtydligar	/fœʈ'ʏdːlɪgar/
förtydligande	/fœʈ'yːdlɪgandɛ/
forum	/²f'uːrɵm/
förunderlig	/fœr'ɵnːdɛɭɪg/
förundersökning	/²f'øːrɵndɛʂøːknɪŋ/
förut	/²f'øːrʉːt/
förutfattad	/²f'øːrʉːtfatːad/
förutom	/²fœr'ʉːtɔm/
förutsäga	/²f'øːrʉːtsɛjːɛr/
förutsätta	/²f'øːrʉːtsɛtːɛr/
förutsättning	/²f'øːrʉːtsɛtːnɪŋ/
förutsättningslös	/²f'øːrʉːtsɛtnɪŋsløːs/
förutse	/²f'øːrʉːtseːr/
förutvarande	/²f'œrʉːtvɑːrandɛ/
förvägra	/fœrv'ɛːgra/
förvägrar	/fœrv'ɛːgrar/
förvälla	/fœrv'ɛlːɛr/
förvalta	/fœrv'alːta/
förvaltar	/fœrv'alːtar/
förvaltare	/fœrv'alːtarɛ/
förvaltning	/fœrv'alːtnɪŋ/
förvaltningsdomstol	/²fœrv'alːtnɪŋsdʊmstuːl/
förvånad	/fœrv'oːnad/
förvåna	/fœrv'oːna/
förvånar	/fœrv'oːnar/
förvandla	/fœrv'anːdla/
förvandlar	/fœrv'anːdlar/
förvandling	/fœrv'anːdlɪŋ/
förvåning	/fœrv'oːnɪŋ/
förvanska	/fœrv'anːska/
förvanskar	/fœrv'anːskar/
förvänta	/fœrv'ɛnːta/
förväntar	/fœrv'ɛnːtar/
förväntan	/fœrv'ɛnːtan/
förväntning	/fœrv'ɛnːtnɪŋ/
förvara	/fœrv'ɑːra/
förvarar	/fœrv'ɑːrar/
förvar	/fœrv'ɑːr/
förvaring	/fœrv'ɑːrɪŋ/
förvaringsbox	/²fœrv'ɑːrɪŋsbɔkːs/
förvarna	/²f'øːrvɑːɳa/
förvarnar	/²f'øːrvɑːɳar/
förvarning	/²f'øːrvɑːɳɪŋ/
förvärra	/fœrv'ɛrːa/
förvärrar	/fœrv'ɛrːar/
förvärva	/fœrv'ɛrːva/
förvärvar	/fœrv'ɛrːvar/
förvärv	/fœrv'ɛrːv/
förvärvsarbeta	/²fœrv'ɛrːvsarbeːta/
förvärvsarbetar	/²fœrv'ɛrːvsarbeːtar/
förvärvsarbete	/²fœrv'ɛrːvsarbeːtɛ/
förvärvskälla	/fœrv'ɛrːvsɕɛlːa/
förvärvstillstånd	/²fœrv'ɛrːvstɪlstɔnːd/
förväxla	/fœrv'ɛkːsla/
förväxlar	/fœrv'ɛkːslar/
förväxling	/fœrv'ɛkːslɪŋ/
förveckling	/fœrv'ɛkːlɪŋ/
förverka	/fœrv'ɛrːka/
förverkar	/fœrv'ɛrːkar/
förverkliga	/fœrv'ɛrːklɪga/
förverkligar	/fœrv'ɛrːklɪgar/
förvilla	/fœrv'ɪlːa/
förvillar	/fœrv'ɪlːar/
förvirrad	/fœrv'ɪrːad/
förvirra	/fœrv'ɪrːa/
förvirrar	/fœrv'ɪrːar/
förvirring	/fœrv'ɪrːɪŋ/
förvisning	/fœrv'iːsnɪŋ/
förvissning	/fœrv'ɪsːnɪŋ/
förvisso	/²fœrv'ɪsːʊ/
förvränga	/fœrvr'ɛŋːɛr/
förvuxen	/fœrv'ɵkːsɛn/
forward	/f'oːrvaɖ/
föryngra	/fœr'ʏŋːra/
föryngrar	/fœr'ʏŋːrar/
föryngring	/fœr'ʏŋːrɪŋ/
fösa	/f'øːsɛr/
fosfat	/fɔsf'ɑːt/
fosfor	/²f'ɔsːfɔr/
fossil	/fʊs'iːl/
fosterbarn	/²f'ʊsːtɛrbɑːɳ/
fosterförälder	/²f'ʊsːtɛrfœrɛlːdɛr/
foster	/f'ʊsːtɛr/
fosterhem	/²f'ʊsːtɛrhɛmː/
fosterland	/²f'ʊsːtɛɭanːd/
fostra	/²f'ʊsːtra/
fostrar	/²f'ʊsːtrar/
fostran	/²f'ʊsːtran/
fota	/²f'uːta/
fotar	/²f'uːtar/
fotboll	/²f'uːtbɔlː/
fotfäste	/²f'uːtfɛsːtɛ/
fotfolk	/²f'uːtfɔlːk/
fot	/fuːt/
fotgängare	/²f'uːtjɛŋːarɛ/
fotnot	/²f'uːtnuːt/
foto-	/²f'uːtʊ/, /²f'ʊtːʊ/
foto	/²f'uːtʊ/, /²f'ʊtːʊ/
fotogen	/fʊtʊɧ'eːn/
fotografera	/fʊtʊgraf'eːra/
fotograferar	/fʊtʊgraf'eːrar/
fotografering	/fʊtʊgraf'eːrɪŋ/
fotograf	/fʊtʊgr'ɑːf/
fotografi	/fʊtʊgraf'iː/
fotokopia	/²fuːtʊkʊpiːa/, /²f'ʊtːʊkʊpiːa/
fotosättning	/²f'uːtʊsɛtːnɪŋ/, /²f'ʊtːʊsɛtːnɪŋ/
fotspår	/²f'uːtspoːr/
fotsteg	/²f'uːtsteːg/
fötter	/f'œtːɛr/
foxterrier	/²f'ɔkːstärːɪɛr/
fp	/²f'ɔlːkpaʈiːɛt/
frack	/frakː/
fräck	/frɛkː/
fräckis	/fr'ɛkːɪs/
fradga	/²fr'adːga/
fråga	/²fr'oːga/
frågar	/²fr'oːgar/
frågeställning	/²fr'oːgɛstɛlːnɪŋ/
frågetecken	/²fr'oːgɛtɛkːɛn/
fragment	/fragm'ɛnːt/
frågvis	/²fr'oːgviːs/
fräknar	/²fr'ɛːknar/
fräknig	/²fr'ɛːknɪg/
frakta	/²fr'akːta/
fraktar	/²fr'akːtar/
frakt	/frakːt/
fraktion	/frakɧ'uːn/
fraktur	/frakt'ʉːr/
frälsa	/fr'ɛlːsɛr/
Frälsningsarmén	/²fr'ɛlːsnɪŋsarmeːn/
framåtanda	/²fr'amːɔtanːda/
framåt	/fr'amːɔt/
framåtskridande	/²fr'amːɔtskriːdandɛ/
frambringa	/²fr'amːbrɪŋːa/
frambringar	/²fr'amːbrɪŋːar/
framdeles	/²fr'amːdeːlɛs/
framfart	/²fr'amːfɑːʈ/
framför	/²fr'amːfœr/, /²fr'amːføːr/
framföra	/²fr'amːføːr/
fram	/framː/
framfusig	/²fr'amːfʉːsɪg/
framgå	/²fr'amːgoːr/
framgång	/²fr'amːgɔŋː/
framhålla	/²fr'amːhɔlːɛr/
framhärda	/²fr'amːhɛːɖa/
framhärdar	/²fr'amːhɛːɖar/
framhäva	/²fr'amːhɛːvɛr/
framhjul	/²fr'amːjʉːl/
framifrån	/²fr'amːɪfroːn/
främja	/²fr'ɛmːja/
främjar	/²fr'ɛmːjar/
framkalla	/²fr'amːkalːa/
framkallar	/²fr'amːkalːar/
framkallning	/²fr'amːkalːnɪŋ/
framkasta	/²fr'amːkasːta/
framkastar	/²fr'amːkasːtar/
framkomlig	/²fr'amːkɔmːlɪg/
framkomma	/²fr'amːkɔmːɛr/
framlägga	/²fr'amːlɛgːɛr/
framlänges	/²fr'amːlɛŋːɛs/
framliden	/²fr'amːliːdɛn/
främling	/²fr'ɛmːlɪŋ/
främlingspass	/²fr'ɛmːlɪŋspasː/
främmande	/²fr'ɛmːandɛ/
frammarsch	/²fr'amːarːɧ/
framme	/²fr'amːɛ/
framöver	/fram'øːvɛr/
främre	/fr'ɛmːrɛ/
framsäte	/²fr'amːsɛːtɛ/
framsida	/²fr'amːsiːda/
framskjuten	/²fr'amːɧʉːtɛn/
framskriden	/²fr'amːskriːdɛn/
framstå	/²fr'amːstoːr/
framstående	/²fr'amːstoːɛndɛ/
framställa	/²fr'amːstɛlːɛr/
framställning	/²fr'amːstɛlːnɪŋ/
framsteg	/²fr'amːsteːg/
främst	/frɛmːst/
framstöt	/²fr'amːstøːt/
framstupa	/²fr'amːstʉːpa/
framsynt	/²fr'amːsyːnt/
framtand	/²fr'amːtanːd/
framtid	/²fr'amːtiːd/
framtida	/²fr'amːtiːda/
framtill	/²fr'amːtɪlː/
framtoning	/²fr'amːtuːnɪŋ/
framträda	/²fr'amːtrɛːdɛr/
framträdande	/²fr'amːtrɛːdandɛ/
framtvinga	/²fr'amːtvɪŋːa/
framtvingar	/²fr'amːtvɪŋːar/
från	/froːn/
frän	/frɛːn/
frankera	/fraŋk'eːra/
frankerar	/fraŋk'eːrar/
frank	/fraŋːk/
frånsett	/²fr'oːnsɛtː/
frans	/franːs/
franska	/²fr'anːska/
franskbröd	/²fr'anːskbrøːd/
fransk	/franːsk/
frånskild	/²fr'oːnɧɪlːd/
fransman	/²fr'anːsmanː/
frånstötande	/²fr'oːnstøːtandɛ/
fransyska	/²frans'ʏsːka/
frånvarande	/²fr'oːnvɑːrandɛ/
frånvaro	/²fr'oːnvɑːrʊ/
frappera	/frap'eːra/
frapperar	/frap'eːrar/
frasa	/²fr'ɑːsa/
frasar	/²fr'ɑːsar/
fräsa	/fr'ɛːsɛr/
fräscha upp	/²frɛːɧar'ɵpː/
fräsch	/frɛːɧ/
fras	/frɑːs/
fräs	/frɛːs/
frasig	/²fr'ɑːsɪg/
fräsig	/²fr'ɛːsɪg/
fräta	/fr'ɛːtɛr/
fredag	/fr'eːda/, /fr'eːdɑːg/
fred	/freːd/
fredlig	/²fr'eːdlɪg/
fredlös	/²fr'eːdløːs/
fredsplikt	/²fr'eːdsplɪkːt/
fredstid	/²fr'eːdstiːd/
freestyle	/²fr'iːstajːl/
frekvens	/frɛkv'ɛnːs/
frenetisk	/frɛn'eːtɪsk/
fresta	/²fr'ɛsːta/
frestar	/²fr'ɛsːtar/
frestad	/²fr'ɛsːtad/
frestelse	/²fr'ɛsːtɛlsɛ/
fria	/²fr'iːa/
friar	/²fr'iːar/
friare	/²fr'iːarɛ/
fridag	/²fr'iːdɑːg/
frid	/friːd/
fridfull	/²fr'iːdfɵlː/
fridlysa	/²fr'iːdlyːsɛr/
fri	/friː/
frige	/²fr'iːjeːr/
friggebod	/²fr'ɪgːɛbuːd/
frigid	/frɪg'iːd/
frigjord	/²fr'iːjuːɖ/
frigöra	/²fr'iːjøːr/
frihandel	/²fr'iːhanːdɛl/
friherre	/²fr'iːhärːɛ/
frihet	/²fr'iːheːt/
friidrott	/²fr'iːiːdrɔtː/
frikadeller	/frɪkad'ɛlːɛr/
frikalla	/²fr'iːkalːa/
frikallar	/²fr'iːkalːar/
frikallad	/²fr'iːkalːad/
frikänna	/²fr'iːɕɛnːɛr/
friköpa	/²fr'iːɕøːpɛr/
frikort	/²fr'iːkʊʈː/
frikostig	/²fr'iːkɔsːtɪg/
friktion	/frɪkɧ'uːn/
frikyrka	/²fr'iːɕʏrːka/
frikyrklig	/²fr'iːɕʏrːklɪg/
frilans	/²fr'iːlanːs/
frilufts-	/²fr'iːlɵfts/
Friluftsfrämjandet	/²fr'iːlɵftsfrɛmːjandɛt/
friluftsområde	/²fr'iːlɵftsɔmroːdɛ/
frimärke	/²fr'iːmärːkɛ/
frimurare	/²fr'iːmʉːrarɛ/
frireligiös	/²fr'iːrɛlɪɧøːs/
frisinnad	/²fr'iːsɪnːad/
frisk	/frɪsːk/
friskintyg	/²fr'ɪsːkɪntyːg/
