آی	/ɒːj/
بنتلی	/bentliː/
بند	/bænd/
بندی	/bændiː/
بند	/bănd/
بند آمدن	/bændɒːmædæn/
بند آوردن	/bændɒːvæɾdæn/
بندباز	/bændbɒːz/
بندپایان	/bændpɒːjɒːn/
بندر	/bændæɾ/
بندر سری بگاوان	/bændæɾ seɾiː beɡɒːvɒːn/
بندرگاه	/bændæɾɡɒːh/
بند زدن	/bændzædæn/
بنده	/bændæ/
بنزن	/bænzæn/
بنزین	/benziːn/
بنزین زدن	/benziːnzædæn/
بینش	/biːneʃ/
بنفش	/bænæfʃ/
بنفش روشن	/bænæfʃe ɾoʃæn/
بنفشه	/bænæfʃe/
بنگ	/bænɡ/
بنگاه تجاری	/bonɡɒːhe ted͡ʒɒːɾiː/
بنگلادش	/bænɡlɒːdeʃ/
بینوایی	/biːnævɒːjiː/
بنيانگذاري	/bonjɒːnɡozɒːɾiː/
به	/bæ/
به	/bæh/
به	/be/
به	/beh/
بهی	/behiː/
بها	/bæhɒː/
بها دادن	/bæhɒːdɒːdæn/
به یاد آوردن	/be jɒːd ɒːvæɾdæn/
به یاد داشتن	/be jɒːd dɒːʃtæn/
بهار	/bæhɒːɾ/
بهار عربی	/bæhɒːɾe ʔæɾæbiː/
به امید دیدار	/be omiːde diːdɒːɾ/
به این زودی	/be iːn zuːdiː/
بهانه	/bæhɒːne/
بهانه آوردن	/bæhɒːneɒːvæɾdæn/
بهانه کردن	/bæhɒːnekæɾdæn/
بهانه گرفتن	/bæhɒːneɡeɾeftæn/
بهبود	/behbuːd/
بهبود دادن	/behbuːd dɒːdæn/
بهت	/boht/
بهتان	/bohtɒːn/
بهتان خوردن	/bohtɒːnxoɾdæn/
بهتان زدن	/bohtɒːnzædæn/
بهتر	/behtæɾ/
بهترین	/behtæɾiːn/
بهت زدن	/bohtzædæn/
به حال خود رها کردن	/be hɒːl xuːd ɾæhɒː kæɾdæn/
به خاطر	/be xɒːteɾe/
به دنیا آمدن	/be donjɒː ɒːmædæn/
به دنیا آوردن	/be donjɒː ɒːvæɾdæn/
بهرام	/bæhɾɒːm/
بهره	/bæhɾæ/
بهره	/bæhɾe/
بهره‌برداری	/bæhɾebæɾdɒːɾiː/
بهره‌برداری کردن	/bæhɾebæɾdɒːɾiːkæɾdæn/
بهره بردن	/bæhɾeboɾdæn/
بهره گرفتن	/bæhɾeɡeɾeftæn/
به سلامت	/be sælɒːmæt/
به سمت	/he semet/
بهشت	/beheʃt/
بهشت	‎/beheʃt/
به صحنه آوردن	/besæhne ævæɾdæn/
به قلاب انداختن	/be ɢollɒːb ændɒːxtæn/
به قلاب وصل كردن	/be ɢollɒːb væsl kæɾdæn/
بهمن	/bæhmæn/
به ندرت	/be nodtɾæt/
بهینه	/bæhiːnæ/, /behiːne/
به هنگام	/be hænɡɒːme/
بیهوشی	/biːhuːʃiː/
بیهوشی زدن	/biːhuːʃiːzædæn/
بو	/buː/
بوی	/büj/
بوتان	/buːtɒːn/
بوته	/buːte/
بود	/buːd/
بودا	/buːdɒː/
بوداپست	/buːdɒːpest/
بو دادن	/buːdɒːdæn/
بو داشتن	/bü dɒːʃtæn/
بودن	/buːdæn/
بوییدن	/büjiːdæn/
بور	/boɾ/
بور	/buːɾ/
بورد	/buːɾd/
بورس	/buːɾs/
بوریم	/boɾiːom/
بوره	/buːɾe/
بوزینه	/buːziːne/
بوستان	/buːstɒːn/
بوسیدن	/buːsiːdæn/
بوس کردن	/buːs kæɾdæn/
بوسنیائی	/bosniːjɒːʔiː/
بوسنی و هرزگوین	/bosniː o heɾzeɡoviːn/, /bosniː væ heɾzeɡoviːn/
بوسه	/buːse/
بوسه زدن	/buːsezædæn/
بوش	/buːʃ/
بیوشیمی	/biːoʃiːmiː/
بوف	/buːf/
بوفالو	/buːfɒːlo/
بوق	/buːɢ/
بوق زدن	/buːɢzædæn/
بوقلمون	/buːɢælæmuːn/
بو کردن	/buː kæɾdæn/
بو کردن	/buːkæɾdæn/
بو کشیدن	/buːkeʃiːdæn/
بو گرفتن	/buːɡeɾeftæn/
بوگوتا	/boɡotɒː/
بولیوی	/boliːviː/
بیولوژی	/biːoloʒiː/
بومی	/buːmiː/
بوم‌شناسی	/buːmʃenɒːsiː/
بووم	/buːm/
بوئین	/bhouːʔiːn/
بوئینگ	/boʔiːnɡ/
بوئنوس آیرس	/buːʔenuːs ɒːjɾes/
بي ابهام	/biː ebhɒːm/
بيست	/biːst/
بي صدا	/biːsedɒː/
بيگـاری	/biːɡɒːɾiː/
بيگـاری گرفتن	/biːɡɒːɾiːɡeɾeftæn/
پی	/pej/
پی	/piː/
پا	/pɒː/
پای	/pɒːj/
پای افتادن	/pɒːjoftɒːdæn/
پا افتادن	/pɒːoftɒːdæn/
پایان	/pɒːjɒːn/
پایان یافتن	/pɒːjɒːnjɒːftæn/
پایان دادن	/pɒːjɒːndɒːdæn/
پایان رساندن	/pɒːjɒːnɾesɒːndæn/
پایان رسیدن	/pɒːjɒːnɾesiːdæn/
پایان گرفتن	/pɒːjɒːnɡeɾeftæn/
پایانه اتوبوس	/pɒːjɒːneje otobuːs/
پایبندی	/pɒːbændiː/
پاپ	/pɒːp/
پاپایه	/pɒːpɒːje/
پاپوش	/pɒːpoʃ/
پایتخت	/pɒːjtæxt/, /pɒːjetæxt/
پاتولوژی	/pɒːtuːluːʒiː/
پایتون	/pɒːjton/
پایداشتن	/pɒːjdɒːʃtæn/
پادرد	/pɒːdæɾd/
پادرد زدن	/pɒːdæɾdzædæn/
پادرميانی	/pɒːdæɾmiːɒːniː/
پادرميانی کردن	/pɒːdæɾmiːɒːniːkæɾdæn/
پادزهر	/pɒːdzæhɾ/
پادشاه	/pɒːdeʃɒːh/
پادشاهی	/pɒːdeʃɒːhiː/
پادشاهی	/pɒːdeʃɒːhiː/, /pɒːdʃɒːhiː/
پادشاه	/pɒːdeʃɒːh/, /pɒːdʃɒːh/
پادشاه	/pɒːdʃɒːh/, /pɒːdeʃɒːh/
پادشاهی متحد	/pɒːdeʃɒːhiːje mottæhed/
پاییدن	/pɒːeiːdæn/
پاییدن	/pɒːjiːdæn/
پیاده	/piːjɒːde/
پیاده	/pjɒːde/
پاراگوئه	/pɒːɾɒːɡuːʔe/
پاراماریبو	/pɒːɾɒːmɒːɾiːbuː/
پارامسی	/pɒːɾɒːmesiː/
پاریس	/pɒːɾiːs/
پارس	/pɒːɾs/
پارسی	/pɒːɾsiː/
پارسال	/pɒːɾsɒːl/
پارس کردن	/pɒːɾskæɾdæn/
پارسه	/pɒːɾse/
پارک	/pɒːɾk/
پارک ملی	/pɒːɾke melliː/
پارکینگ	/pɒːɾkiːnɡ/
پارکور	/pɒːɾkuːɾ/
پارو	/pɒːɾuː/
پارو زدن	/pɒːɾuːzædæn/
پیاز	/piːjɒːz/
پاییز	/pɒːjiːz/
پا زدن	/pɒːzædæn/
پاسارگاد	/pɒːsɒːɾɡɒːd/
پای سیب	/pɒːje siːb/
پاسبان	/pɒːsbɒːn/
پاسپورت	/pɒːspoɾt/
پاستا	/pɒːstæ/
پاسخ	/pɒːsox/
پاسخ دادن	/pɒːsox dɒːdæn/
پاسخ دادن	/pɒːsoxdɒːdæn/
پاشا	/pɒːʃɒː/
پاشنه	/pɒːʃne/
پاشنه کفش	/pɒːʃne je kæfʃ/
پاک	/pɒːk/
پاکت	/pɒːkæt/
پاکستان	/pɒːkestɒːn/
پاک کردن	/pɒːk kæɾdæn/
پاک‌کن	/pɒːkken/
پاک‌کن	/pɒːkkon/
پایگاه داده	/pɒːjɡɒːhedɒːde/
پایگاه داده‌ها	/pɒːjɡɒːhe dɒːdehɒː/
پاگودا	/pɒːɡodɒː/
پالایش	/pɒːlɒːjeʃ/
پالایشگاه	/pɒːlɒːjeʃɡɒːh/
پالائی	/pɒːlɒːʔiː/
پالتو	/pɒːlto/
پالکی	/pɒːlkiː/
پیاله	/piːɒːle/
پیاله زدن	/piːɒːlezædæn/
پیام	/pejɒːm/
پامچال	/pɒːmt͡ʃɒːl/
پامیر	/pɒːmiːɾ/
پیامک	/pæjɒːmæk/
پیامک زدن	/pæjɒːmækzædæn/
پایین	/pɒːjiːn/
پاناما	/pɒːnɒːmɒː/
پایین پریدن	/pɒːjiːn pæɾiːdæn/
پانجه​آ	/pænd͡ʒēɒː/
پانچ	/pɒːnt͡ʃ/
پانزده	/pɒːnzdæh/
پانصد	/pɒːnsæd/
پیانو	/piːjɒːno/
پیانو فورته	/piːɒːno foɾte/
پایه	/pɒːjæ/
پایه	/pɒːjæ/, /pɒːje/
پایه	/pɒːjeʔ/
پپسیکولا	/pepsiːkuːlɒː/
پتاسيم	/potɒːsiːm/
پتروسیان	/petɾosjɒːn/
پیتزا	/piːtzɒː/
پتو	/pætuː/
پیچ	/piːt͡ʃ/
پچ‌پچ کردن	/pet͡ʃpet͡ʃ kæɾdæn/
پیچیدن	/piːt͡ʃiːdæn/
پیچیده	/piːt͡ʃiːde/
پیچ زدن	/piːt͡ʃzædæn/
پیچ‌گوشتی	/piːt͡ʃɡuːʃtiː/
پخ	/pæx/
پختن	/poxtæn/
پخته	/poxte/
پخت و پز	/poxtopæz/
پخش	/pæxʃ/
پخش شدن	/pæxʃʃodæn/
پخش کردن	/pæxʃkæɾdæn/
پیدا کردن	/pejdɒː kæɾdæn/
پدیدآورنده	/pædiːdɒːvæɾænde/
پدر	/pedæɾ/
پدربزرگ	/pedæɾbozoɾɡ/
پدربزرگ و مادربزرگ	/pedæɾbozoɾɡ o mɒːdæɾbozoɾɡ/
پدرجد	/pedæɾd͡ʒædd/
پدرخوانده	/pedæɾxwɒːnde/
پدرزن	/pedæɾzæn/
پدرشوهر	/pedæɾʃoʊhæɾ/
پدرشوهر	/pedæɾʃouːhæɾ/
پدر و مادر	/pedæɾ o mɒːdæɾ/
پدر و مادر	/pedæɾ væ mɒːdæɾ/
پذیرایی	/pæziːɾɒːjiː/
پذیرایی کردن	/pæziːɾɒːjiːkæɾdæn/
پذیرائی	/pæziːɾɒːʔiː/
پذیرفتن	/pæziːɾoftæn/
پر	/pæɾ/
پری	/pæɾiː/
پیر	/piːɾ/
پر	/poɾ/
پیرارسال	/piːɾɒːɾsɒːl/
پراگ	/pɾɒːɡ/
پیرامون	/piːɾɒːmuːn/
پیرانا	/piːɾɒːnɒː/
پرانتز	/pæɾɒːntez/
پیراهن	/piːɾɒːhæn/
پرپر	/pæɾ pæɾ/
پرپر زدن	/pæɾpæɾzædæn/
پرتاب	/pæɾtɒːb/
پرتاب کردن	/pæɾtɒːbkæɾdæn/
پرتغالی	/poɾteɢɒːliː/
پرتغال	/poɾtoɢɒːl/
پرتقال	/poɾteɢɒːl/
پرتو	/pæɾtuː/
پرث	/peɾs/
پرچم	/pæɾt͡ʃæm/
پرداختن	/pæɾdɒːxtæn/
پر دادن	/pæɾdɒːdæn/
پردازش داده‌ها	/pæɾdɒːzeʃe dɒːdehhɒː/
پردیس	/pæɾdiːs/
پریدن	/pæɾiːdæn/
پرده	/pæɾde/
پرده کرکره	/pæɾde keɾkeɾe/
پرده گوش	/pæɾdeje ɡuːʃ/
پررنگ	/poɾɾænɡ/
پریروز	/pæɾiːɾuːz/
پر زدن	/pæɾzædæn/
پیرزن	/piːɾezæn/
پرسپولیس	/peɾspoliːs/
پرستار	/pæɾæstɒːɾ/
پرستیژ	/peɾestiːd͡ʒ/
پرستو	/pæɾæstuː/
پرسیدن	/poɾsiːdæn/
پرسش	/poɾseʃ/
پرسه	/pæɾse/
پرسه زدن	/pæɾsezædæn/
پرش	/pæɾeʃ/
پریشب	/pæɾiːʃæb/
پریشتینا	/peɾiːʃtiːnɒː/
پرشکوه	/poɾʃokuːh/
پر کردن	/poɾ kæɾdæn/
پر کشیدن	/pæɾkeʃiːdæn/
پرگار	/pæɾɡɒːɾ/
پرل هاربر	/peɾl hɒːɾboɾ/
پرم	/peɾm/
پرماسیدن	/pæɾmɒːsiːdæn/
پیرمرد	/piːɾemæɾd/
پرنده	/pæɾænde/
پرینه	/peɾiːne/
پرهام	/pæɾhɒːm/
پرهیز	/pæɾhiːz/
پرهیز کردن	/pæɾhiːzkæɾdæn/
پیروی	/pejɾoviː/
پرو	/peɾuː/
پرواربندی	/pæɾvɒːɾbændiː/
پرواز	/pæɾvɒːz/
پرواز دادن	/pæɾvɒːzdɒːdæn/
پرواز کردن	/pæɾvɒːz kæɾdæn/
پرواز کردن	/pæɾvɒːzkæɾdæn/
پروانه	/pæɾvɒːne/
پر و بال	/pæɾ o bɒːl/
پر و بال زدن	/pæɾobɒːlzædæn/
پروتکل اینترنت	/pɾotokol e iːnteɾnet/
پروتون	/pɾuːtuːn/
پروتئین	/poɾoteiːn/
پروژه	/pɾoʒe/
پروستات	/pɾostɒːt/
پروستریکا	/peɾostɾiːkɒː/
پروسه	/pɾose/
پرونده	/pæɾvænde/
پرووکاتور	/pɾovokɒːtoɾ/
پزشک	/pezeʃk/
پزشکی	/pezeʃkiː/
پزشک زایمان	/pezeʃke zɒːjemɒːn/
پزشک زنان	/pezeʃke zænɒːn/
پزشکی قانونی	/pezeʃkiːje ɢɒːnuːniː/
پزشک کودکان	/pezeʃke kuːdækɒːn/
پزنده	/pæzændæ/, /pæzænde/
پژو	/puːʒo/
پژوهیدن	/pæʒuːhiːdæn/
پس	/pæs/
پس	/pos/
پساانسان	/pæsɒːensɒːn/
پس از	/pæs æz/
پس از این	/pæs æz iːn/
پس انداز	/pæsændɒːz/
پس انداز کردن	/pæsændɒːzkæɾdæn/
پست	/pæst/
پست	/post/
پست الکترونیکی	/poste elekteɾoniːkiː/
پستان	/pestɒːn/
پستان بند	/pestɒːn bænd/
پستاندار	/pestɒːndɒːɾ/
پستاندار	/pestɒːndæɾ/
پستچی	/postt͡ʃiː/
پستخانه	/postxɒːne/
پست سفارشی	/poste sefɒːɾʃiː/
پسته	/peste/
پست هوائی	/post hævɒːjiː/
پس دادن	/pæsdɒːdæn/
پسر	/pesæɾ/
پسر برادر	/pesæɾe bæɾɒːdæɾ/
پسرخاله	/pesæɾxɒːle/
پسرخوانده	/pesæɾxwɒːnde/
پسر خواهر	/pesæɾe xwɒːhæɾ/
پسردایی	/pesæɾdɒːjiː/
پسردائی	/pesæɾdɒːʔiː/
پسرعمه	/pesæɾʔæmme/
پسرعمه	/pesæɾæmme/
پسرعمو	/pesæɾʔæmuː/
پسرعمو	/pesæɾæmuː/
پس زدن	/pæszædæn/
پس‌زمینه	/pæszæmiːne/
پس غذا	/pæsɢæzɒː/
پس فردا	/pæs fæɾdɒː/
پس‌فردا	/pæsfæɾdɒː/
پس کشیدن	/pæskeʃiːdæn/
پسکوف	/pskuːf/
پس گردنی	/pæsɡæɾdæniː/
پس گردنی زدن	/pæsɡæɾdæniːzædæn/
پسگک	/pæsæɡæk/
پس‌لرزه	/pæslæɾze/
پسند	/pæsænd/
پسندیده	/pæsændiːdæ/, /pæsændiːde/
پسند کردن	/pæsændkæɾdæn/
پسوند	/pæsvænd/
پیش	/piːʃ/
پیشی	/piːʃiː/
پیشاب	/peʃɒːb/
پیش از ظهر	/piːʃ æz zohɾ/
پیش‌افکند	/piːʃæfkænd/
پیشانی	/piːʃɒːniː/
پیشاور	/peʃɒːvæɾ/
پیشباز / پیشواز	/piːʃbɒːz / piːʃvɒːz/
پیشباز / پیشواز آمدن	/piːʃbɒːzɒːmædæn/
پیش‌بینی	/piːʃbiːniː/
پیش‌بینی کردن	/piːʃbiːniːkæɾdæn/
پیش‌بینی‌ کردن	/piːʃbiːniː kæɾdæn/
پشت	/poʃt/
پشتیبان	/poʃtiːbɒːn/
پشتیبانی	/poʃtiːbɒːniː/
پشتیبانی کردن	/poʃtiːbɒːniːkæɾdæn/
پشت پا	/poʃte pɒː/
پشت پا زدن	/poʃtepɒːzædæn/
پشت سر هم	/poʃte sæɾe hæm/
پشتک	/pæʃtæk/
پشتک	/poʃtæk/
پشتک زدن	/poʃtækzædæn/
پشت گردنی	/poʃt ɡæɾdæniː/
پشت گردنی زدن	/poʃtɡæɾdæniːzædæn/
پشتو	/pæʃto/
پیشرفت	/piːʃɾæft/
پیشرفت کردن	/piːʃɾæftkæɾdæn/
پیشرفته	/piːʃɾæfte/
پیشکش	/piːʃkeʃ/, /piːʃkæʃ/
پیش میاد دیگه	/píʃ miːɒːd diːɡe/
پیشین	/piːʃiːn/
پیشنام	/piːʃnɒːm/
پیشنهاد	/peʃnæhɒːd/
پیشنهاد	/piːʃnæhɒːd/
پیشنهاد دادن	/piːʃnæhɒːddɒːdæn/
پیشنهاد کردن	/peʃnæhɒːd kæɾdæn/
پیشنهاد کردن	/piːʃnæhɒːdkæɾdæn/
پشه	/pæʃe/
پیشه	/piːʃæ/
پیشه	/piːʃe/
پشه بند	/pæʃebænd/
پشه بند زدن	/pæʃebændzædæn/
پشه زدن	/pæʃezædæn/
پیشوند	/piːʃvænd/
پیغام	/pejɢɒːm/
پی‌غذا	/t͡ʃiːɢæzɒː/
پف فیل	/pofefiːl/
پیک	/pejk/
پک	/pok/
پک زدن	/pokzædæn/
پکن	/pekæn/
پیل	/piːl/
پل	/pol/
پلاتین	/pelɒːtiːn/
پلاتو	/pelæto/
پلاتو زدن	/pelætozædæn/
پلاسما	/plɒːsmɒː/
پلاک	/pelɒːk/
پلاک زدن	/pelɒːkzædæn/
پلانک	/plɒːnk/
پل زدن	/polzædæn/
پلیس	/poliːs/
پلک	/pælk/
پلک	/pelk/
پلک زدن	/pelkzædæn/
پل کشیدن	/polkeʃiːdæn/
پلیمر	/poliːmeɾ/
پلنگ	/pælænɡ/
پلنگ برفی	/pælænɡe bæɾfiː/
پله	/pelle/
پله برقی	/pele bæɾɢiː/
پلو	/polo/
پماد	/pomɒːd/
پماد زدن	/pomɒːdzædæn/
پیمان	/pejmɒːn/
پیمانه	/pejmɒːnæ/
پیمانه	/pejmɒːne/
پیمانه کردن	/pejmɒːnekæɾdæn/
پمپ	/pomp/
پمپ بنزین	/pompe benziːn/
پنالتی	/penɒːltiː/
پنالتی زدن	/penɒːltiːzædæn/
پناه	/pænɒːh/
پناه آوردن	/pænɒːhɒːvæɾdæn/
پناه بردن	/pænɒːhboɾdæn/
پناه دادن	/pænɒːhdɒːdæn/
پنج	/pænd͡ʒ/
پنجابی	/pænd͡ʒɒːbiː/
پنجاه	/pænd͡ʒɒːh/
پنجر	/pænd͡ʒeɾ/, /pænd͡ʒæɾ/
پنجره	/pænd͡ʒeɾe/, /pænd͡ʒæɾe/
پنجشنبه	/pænd͡ʒʃænbe/
پنج‌شنبه	/pænd͡ʒʃænbe/
پنجم	/pænd͡ʒom/
پنجه	/pænd͡ʒe/
پنجه زدن	/pænd͡ʒezædæn/
پنجول	/pænd͡ʒuːl/
پنجول زدن	/pænd͡ʒuːlzædæn/
پنجول کشیدن	/pænd͡ʒuːlkeʃiːdæn/
پند	/pænd/
پندار	/pendɒːɾ/
پنیر	/pæniːɾ/
پنسیلین	/penesiːliːn/
پنیسیلین	/peniːsiːliːn/
پنسیلین زدن	/penesiːliːnzædæn/
پنکه	/pænke/
پنگان	/penɡɒːn/
پنگوئن	/pænɡuːæn/
پین‌یین	/piːnjiːn/
پینه	/piːne/
پنهان	/penhɒːn/
پنهانی	/penhɒːniː/
پنهان کردن	/penhɒːn kæɾdæn/
پینه بستن	/piːnebæstæn/
پینه زدن	/piːnezædæn/
پهپاد	/pæhpɒːd/
پهلو	/pæhluː/
پهن	/pæhn/
پهن	/pehen/
پهنیان	/pehenjɒːn/
پوپک	/puːpæk/
پوتین	/puːtiːn/
پوچ	/puːt͡ʃ/
پودینگ	/puːdiːnɡ/
پور	/puːɾ/
پورتال	/poɾtɒːl/
پورسلین	/poɾseliːn/
پور سینا	/puːɾe siːnɒː/
پورنوگرافی	/poɾnoɡɾɒːfiː/
پوزیترون	/posiːtɾon/
پوزخند	/puːzxænd/
پوزخند زدن	/puːzxændzædæn/
پوزه	/puːze/
پوزه زدن	/puːzezædæn/
پوزه کشیدن	/puːzekeʃiːdæn/
پوست	/puːst/
پوست بیضه	/puːste bejze/
پوست درخت	/puːste deɾæxt/
پوستر	/posteɾ/
پوست کندن	/puːst kændæn/
پوست گرفتن	/puːstɡeɾeftæn/
پیوستن	/pejvæstæn/
پیوسته	/pejvæstæ/, /pejvæste/
پوسته	/puːstæ/, /puːste/
پوسده	/puːsedæh/
پوشیدن	/puːʃiːdæn/
پوشیده	/puːʃiːdæ/
پوشه	/puːʃe/
پوکر	/puːkeɾ/, /pokeɾ/
پول	/puːl/
پولاد	/puːlɒːd/
پوما	/puːmɒː/
پیوند	/pejvænd/
پیوند زدن	/pejvændzædæn/
پونز	/puːnez/
پیونگ‌یانگ	/piːjonɡjɒːnɡ/
پونه	/puːne/
پي ريزي	/pejɾiːziː/
پيش بايست	/piːʃ bɒːjæst/
پيش شرط	/piːʃ ʃæɾt/
تا	/tɒː/
تا اين اندازه	/tɒː iːn ændɒːzæ/, /tɒː iːn ændɒːze/
تاب	/tɒːb/
تابستان	/tɒːbestɒːn/
تابع	/tɒːbeʔ/
تابع گاما	/tɒːbee ɡæmmæ/
تابلوی اعلانات	/tɒːbloje eʔlɒːnɒːt/
تابناک	/tɒːbnɒːk/
تابه	/tɒːbe/
تابوت	/tɒːbuːt/
تایپه	/tɒːjpe/
تاتار	/tɒːtɒːɾ/
تاتارستان	/tætæɾstɒːn/
تایتانیک	/tejtɒːniːk/
تاج	/tɒːd͡ʒ/
تاجیک	/tɒːd͡ʒiːk/
تاجیکی	/tɒːd͡ʒiːkiː/
تاجیکستان	/tɒːd͡ʒiːkestɒːn/
تاج‌محل	/tɒːd͡ʒmæhæl/
تایید	/tæʔiːd/
تایید شدن	/tæʔiːdʃodæn/
تایید کردن	/tæʔiːdkæɾdæn/
تاراج	/tɒːɾɒːd͡ʒ/
تاراج کردن	/tɒːɾɒːd͡ʒkæɾdæn/
تارتنک	/tɒːɾtænæk/
تاریخ	/tɒːɾiːx/
تاریخ	/tɒːɾîx/
تاریک	/tɒːɾiːk/
تاریکی	/tɒːɾiːkiː/
تارنما	/tɒːɾnæmɒː/
تازی	/tɒːziː/
تازیانه	/tɒːziːjɒːne/
تازیانه	/tɒːziːɒːne/
تازیانه زدن	/tɒːziːɒːnezædæn/
تازیانه‌ها	/tɒːziːjɒːnehɒː/
تازه	/tɒːze/
تازه‌ها	/tɒːzehɒː/
تاسیس	/tæʔsiːs/
تاسیس کردن	/tæʔsiːskæɾdæn/
تاسمانی	/tɒːsmɒːniː/
تا شدن	/tɒːʃodæn/
تاشکند	/tɒːʃkænd/
تاکتیک	/tɒːktiːk/
تاکید	/tæʔkiːd/
تاکید کردن	/tæʔkiːdkæɾdæn/
تا کردن	/tɒː kæɾdæn/
تا کردن	/tɒːkæɾdæn/
تاکسی	/tɒːksiː/
تایلندی	/tɒːjlændiː/
تایلند	/tɒːjlɒːnd/
تامبوف	/tɒːmbuːf/
تاميل	/tɒːmiːl/
تاندون	/tɒːndon/
تانزانیا	/tɒːnzɒːniːjɒː/
تانک	/tɒːnk/
تایوان	/tɒːiːvɒːn/
تاول	/tɒːvæl/
تاول زدن	/tɒːvælzædæn/
تب	/tæb/
تبار	/tæbɒːɾ/
تباری	/tæbɒːɾiː/
تباه	/tæbɒːh/
تبت	/tebbet/, /tæbbæt/
تبخال	/tæbxɒːl/
تبخال زدن	/tæbxɒːlzædæn/
تبدیل	/tæbdiːl/
تبدیل کردن	/tæbdiːlkæɾdæn/
تبر	/tæbæɾ/
تبریز	/tæbɾiːz/
تبر زدن	/tæbæɾzædæn/
تبریک	/tæbɾiːk/
تبریک گفتن	/tæbɾiːkɡoftæn/
تبرئه	/tæbɾæʔe/
تبرئه کردن	/tæbɾæʔekæɾdæn/
تبسم	/tæbæssom/
تبسم کردن	/tæbæssomkæɾdæn/
تب کردن	/tæbkæɾdæn/
تبیلیسی	/tiːbiːliːsiː/
تبلیغ	/tæbliːɢ/
تبلیغات	/tæbliːɢɒːt/
تیپا	/tiːpɒː/
تیپا زدن	/tiːpɒːzædæn/
تپق	/topoɢ/
تپق زدن	/topoɢzædæn/
تپه	/tæpe/
تیتر	/tiːtɾ/
تتراهیدروکانابینول	/tetɾɒːhiːdɾokɒːnɒːbiːnol/
تیتر زدن	/tiːtɾzædæn/
تثبیت	/tæsbiːt/
تثبیت کردن	/tæsbiːtkæɾdæn/
تجاری	/ted͡ʒɒːɾiː/
تجارت	/ted͡ʒɒːɾæt/
تجارتخانه	/ted͡ʒɒːɾætxɒːnæ/, /ted͡ʒɒːɾætxɒːne/
تجاوز	/tæd͡ʒɒːvoz/
تجاوز جنسی	/tæd͡ʒɒːvoz d͡ʒensiː/
تجدیدنظر	/tæd͡ʒdiːde næzæɾ/
تجدیدنظر کردن	/tæd͡ʒdiːdenæzæɾkæɾdæn/
تجدید نظر کردن	/tæd͡ʒdiːde næzæɾ kæɾdæn/
تجربه	/tæd͡ʒɾobe/
تجربه کردن	/tæd͡ʒɾobekæɾdæn/
تجنیس	/tæd͡ʒniːs/
تجویز	/tæd͡ʒviːz/
تجویز کردن	/tæd͡ʒviːzkæɾdæn/
تحریك	/tæhɾiːk/
تحریك کردن	/tæhɾiːkkæɾdæn/
تحریم‌	/tæhɾiːm/
تحریم	/tæhɾiːm/
تحریم‌ کردن	/tæhɾiːmkæɾdæn/
تحسین	/tæhsiːn/
تحقق	/tæhæɢɢoɢ/
تحقق یافتن	/tæhæɢɢoɢjɒːftæn/
تحمل	/tæhæmmol/
تحمیل	/tæhmiːl/
تحمل کردن	/tæhæmmolkæɾdæn/
تحمیل کردن	/tæhmiːlkæɾdæn/
تحول	/tæhævvol/
تحویل	/tæhviːl/
تحویل دادن	/tæhviːldɒːdæn/
تحویل گرفتن	/tæhviːlɡeɾeftæn/
تخت	/tæxt/
تخت جمشید	/tæxted͡ʒæmʃiːd/
تخت طاووس	/tæxte tɒːvuːs/
تخته	/tæxte/
تخته‌پاک‌کن	/tæxtepɒːkkon/
تخته زدن	/tæxtezædæn/
تخته سیاه	/tæxteje siːjɒːh/
تخته سنگ	/tæxtæsænɡ/, /tæxtesænɡ/
تخته نرد	/tæxtenæɾd/
تخته نرد زدن	/tæxtenæɾdzædæn/
تخفیف	/tæxfiːf/
تخفیف دادن	/tæxfiːfdɒːdæn/
تخم	/toxm/
تخم‌دان	/toxmdɒːn/
تخم کردن	/toxmkæɾdæn/
تخم مرغ	/toxme moɾɢ/
تخم مرغ	/toxmemoɾɢ/
تخمین	/tæxmiːn/
تخمین زدن	/tæxmiːnzædæn/
تخمین کردن	/tæxmiːnkæɾdæn/
تخمه	/toxmæ/
تدوینگر	/tædviːnɡæɾ/
تذکر	/tæzækkoɾ/
تذکر دادن	/tæzækkoɾdɒːdæn/
تیر	/tiːɾ/
تیر	/tîɾ/
ترا	/toɾɒː/
ترابار كردن	/tæɾɒːbɒːɾ/
ترازو	/tæɾɒːzuː/
تراش	/tæɾɒːʃ/
تراموای	/tɾɒːmvɒːj/
تیرانداز	/tiːɾændɒːz/
ترانسیلوانیا	/teɾɒːnsiːlvɒːniːjɒː/
ترانه	/tæɾɒːne/
تراوش	/tæɾɒːvoʃ/
تراوش کردن	/tæɾɒːvoʃkæɾdæn/
ترب	/toɾob/
ترجیح	/tæɾd͡ʒiːh/
ترجیح دادن	/tæɾd͡ʒiːh dɒːdæn/
ترجیح دادن	/tæɾd͡ʒiːhdɒːdæn/
ترجمان	/tæɾd͡ʒomɒːn/
ترجمه	/tæɾd͡ʒome/
ترجمه کردن	/tæɾd͡ʒome kæɾdæn/
ترجمه کردن	/tæɾd͡ʒomekæɾdæn/
ترجمه ماشینی	/tæɾd͡ʒome mɒːʃiːniː/
ترخانه	/tæɾxɒːnæ/
تردستی	/tæɾdæstiː/
