ก ข ไม่กระดิกหู	/mâj kràʔ dìk hǔː/
ภาษาไท	/pʰaː sǎː tʰaj/
ภาษาไทย	/pʰaː sǎː tʰaj/
ภาษานอร์เวย์	/pʰaː sǎː nɔː weː/
ภาษาน้ำนม	/pʰaː sǎː náːm nom/
ภาษาบาป	/pʰaː sǎː bàːp/
ภาษาบาลี	/pʰaː sǎː baː liː/
ภาษาเบลารุส	/pʰaː sǎː beː laː rút/
ภาษาเบสิก	/pʰaː sǎː beː sìk/
ภาษาแบบแผน	/pʰaː sǎː bɛ̀ːp pʰɛ̌ːn/
ภาษาประจำชาติ	/pʰaː sǎː pràʔ tɕam tɕʰâːt/
ภาษาปักษ์ใต้	/pʰaː sǎː pàk tâːj/
ภาษาปาก	/pʰaː sǎː pàːk/
ภาษาเปอร์เซีย	/pʰaː sǎː pɤː siːa/
ภาษาฝรั่ง	/pʰaː sǎː fà ràŋ/
ภาษาฝรั่งเศส	/pʰaː sǎː fà ràŋ sèːt/
ภาษาพื้นเมือง	/pʰaː sǎː pʰɯ́ːn mɯːaŋ/
ภาษาพูด	/pʰaː sǎː pʰûːt/
ภาษาภาษี	/pʰaː sǎː pʰaː sǐː/
ภาษามคธ	/pʰaː sǎː má kʰót/
ภาษามือ	/pʰaː sǎː mɯː/
ภาษามือไทย	/pʰaː sǎː mɯː tʰaj/
ภาษาแม่	/pʰaː sǎː mɛ̂ː/
ภาษาย่อย	/pʰaː sǎː jɔ̂ːj/
ภาษาเยอรมัน	/pʰaː sǎː jɤː rá man/
ภาษาราชการ	/pʰaː sǎː râːt tɕʰá kaːn/
ภาษาลาติน	/pʰaː sǎː laː tin/
ภาษาวิบัติ	/pʰaː sǎː wíʔ bàt/
ภาษาศาสตร์	/pʰaː sǎː sàːt/
ภาษาศาสตร์จิตวิทยา	/pʰaː sǎː sàːt tɕìt tàʔ wít tʰá jaː/
ภาษาศาสตร์ประยุกต์	/pʰaː sǎː sàːt pràʔ júk/
ภาษาศาสตร์สังคม	/pʰaː sǎː sàːt sǎŋ kʰom/
ภาษาสเปน	/pʰaː sǎː sà peːn/
น่ามี	/nâː miː/
น่ายกย่อง	/nâː jók jɔ̂ːŋ/
น่ายินดี	/nâː jin diː/
น่ายิ้ม	/nâː jím/
น่าเย็ด	/nâː jét/
น่าระอา	/nâː ráʔ ʔaː/
น่ารัก	/nâː rák/
น่ารักดี	/nâː rák diː/
น่ารักน่าชัง	/nâː rák nâː tɕʰaŋ/
น่ารังเกียจ	/nâː raŋ kìːat/
น่ารับประทาน	/nâː ráp pràʔ tʰaːn/
น่ารำคาญ	/nâː ram kʰaːn/
น่ารำคาญจริงเชียว!	/nâː ram kʰaːn tɕiŋ tɕʰiːaw/
น่ารู้	/nâː rúː/
น่าเร้าใจ	/nâː ráːw tɕaj/
น่าลอง	/nâː lɔːŋ/
น่าลิ้มลอง	/nâː lím lɔːŋ/
น่าวิตก	/nâː wíʔ tòk/
น่าเวทนา	/nâː wêːt tʰá naː/
น่าไว้ใจ	/nâː wáj tɕaj/
น่าเศร้า	/nâː sâw/
น่าสงสัย	/nâː sǒŋ sǎj/
น่าสงสาร	/nâː sǒŋ sǎːn/
น่าสนใจ	/nâː sǒn tɕaj/
น่าสนุกดี	/nâː sà nùk diː/
น่าสบาย	/nâː sà baːj/
น่าสมเพช	/nâː sǒm pʰêːt/
น่าสยดสยอง	/nâː sà jòt sà jɔ̌ːŋ/
น่าสะพรึงกลัว	/nâː sàʔ pʰrɯŋ kluːa/
น่าสังเวช	/nâː sǎŋ wêːt/
น่าเสียใจ	/nâː sǐːa tɕaj/
น่าเสียดาย	/nâː sǐːa daːj/
น่าหดหู่	/nâː hòt hùː/
น่าหมั่นไส้	/nâː màn sâj/
น่าหมั่นไส้	/nâː màn sâj/
บ้านบนภูเขา	/bâːn bon pʰuː kʰǎw/
บ้านป่า	/bâːn pàː/
บ้านป่าเมืองเถื่อน	/bâːn pàː mɯːaŋ tʰɯ̀ːan/
บ้านผม	/bâːn pʰǒm/
บ้านผีสิง	/bâːn pʰǐː sǐŋ/
บ้านพัก	/bâːn pʰák/
บ้านพักคนชรา	/bâːn pʰák kʰon tɕʰá raː/
บ้านพักชั้นเดียว	/bâːn pʰák tɕʰán diːaw/
บ้านพักตากอากาศ	/bâːn pʰák tàːk ʔaː kàːt/
บ้านพักหลังเกษียณ	/bâːn pʰák lǎŋ kà sǐːan/
บ้านพักอาศัย	/bâːn pʰák ʔaː sǎj/
บ้านมอเตอร์	/bâːn mɔː tɤː/
บ้านเมียน้อย	/bâːn miːa nɔ́ːj/
บ้านเมือง	/bâːn mɯːaŋ/
บ้านเมืองป่าเถื่อนล้าหลัง	/bâːn mɯːaŋ pàː tʰɯ̀ːan láː lǎŋ/
บ้านเรา	/bâːn raw/
บ้านเรือน	/bâːn rɯːan/
บ้านไร่	/bâːn râj/
บ้านเล็ก	/bâːn lék/
บ้านเลขที่...	/bâːn lêːk tʰîː/
บ้านและสวน	/bâːn lɛ́ʔ sǔːan/
บ้านส้มป่อย	/bâːn sôm pɔ̀ːj/
บ้านหลังแรกบนถนนที่สาม	/bâːn lǎŋ rɛ̂ːk bon tʰà nǒn tʰîː sǎːm/
กระบอกสูบ	/kràʔ bɔ̀ːk sùːp/
กระบอกเสียง	/kràʔ bɔ̀ːk sǐːaŋ/
กระบอกเสียง	/kràʔ bɔ̀ːk sǐːaŋ/
กระบอกกรองน้ำ	/kràʔ bɔ̀ːk krɔːŋ náːm/
กระบอง	/kràʔ bɔːŋ/
กระบองเพชร	/kràʔ bɔːŋ pʰét/
กระบะ	/kràʔ bàʔ/
กระบังลม	/kràʔ baŋ lom/
กระบังหน้านิรภัย	/kràʔ baŋ nâː níʔ rá pʰaj/
กระบาก	/kràʔ bàːk/
กระบาย	/kràʔ baːj/
กระบาล	/kràʔ baːn/
กระบิ้ง	/kràʔ bîŋ/
กระบิล	/kràʔ bin/
กระบี่	/kràʔ bìː/
กระบี่กระบอง	/kràʔ bìː kràʔ bɔːŋ/
กระบือ	/kràʔ bɯː/
กระบุง	/kràʔ buŋ/
กระบุงโกย	/kràʔ buŋ koːj/
กระบุ่มกระบ่าม	/kràʔ bùm kràʔ bàːm/
กระเบง	/kràʔ beːŋ/
กระเบน	/kràʔ beːn/
กระเบนเหน็บ	/kràʔ beːn nèp/
กระเบียด	/kràʔ bìːat/
กระเบียดกระเสียร	/kràʔ bìːat kràʔ sǐːan/
กระเบื้อง	/kràʔ bɯ̂ːaŋ/
กระเบื้องเคลือบ	/kràʔ bɯ̂ːaŋ kʰlɯ̂ːap/
กระเบื้องซีเม็นต์ใยหินแผ่นเรียบ	/kràʔ bɯ̂ːaŋ siː men jaj hǐn pʰɛ̀n rîːap/
กระเบื้องเซรามิค	/kràʔ bɯ̂ːaŋ seː raː mík/
กระเบื้องปูพื้น	/kràʔ bɯ̂ːaŋ puː pʰɯ́ːn/
กระเบื้องยาง	/kràʔ bɯ̂ːaŋ jaːŋ/
กระเบื้องลอน	/kràʔ bɯ̂ːaŋ lɔːn/
กระเบื้องลูกฟูก	/kràʔ bɯ̂ːaŋ lûːk fûːk/
กระเบื้องหลังคา	/kràʔ bɯ̂ːaŋ lǎŋ kʰaː/
กระแบะมือ	/kràʔ bɛ̀ʔ mɯː/
กระปรี้กระเปร่า	/kràʔ prîː kràʔ pràw/
กระปลกกระเปลี้ย	/kràʔ plòk kràʔ plîːa/
กระป้อกระแป้	/kràʔ pɔ̂ː kràʔ pɛ̂ː/
กระป๋อง	/kràʔ pɔ̌ːŋ/
กระป๋องน้ำมัน	/kràʔ pɔ̌ːŋ nám man/
กระป๋องรดน้ำ	/kràʔ pɔ̌ːŋ rót náːm/
กระป๋องโลหะ	/kràʔ pɔ̌ːŋ loː hàʔ/
กระป๋องสี 	/kràʔ pɔ̌ːŋ sǐː/
กระปอดกระแปด	/kràʔ pɔ̀ːt kràʔ pɛ̀ːt/
กระปิดกระปอย	/kràʔ pìt kràʔ pɔːj/
กระปุก	/kràʔ pùk/
กระปุกใส่นม	/kràʔ pùk sàj nom/
กระปุกหมู 	/kràʔ pùk mǔː/
กระปุกออมสิน	/kràʔ pùk ʔɔːm sǐn/
ข้าราชการพลเรือน	/kʰâː râːt tɕʰá kaːn pʰon lá rɯːan/
ข้าวรพุทธเจ้า	/kʰâː wɔː ráʔ pʰút tʰá tɕâw/
ข้าศึก	/kʰâː sɯ̀k/
ข้าหลวง	/kʰâː lǔːaŋ/
ขาเก	/kʰǎː keː/
ขาแข้ง	/kʰǎː kʰɛ̂ːŋ/
ข่าง	/kʰàːŋ/
ข้าง	/kʰâːŋ/
ข้างขวา	/kʰâːŋ kʰwǎː/
ข้างขึ้น	/kʰâːŋ kʰɯ̂n/
ข้างเคียง	/kʰâːŋ kʰiːaŋ/
ข้างซ้าย	/kʰâːŋ sáːj/
ข้างซ้าย	/kʰâːŋ sáːj/
ข้างใดข้างหนึ่ง	/kʰâːŋ daj kʰâːŋ nɯ̀ŋ/
ข้างต้น	/kʰâːŋ tôn/
ข้างใต้	/kʰâːŋ tâj/
ข้างถนน	/kʰâːŋ tʰà nǒn/
ข้างถนน	/kʰâːŋ tʰà nǒn/
ข้างทาง	/kʰâːŋ tʰaːŋ/
ข้างนอก	/kʰâːŋ nɔ̂ːk/
ข้างนอก	/kʰâːŋ nɔ̂ːk/
ข้างน้อย	/kʰâːŋ nɔ́ːj/
ข้างใน	/kʰâːŋ naj/
ข้างในห้อง	/kʰâːŋ naj hɔ̂ːŋ/
ข้างบน	/kʰâːŋ bon/
ข้างมาก	/kʰâːŋ mâːk/
ข้างแรม	/kʰâːŋ rɛːm/
ข้างแรม	/kʰâːŋ rɛːm/
ข้างล่าง	/kʰâːŋ lâːŋ/
ข้างหน้า	/kʰâːŋ nâː/
ข้างหลัง	/kʰâːŋ lǎŋ/
ข้างหลัง	/kʰâːŋ lǎŋ/
ข้าง ๆ	/kʰâːŋ kʰâːŋ/
ข้างเตียง	/kʰâːŋ tiːaŋ/
ขาด	/kʰàːt/
ขาดกระจุย	/kʰàːt kràʔ tɕuj/
ปราการ	/praː kaːn/
ปราการหลัง	/praː kaːn lǎŋ/
ปราง	/praːŋ/
ปรางค์	/praːŋ/
ปราจีน	/praː tɕiːn/
ปราจีนบุรี	/praː tɕiːn bùʔ riː/
ปราชญ์	/pràːt/
ปราชญ์ชาวบ้าน	/pràːt tɕʰaːw bâːn/
ปราชญ	/praː tɕʰon/
ปราชัย	/pàʔ raː tɕʰaj/
ปราณ	/praːn/
ปราณบุรี	/praːn bùʔ riː/
ปราณี	/praː niː/
ปราด	/pràːt/
ปราดเปรียว	/pràːt priːaw/
ปราดเปรียว	/pràːt priːaw/
ปราดเปรื่อง	/pràːt prɯ̀ːaŋ/
ปรานี	/praː niː/
ปรานีปราศรัย	/praː niː praː sǎj/
ปราบ	/pràːp/
ปราบดาภิเษก	/pràːp daː pʰíʔ sèːk/
ปราบปราม	/pràːp praːm/
ปราม	/praːm/
ปรามาส	/praː mâːt/
ปราโมช	/praː môːt/
ปราโมทย์	/praː môːt/
ปรายตา	/praːj taː/
ปรารถนา	/pràːt tʰà nǎː/
ปรารภ	/praː róp/
ปราศ	/pràːt/
ปราศจาก	/pràːt sà tɕàːk/
ปราศจากเงื่อนไข	/pràːt sà tɕàːk ŋɯ̂ːan kʰǎj/
ปราศรัย	/praː sǎj/
ปราศรัยหาเสียง	/praː sǎj hǎː sǐːaŋ/
ปราสาท	/praː sàːt/
ปราสาททราย	/praː sàːt saːj/
ปราสาทสายฟ้า	/praː sàːt sǎːj fáː/
ปราสาทพระวิหาร	/praː sàːt pʰráʔ wíʔ hǎːn/
ปริ	/prìʔ/
ปริทรรศน์	/prìʔ tʰát/
ปรินิพพาน	/pà ríʔ níp pʰaːn/
ปริปาก	/prìʔ pàːk/
คริสโตเฟอร์	/kʰrít toː fɤː/
คริสปี้	/kʰrít pîː/
ครีบ	/kʰrîːp/
ครีบว่ายน้ำ	/kʰrîːp wâːj náːm/
ครีพท็อน	/kʰrîːp tʰɔn/
ครีม	/kʰriːm/
ครีมกันแดด	/kʰriːm kan dɛ̀ːt/
ครีมกันยุง	/kʰriːm kan juŋ/
ครีมโกนหนวด	/kʰriːm koːn nùːat/
ครีมทาผิว	/kʰriːm tʰaː pʰǐw/
ครีมทาหนังตา	/kʰriːm tʰaː nǎŋ taː/
ครีมทาหน้า	/kʰriːm tʰaː nâː/
ครีมทาอาบแดด	/kʰriːm tʰaː ʔàːp dɛ̀ːt/
ครีมเทียม	/kʰriːm tʰiːam/
ครีมนวดผม	/kʰriːm nûːat pʰǒm/
ครีมบำรุงผิว	/kʰriːm bam ruŋ pʰǐw/
ครีมรองพื้น	/kʰriːm rɔːŋ pʰɯ́ːn/
ครีมล้างหน้า	/kʰriːm láːŋ nâː/
ครีมใส่ผม	/kʰriːm sàj pʰǒm/
ครีมหล่อลื่น เค.วาย.	/kʰriːm lɔ̀ː lɯ̂ːn kʰeː waːj/
ครีมอาบน้ำ	/kʰriːm ʔàːp náːm/
ครีษมายัน	/kʰrîːt maː jan/
ครึก	/kʰrɯ́k/
ครึกโครม	/kʰrɯ́k kʰroːm/
ครึกโครม	/kʰrɯ́k kʰroːm/
ครึกครื้น	/kʰrɯ́k kʰrɯ́ːn/
ครึ่ง	/kʰrɯ̂ŋ/
ครึ่งชั่วโมง	/kʰrɯ̂ŋ tɕʰûːa moːŋ/
ครึ่งเดียว	/kʰrɯ̂ŋ diːaw/
ครึ่งต่อครึ่ง	/kʰrɯ̂ŋ tɔ̀ː kʰrɯ̂ŋ/
ครึ่งท่อน	/kʰrɯ̂ŋ tʰɔ̂ːn/
ครึ่งบกครึ่งน้ำ	/kʰrɯ̂ŋ bòk kʰrɯ̂ŋ náːm/
ครึ่งราคา	/kʰrɯ̂ŋ raː kʰaː/
ครึ่งแรกของคริสต์ศตวรรษที่ ๒๐	/kʰrɯ̂ŋ rɛ̂ːk kʰɔ̌ːŋ kʰrít sà tà wát tʰîː jîː sìp/
ครึ่งวงกลม	/kʰrɯ̂ŋ woŋ klom/
ครึ่งเสา	/kʰrɯ̂ŋ sǎw/
ครึ่งเสียง	/kʰrɯ̂ŋ sǐːaŋ/
ครึ่งหนึ่ง	/kʰrɯ̂ŋ nɯ̀ŋ/
ครึ่งหลังของคริสต์ศตวรรษที่ ๒๐	/kʰrɯ̂ŋ lǎŋ kʰɔ̌ːŋ kʰrít sà tà wát tʰîː jîː sìp/
ครึ่งหลับครึ่งตื่น	/kʰrɯ̂ŋ làp kʰrɯ̂ŋ tɯ̀ːn/
ครึ่งเหรียญ	/kʰrɯ̂ŋ rǐːan/
ครึ่งโหล	/kʰrɯ̂ŋ lǒː/
ครึ่ง ๆ	/kʰrɯ̂ŋ kʰrɯ̂ŋ/
ครึ่ง ๆ กลาง ๆ	/kʰrɯ̂ŋ kʰrɯ̂ŋ klaːŋ klaːŋ/
ครึ้ม	/kʰrɯ́m/
ครึ้มฟ้า	/kʰrɯ́m fáː/
ครึ้มฟ้าครึ้มฝน	/kʰrɯ́m fáː kʰrɯ́m fǒn/
ครืดคราด	/kʰrɯ̂ːt kʰrâːt/
ครืน	/kʰrɯːn/
ผ้าริ้ว	/pʰâː ríw/
ผ้าล้าง	/pʰâː láːŋ/
ผ้าล้างจาน	/pʰâː láːŋ tɕaːn/
ผ้าลาย	/pʰâː laːj/
ผ้าลายจุด	/pʰâː laːj tɕùt/
ผ้าลายดอก	/pʰâː laːj dɔ̀ːk/
ผ้าลายพิมพ์	/pʰâː laːj pʰim/
ผ้าลายสก็อต	/pʰâː laːj sà kɔ̀t/
ผ้าลายสอง	/pʰâː laːj sɔ̌ːŋ/
ผ้าลินิน	/pʰâː líʔ nin/
ผ้าสวิส	/pʰâː sà wít/
ผ้าสามผืน	/pʰâː sǎːm pʰɯ̌ːn/
ผ้าสำลี	/pʰâː sǎm liː/
ผ้าสีลายพราง	/pʰâː sǐː laːj pʰraːŋ/
ผ้าห่ม	/pʰâː hòm/
ผ้าห่มนอน	/pʰâː hòm nɔːn/
ผ้าห่มไฟฟ้า	/pʰâː hòm faj fáː/
ผ้าหมึก	/pʰâː mɯ̀k/
ผ้าหมึกพิมพ์ดีด	/pʰâː mɯ̀k pʰim dìːt/
ผ้าหยาบ	/pʰâː jàːp/
ผ้าไหม	/pʰâː mǎj/
ผ้าไหมไทย	/pʰâː mǎj tʰaj/
ผ้าไหว้	/pʰâː wâj/
ผ้าอนามัย	/pʰâː ʔà naː maj/
ผ้าอ้อม 	/pʰâː ʔɔ̂ːm/
ผ้าอ้อมกางเกง	/pʰâː ʔɔ̂ːm kaːŋ keːŋ/
ผ้าอ้อมกางเกงผู้ใหญ่ 	/pʰâː ʔɔ̂ːm kaːŋ keːŋ pʰûː jàj/
ผ้าอ้อมกางเกงผู้ใหญ่อเนกประสงค์	/pʰâː ʔɔ̂ːm kaːŋ keːŋ pʰûː jàj ʔà nèːk pràʔ sǒŋ/
ผ้าอ้อมเด็ก	/pʰâː ʔɔ̂ːm dèk/
ผ้าอ้อมเปียก	/pʰâː ʔɔ̂ːm pìːak/
ผ้าอ้อมผู้ใหญ่	/pʰâː ʔɔ̂ːm pʰûː jàj/
ผ้าอ้อมเพื่อเด็กใหญ่ที่ยังปัสสาวะรดที่นอนอยู่	/pʰâː ʔɔ̂ːm pʰɯ̂ːa dèk jàj tʰîː jaŋ pàt sǎː wáʔ rót tʰîː nɔːn jùː/
ผ้าอ้อมสำเร็จใช้ครั้งเดียว	/pʰâː ʔɔ̂ːm sǎm rèt tɕʰáj kʰráŋ diːaw/
ผ้าอ้อมสำเร็จรูป	/pʰâː ʔɔ̂ːm sǎm rèt rûːp/
ผ้าอ้อมสำเร็จรูปใช้ครั้งเดียว	/pʰâː ʔɔ̂ːm sǎm rèt rûːp tɕʰáj kʰráŋ diːaw/
ผ้าอาบ	/pʰâː ʔàːp/
ผาก	/pʰàːk/
ผ้ากฐิน	/pʰâːk tʰǐn/
ผ้าขนแกะ	/pʰâː kʰǒn kɛ̀ʔ/
ผาง	/pʰǎːŋ/
ผาณิต	/pʰǎː nít/
ผาด	/pʰàːt/
ผาดเผิน ๆ	/pʰàːt pʰɤ̌ːn pʰɤ̌ːn/
ผาดโผน	/pʰàːt pʰǒːn/
ผ่าน	/pʰàːn/
ผ่านกรรมวิธีป้องกันไม่ให้เน่า	/pʰàːn kam má wíʔ tʰiː pɔ̂ːŋ kan mâj hâj nâw/
ผ่านการทดสอบ	/pʰàːn kaːn tʰót sɔ̀ːp/
เด็กเส้น	/dèk sên/
เด็กเสิร์ฟ	/dèk sɤ̀ːf/
เด็กหญิง	/dèk jǐŋ/
เด็กหนุ่ม	/dèk nùm/
เด็กหลายคน	/dèk lǎːj kʰon/
เด็กใหญ่	/dèk jàj/
เด็กใหญ่ที่ยังปัสสาวะรดที่นอนอยู่	/dèk jàj tʰîː jaŋ pàt sǎː wáʔ rót tʰîː nɔːn jùː/
เด็กอนุบาล	/dèk ʔà núʔ baːn/
เด็กอมมือ	/dèk ʔom mɯː/
เด็กอ่อน	/dèk ʔɔ̀ːn/
เด็กออฟ	/dèk ʔɔ̀ːf/
เด็ก ๆ	/dèk dèk/
พระวรวงศ์เธอ	/pʰráʔ wɔː ráʔ woŋ tʰɤː/
พระวิญญาณบริสุทธิ์	/pʰráʔ win jaːn bɔː ríʔ sùt/
พระวิษณุ	/pʰráʔ wít sà núʔ/
พระวิษณุ	/pʰráʔ wít sà núʔ/
พระวิษณุ	/pʰráʔ wít sà núʔ/
พระศอ	/pʰráʔ sɔ̌ː/
พระศากยมุนี	/pʰráʔ sàːk já múʔ niː/
พระศิวะ	/pʰráʔ sìʔ wáʔ/
พระเศวต	/pʰráʔ sà wèːt/
พระเศียร	/pʰráʔ sǐːan/
พระสงฆ์ 	/pʰráʔ sǒŋ/
พระสมเด็จวัดระฆัง	/pʰráʔ sǒm dèt wát ráʔ kʰaŋ/
พระสังกัจจายน์ 	/pʰráʔ sǎŋ kàt tɕaːj/
พระสังฆราช	/pʰráʔ sǎŋ kʰá râːt/
พระสุตตันตปิฎก	/pʰráʔ sùt tan tà pìʔ dòk/
พระสุธารส	/pʰráʔ sùʔ tʰaː rót/
พระเสโท	/pʰráʔ sěː tʰoː/
พระเสาร์	/pʰráʔ sǎw/
พระแสง	/pʰráʔ sɛ̌ːŋ/
พระหัตถ์	/pʰráʔ hàt/
พระอธิการ	/pʰráʔ ʔà tʰíʔ kaːn/
พระอนุวงศ์	/pʰráʔ ʔà núʔ woŋ/
พระอภิธรรม	/pʰráʔ ʔà pʰíʔ tʰam/
พระอาทิตย์	/pʰráʔ ʔaː tʰít/
พระอาทิตย์ขึ้น	/pʰráʔ ʔaː tʰít kʰɯ̂n/
พระอาทิตย์ตก	/pʰráʔ ʔaː tʰít tòk/
พระอารามหลวง	/pʰráʔ ʔaː raːm lǔːaŋ/
พระอิฐพระปูน	/pʰráʔ ʔìt pʰráʔ puːn/
พระอินทร์	/pʰráʔ ʔin/
พระอุโบสถ	/pʰráʔ ʔùʔ boː sòt/
พระอุปัชฌาย์	/pʰráʔ ʔùʔ pàt tɕʰaː/
พระอุระ	/pʰráʔ ʔùʔ ráʔ/
พระเอก	/pʰráʔ ʔèːk/
พระโอษฐ์	/pʰráʔ ʔòːt/
พระโอสถ	/pʰráʔ ʔoː sòt/
พระคุณ	/pʰráʔ kʰun/
พระเครื่อง	/pʰráʔ kʰrɯ̂ːaŋ/
พระจอมเกล้า	/pʰráʔ tɕɔːm klâw/
พระฉาย	/pʰráʔ tɕʰǎːj/
พระชนม์	/pʰráʔ tɕʰon/
จำพวก	/tɕam pʰûːak/
จำไม่ได้	/tɕam mâj dâj/
จำไว้	/tɕam wáj/
จำศีล	/tɕam sǐːn/
จำศีล	/tɕam sǐːn/
จำหน้าไว้	/tɕam nâː wáj/
จำหน่าย	/tɕam nàːj/
จำหน่าย	/tɕam nàːj/
จำหน่ายคดี	/tɕam nàːj kʰá diː/
จ้ำ	/tɕâm/
จ้ำเอา	/tɕâm ʔaw/
จำกัด	/tɕam kàt/
จำกัดความ	/tɕam kàt kʰwaːm/
จำกัดความเร็ว	/tɕam kàt kʰwaːm rew/
จำกัดจำเขี่ย	/tɕam kàt tɕam kʰìːa/
จำกัดบริเวณ	/tɕam kàt bɔː ríʔ weːn/
จำเขี่ย	/tɕam kʰìːa/
จ้ำจี้จ้ำไช	/tɕâm tɕîː tɕâm tɕʰaj/
จ้ำจี้มะเขือเปาะ	/tɕâm tɕîː máʔ kʰɯ̌ːa pɔ̀ʔ/
จำเจ	/tɕam tɕeː/
จำนง	/tɕam noŋ/
จำนน	/tɕam non/
จำนวน	/tɕam nuːan/
จำนวนเกิน	/tɕam nuːan kɤːn/
จำนวนจริง	/tɕam nuːan tɕiŋ/
จำนวนจินตภาพ	/tɕam nuːan tɕin tà pʰâːp/
จำนวนเชิงซ้อน	/tɕam nuːan tɕʰɤːŋ sɔ́ːn/
จำนวนเต็ม	/tɕam nuːan tem/
จำนวนเติม	/tɕam nuːan tɤːm/
จำนวนที่น้อยกว่า	/tɕam nuːan tʰîː nɔ́ːj kwàː/
จำนวนธรรมชาติ	/tɕam nuːan tʰam má tɕʰâːt/
จำนวนนับ	/tɕam nuːan náp/
จำนวนร้อยละ	/tɕam nuːan rɔ́ːj láʔ/
จำนวนอตรรกยะ	/tɕam nuːan ʔà tàk kà jáʔ/
จำนวนมาก	/tɕam nuːan mâːk/
จำนวนโวลต์	/tɕam nuːan woːn/
จำนอง	/tɕam nɔːŋ/
จำนำข้าว	/tɕam nam kʰâːw/
จำแนก	/tɕam nɛ̂ːk/
ร.๕	/rɔː hâː/
ร.ง.	/roːŋ ŋaːn/
ร.ด.	/rɔː dɔː/
ร.ต.	/rɔ́ːj triː/
ร.ต.ต.	/rɔ́ːj tam rùːat triː/
ร.ท.	/rɔ́ːj tʰoː/
ร.น.	/ʔaː ʔeːn/
ร.ป.ท.	/rɔː pɔː tʰɔː/
ร.ป.ภ.	/rɔː pɔː pʰɔː/
ร.พ.	/roːŋ pʰá jaː baːn/
ร.ฟ.ท.	/rɔː fɔː tʰɔː/
ร.ฟ.ล.	/rɔː fɔː lɔː/
ร.ร.	/roːŋ riːan/
ร.อ.	/rɔ́ːj ʔèːk/
รก	/rók/
รกตา	/rók taː/
รกร้าง	/rók ráːŋ/
รกร้างว่างเปล่า	/rók ráːŋ wâːŋ plàːw/
รกรุงรัง	/rók ruŋ raŋ/
รกราก	/rók râːk/
รง	/roŋ/
รง.	/kràʔ suːaŋ rɛːŋ ŋaːn/
รงค์	/roŋ/
รงรอง	/roŋ rɔːŋ/
รช.	/rɔː tɕʰɔː/
รณรงค์	/ron ná roŋ/
รด	/rót/
รดน้ำ 	/rót náːm/
รดน้ำดำหัว	/rót náːm dam hǔːa/
รดน้ำมนต์	/rót nám mon/
รดน้ำศพ	/rót náːm sòp/
รดน้ำสังข์	/rót náːm sǎŋ/
รติ	/rá tìʔ/
รถ	/rót/
รถกระบะ	/rót kràʔ bàʔ/
รถกะปะ	/rót kàʔ pàʔ/
รถเก๋ง	/rót kěŋ/
รถเกราะ	/rót krɔ̀ʔ/
รถของผม	/rót kʰɔ̌ːŋ pʰǒm/
ชีวัน	/tɕʰiː wan/
ชีวา	/tɕʰiː waː/
ชีวิต	/tɕʰiː wít/
ชีวิตกลางคืน	/tɕʰiː wít klaːŋ kʰɯːn/
ชีวิตคู่	/tɕʰiː wít kʰûː/
ชีวิตจริง	/tɕʰiː wít tɕiŋ/
ชีวิตจิตใจ	/tɕʰiː wít tɕìt tɕaj/
ชีวิตชีวา	/tɕʰiː wít tɕʰiː waː/
ชีวิตประจำวัน	/tɕʰiː wít pràʔ tɕam wan/
ชีวิน	/tɕʰiː win/
ชีวี	/tɕʰiː wiː/
ชีส	/tɕʰîːt/
ชีอะห์	/tɕʰiː ʔàʔ/
ชึ้ง	/tɕʰɯ́ŋ/
ชืด	/tɕʰɯ̂ːt/
ชื่น	/tɕʰɯ̂ːn/
ชื่นใจ	/tɕʰɯ̂ːn tɕaj/
ชื่นใจ	/tɕʰɯ̂ːn tɕaj/
ชื่นชม	/tɕʰɯ̂ːn tɕʰom/
ชื่นชม	/tɕʰɯ̂ːn tɕʰom/
ชื่นชอบ	/tɕʰɯ̂ːn tɕʰɔ̂ːp/
ชื่นบาน	/tɕʰɯ̂ːn baːn/
ชื้น	/tɕʰɯ́ːn/
ชื้นแฉะ	/tɕʰɯ́ːn tɕʰɛ̀ʔ/
มหามกุฏ	/má hǎː má kùt/
มหาราช	/má hǎː râːt/
มหาราชา	/má hǎː raː tɕʰaː/
มหาวิทยาลัย	/má hǎː wít tʰá jaː laj/
มหาวิทยาลัยเกษตรศาสตร์	/má hǎː wít tʰá jaː laj kà sèːt sàːt/
มหาวิทยาลัยขอนแก่น	/má hǎː wít tʰá jaː laj kʰɔ̌ːn kɛ̀n/
มหาวิทยาลัยเชียงใหม่	/má hǎː wít tʰá jaː laj tɕʰiːaŋ màj/
มหาวิทยาลัยทักษิณ	/má hǎː wít tʰá jaː laj tʰák sǐn/
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี	/má hǎː wít tʰá jaː laj tʰêːk noː loː jiː pʰráʔ tɕɔːm klâw tʰon bùʔ riː/
มหาวิทยาลัยเทคโนโลยีราชมงคล	/má hǎː wít tʰá jaː laj tʰêːk noː loː jiː râːt tɕʰá moŋ kʰon/
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี	/má hǎː wít tʰá jaː laj tʰêːk noː loː jiː râːt tɕʰá moŋ kʰon tʰan já bùʔ riː/
มหาวิทยาลัยธรรมศาสตร์	/má hǎː wít tʰá jaː laj tʰam má sàːt/
