가	/ka̠/
뚜렷거리다	/t͈uɾjʌ̹t̚k͈ʌ̹ɾida̠/
뚜렷하다	/t͈uɾjʌ̹tʰa̠da̠/
뚜르크메니스딴	/t͈uɾɯkxɯme̞nisʰɯt͈a̠n/
뚜벅	/t͈ubʌ̹k̚/
뚜쟁이	/t͈ud͡ʑɛ̝ŋi/
뚝	/t͈uk̚/
뚝딱	/t͈uk̚t͈a̠k̚/
뚝뚝	/t͈uk̚t͈uk̚/
뚝배기	/t͈uk̚p͈ɛ̝ɡi/
뚝심	/t͈ukɕ͈im/
뚫다	/t͈uɭtʰa̠/
뚫리다	/t͈uɭʎida̠/
뚫어지다	/t͈uɾʌ̹d͡ʑida̠/
뚱	/t͈uŋ/
뚱그렇다	/t͈uŋɡɯɾʌ̹tʰa̠/
뚱그스름	/t͈uŋɡɯsʰɯɾɯm/
뚱땅	/t͈uŋt͈a̠ŋ/
뚱뚱	/t͈uŋt͈uŋ/
뚱뚱하다	/t͈uŋt͈uŋɦa̠da̠/
뚱싯	/t͈uŋɕʰit̚/
뚱싯거리다	/t͈uŋɕʰit̚k͈ʌ̹ɾida̠/
뚱하다	/t͈uŋɦa̠da̠/
뛰기	/t͈ɥiɡi/, /t͈yɡi/
뛰놀다	/t͈ɥino̞ɭda̠/, /t͈yno̞ɭda̠/
뛰다	/t͈ɥida̠/, /t͈yda̠/
뛰룩	/t͈ɥiɾuk̚/, /t͈yɾuk̚/
뛰르끼예	/t͈ɥiɾɯk͈ije̞/, /t͈yɾɯk͈ije̞/
뛰어가다	/t͈ɥiʌ̹ɡa̠da̠/, /t͈yʌ̹ɡa̠da̠/
뛰어나가다	/t͈ɥiʌ̹na̠ɡa̠da̠/, /t͈yʌ̹na̠ɡa̠da̠/
뛰어나다	/t͈ɥiʌ̹na̠da̠/, /t͈yʌ̹na̠da̠/
뛰어나오다	/t͈ɥiʌ̹na̠o̞da̠/, /t͈yʌ̹na̠o̞da̠/
뛰어난	/t͈ɥiʌ̹na̠n/, /t͈yʌ̹na̠n/
뛰어남	/t͈ɥiʌ̹na̠m/, /t͈yʌ̹na̠m/
뛰어내리다	/t͈ɥiʌ̹nɛ̝ɾida̠/, /t͈yʌ̹nɛ̝ɾida̠/
뛰어넘다	/t͈ɥiʌ̹nʌ̹mda̠/, /t͈yʌ̹nʌ̹mda̠/
뛰어놀다	/t͈ɥiʌ̹no̞ɭda̠/, /t͈yʌ̹no̞ɭda̠/
뛰어다니다	/t͈ɥiʌ̹da̠nida̠/, /t͈yʌ̹da̠nida̠/
뛰어들다	/t͈ɥiʌ̹dɯɭda̠/, /t͈ɥijʌ̹dɯɭda̠/, /t͈yʌ̹dɯɭda̠/, /t͈yjʌ̹dɯɭda̠/
뛰어오다	/t͈ɥiʌ̹o̞da̠/, /t͈yʌ̹o̞da̠/
뛰어오르다	/t͈ɥiʌ̹o̞ɾɯda̠/, /t͈yʌ̹o̞ɾɯda̠/
뛰여들기	/t͈ɥijʌ̹dɯɭɡi/, /t͈yjʌ̹dɯɭɡi/
뜀들다	/t͈ɥimdɯɭda̠/, /t͈ymdɯɭda̠/
뜀박질	/t͈ɥimba̠k̚t͡ɕ͈iɭ/, /t͈ymba̠k̚t͡ɕ͈iɭ/
뜀줄	/t͈ɥimd͡ʑuɭ/, /t͈ymd͡ʑuɭ/
뜀줄운동	/t͈ɥimd͡ʑuɾundo̞ŋ/, /t͈ymd͡ʑuɾundo̞ŋ/
뜀틀	/t͈ɥimtʰɯɭ/, /t͈ymtʰɯɭ/
뜌니스	/t͈junisʰɯ/
뜌니지	/t͈junid͡ʑi/
뜨개질	/t͈ɯɡɛ̝d͡ʑiɭ/
뜨거운	/t͈ɯɡʌ̹un/
뜨거운 암흑물질	/t͈ɯɡʌ̹un a̠mɣɯŋmuɭd͡ʑiɭ/
뜨거움	/t͈ɯɡʌ̹um/
뜨겁다	/t͈ɯɡʌ̹p̚t͈a̠/
뜨기	/t͈ɯɡi/
뜨끈	/t͈ɯk͈ɯn/
뜨끈하다	/t͈ɯk͈ɯnɦa̠da̠/
뜨끔	/t͈ɯk͈ɯm/
뜨끔거리다	/t͈ɯk͈ɯmɡʌ̹ɾida̠/
뜨끔하다	/t͈ɯk͈ɯmɦa̠da̠/
뜨내기	/t͈ɯnɛ̝ɡi/
뜨다	/t͈ɯda̠/
뜨더국	/t͈ɯdʌ̹ɡuk̚/
뜨뜻	/t͈ɯt͈ɯt̚/
뜨뜻하다	/t͈ɯt͈ɯtʰa̠da̠/
뜨락	/t͈ɯɾa̠k̚/
뜨락또르	/t͈ɯɾa̠k̚t͈o̞ɾɯ/
뜨락또르걸이대	/t͈ɯɾa̠k̚t͈o̞ɾɯɡʌ̹ɾidɛ̝/
뜨르들로	/t͈ɯɾɯdɯɭɭo̞/
뜨리다	/t͈ɯɾida̠/
뜨베리	/t͈ɯbe̞ɾi/
뜨빌리씨	/t͈ɯbiɭʎiɕ͈i/
뜨음	/t͈ɯɯm/
뜨음하다	/t͈ɯɯmɦa̠da̠/
뜨이다	/t͈ɯida̠/
뜬구름	/t͈ɯnɡuɾɯm/
뜬금	/t͈ɯnɡɯm/
뜬금없이	/t͈ɯnɡɯmʌ̹pɕ͈i/
뜬눈	/t͈ɯnnun/
뜬말	/t͈ɯnma̠ɭ/
뜬뽈	/t͈ɯnp͈o̞ɭ/
뜬소문	/t͈ɯnsʰo̞mun/
뜯기다	/t͈ɯt̚k͈ida̠/
뜯다	/t͈ɯt̚t͈a̠/
뜯적	/t͈ɯt̚t͡ɕ͈ʌ̹k̚/
뜰	/t͈ɯɭ/
뜰락스깔라	/t͈ɯɭɭa̠ks͈ɯk͈a̠ɭɭa̠/
뜰먹	/t͈ɯɭmʌ̹k̚/
뜸	/t͈ɯm/
뜸뜨다	/t͈ɯmt͈ɯda̠/
뜸직	/t͈ɯmd͡ʑik̚/
뜸질	/t͈ɯmd͡ʑiɭ/
뜸하다	/t͈ɯmɦa̠da̠/
뜻	/t͈ɯt̚/
뜻글자	/t͈ɯt̚k͈ɯɭd͡ʑa̠/
뜻대로	/t͈ɯt̚t͈ɛ̝ɾo̞/
뜻밖	/t͈ɯt̚p͈a̠k̚/
뜻밖에	/t͈ɯt̚p͈a̠k͈e̞/
뜻빛갈	/t͈ɯt̚p͈it̚k͈a̠ɭ/
뜻하다	/t͈ɯtʰa̠da̠/
띄다	/t͈ida̠/
띄어쓰기	/t͈iʌ̹s͈ɯɡi/
띄여쓰기	/t͈ijʌ̹s͈ɯɡi/
띄우다	/t͈iuda̠/
띄워쳐넣기	/t͈iwʌ̹t͡ɕʰjʌ̹nʌ̹kçi/
띠	/t͈i/
띠다	/t͈ida̠/
띠동갑	/t͈ido̞ŋɡa̠p̚/
띠모양고기압	/t͈imo̞ja̠ŋɡo̞ɡia̠p̚/
띠모양바람	/t͈imo̞ja̠ŋba̠ɾa̠m/
띠모양분포	/t͈imo̞ja̠ŋbunpʰo̞/
띠모양순환	/t͈imo̞ja̠ŋsʰunβwa̠n/
띠모양지수	/t͈imo̞ja̠ŋd͡ʑisʰu/
띠모양흐름	/t͈imo̞ja̠ŋɣɯɾɯm/
띠앗	/t͈ia̠t̚/
띠이다	/t͈iida̠/
띳장	/t͈it̚t͡ɕ͈a̠ŋ/
띵	/t͈iŋ/
띵띵	/t͈iŋt͈iŋ/
띵띵하다	/t͈iŋt͈iŋɦa̠da̠/
띵하다	/t͈iŋɦa̠da̠/
라	/ɾa̠/
라고	/ɾa̠ɡo̞/
라는	/ɾa̠nɯn/
라니	/ɾa̠ni/
라니까	/ɾa̠nik͈a̠/
라니냐	/ɾa̠niɲja̠/
라도	/ɾa̠do̞/
라돈	/ɾa̠do̞n/
라듐	/ɾa̠djum/
라드	/ɾa̠dɯ/
라든지	/ɾa̠dɯnd͡ʑi/
라디에이터	/ɾa̠die̞itʰʌ̹/
라디오	/ɾa̠dio̞/
라디오방송	/ɾa̠dio̞ba̠ŋsʰo̞ŋ/
라디오존데	/ɾa̠dio̞d͡ʑo̞nde̞/
라뜨비야	/ɾa̠t͈ɯbija̠/
라라	/ɾa̠ɾa̠/
라르간도	/ɾa̠ɾɯɡa̠ndo̞/
라르게토	/ɾa̠ɾɯɡe̞tʰo̞/
라르고	/ɾa̠ɾɯɡo̞/
라르기시모	/ɾa̠ɾɯɡiɕʰimo̞/
라마	/ɾa̠ma̠/
라멘스꼬에	/ɾa̠me̞nsʰɯk͈o̞e̞/
라멘타빌레	/ɾa̠me̞ntʰa̠biɭɭe̞/
라며	/ɾa̠mjʌ̹/
라면	/ɾa̠mjʌ̹n/
라벤더	/ɾa̠be̞ndʌ̹/
라벤더색	/ɾa̠be̞ndʌ̹sʰɛ̝k̚/
라벨	/ɾa̠be̞ɭ/
라볶이	/ɾa̠p͈o̞k͈i/
라빠스	/ɾa̠p͈a̠sʰɯ/
라서	/ɾa̠sʰʌ̹/
라야	/ɾa̠ja̠/
라오	/ɾa̠o̞/
라오스	/ɾa̠o̞sʰɯ/
라운드	/ɾa̠undɯ/
라운지	/ɾa̠und͡ʑi/
라이그라스	/ɾa̠iɡɯɾa̠sʰɯ/
라이닝	/ɾa̠iniŋ/
라이더	/ɾa̠idʌ̹/
라이방	/ɾa̠iba̠ŋ/
라이벌	/ɾa̠ibʌ̹ɭ/
라이베리아	/ɾa̠ibe̞ɾia̠/
라이센스	/ɾa̠isʰe̞nsʰɯ/
라이온스클럽	/ɾa̠io̞nsʰɯkxɯɭɭʌ̹p̚/
라이타	/ɾa̠itʰa̠/
라이터	/ɾa̠itʰʌ̹/
라이트	/ɾa̠itʰɯ/
라이트급	/ɾa̠itʰɯɡɯp̚/
라이프치히	/ɾa̠ipʰɯt͡ɕʰiʝi/
라인	/ɾa̠in/
라일락	/ɾa̠iɭɭa̠k̚/
라일락색	/ɾa̠iɭɭa̠ks͈ɛ̝k̚/
라장조	/ɾa̠d͡ʑa̠ŋd͡ʑo̞/
라지	/ɾa̠d͡ʑi/
라지에타	/ɾa̠d͡ʑie̞tʰa̠/
라지오	/ɾa̠d͡ʑio̞/
라침반	/ɾa̠t͡ɕʰimba̠n/
라켓	/ɾa̠kʰe̞t̚/
라크로스	/ɾa̠kxɯɾo̞sʰɯ/
라트비아	/ɾa̠tʰɯbia̠/
라트비아어	/ɾa̠tʰɯbia̠ʌ̹/
라틴아메리카	/ɾa̠tʰina̠me̞ɾikʰa̠/
라틴어	/ɾa̠tʰinʌ̹/
라플레시아	/ɾa̠pʰɯɭɭe̞ɕʰia̠/
락	/ɾa̠k̚/
락관하다	/ɾa̠k̚k͈wa̠nɦa̠da̠/
락랑	/ɾa̠ŋna̠ŋ/
락방	/ɾa̠k̚p͈a̠ŋ/
락서	/ɾa̠ks͈ʌ̹/
락엽송	/ɾa̠ɡjʌ̹ps͈o̞ŋ/
락원	/ɾa̠ɡwʌ̹n/
락인	/ɾa̠ɡin/
락제국	/ɾa̠k̚t͡ɕ͈e̞ɡuk̚/
락타	/ɾa̠k̚tʰa̠/
락토스	/ɾa̠k̚tʰo̞sʰɯ/
락토오스	/ɾa̠k̚tʰo̞o̞sʰɯ/
락하	/ɾa̠kʰa̠/
락하산수	/ɾa̠kʰa̠sʰa̠nsʰu/
락화	/ɾa̠kʰwa̠/
란	/ɾa̠n/
란다	/ɾa̠nda̠/
란동	/ɾa̠ndo̞ŋ/
란탄	/ɾa̠ntʰa̠n/
란폭	/ɾa̠npʰo̞k̚/
랄	/ɾa̠ɭ/
랄렌탄도	/ɾa̠ɭɭe̞ntʰa̠ndo̞/
람	/ɾa̠m/
람다	/ɾa̠mda̠/
람발	/ɾa̠mba̠ɭ/
랍	/ɾa̠p̚/
랍니다	/ɾa̠mnida̠/
랍비	/ɾa̠p̚p͈i/
랍스터	/ɾa̠ps͈ɯtʰʌ̹/
랍시고	/ɾa̠pɕ͈iɡo̞/
랍치	/ɾa̠p̚t͡ɕʰi/
랍치되다	/ɾa̠p̚t͡ɕʰidø̞da̠/, /ɾa̠p̚t͡ɕʰidwe̞da̠/
랍치하다	/ɾa̠p̚t͡ɕʰiɦa̠da̠/
랑	/ɾa̠ŋ/
랑데부	/ɾa̠ŋde̞bu/
랑독	/ɾa̠ŋdo̞k̚/
랑만	/ɾa̠ŋma̠n/
랑비	/ɾa̠ŋbi/
랑송	/ɾa̠ŋsʰo̞ŋ/
래	/ɾɛ̝/
래년	/ɾɛ̝ɲjʌ̹n/
래달	/ɾɛ̝da̠ɭ/
래빈	/ɾɛ̝bin/
래서	/ɾɛ̝sʰʌ̹/
래서야	/ɾɛ̝sʰʌ̹ja̠/
래야	/ɾɛ̝ja̠/
래왕	/ɾɛ̝wa̠ŋ/
래일	/ɾɛ̝iɭ/
래퍼	/ɾɛ̝pʰʌ̹/
랜턴	/ɾɛ̝ntʰʌ̹n/
램프	/ɾɛ̝mpʰɯ/
랩	/ɾɛ̝p̚/
랭동기	/ɾɛ̝ŋdo̞ŋɡi/
랭면	/ɾɛ̝ŋmjʌ̹n/
랭방	/ɾɛ̝ŋba̠ŋ/
랭수	/ɾɛ̝ŋsʰu/
랭전	/ɾɛ̝ŋd͡ʑʌ̹n/
랭철	/ɾɛ̝ŋt͡ɕʰʌ̹ɭ/
랭킹	/ɾɛ̝ŋkçiŋ/
랴	/ɾja̠/
랴오양	/ɾja̠o̞ja̠ŋ/
략자	/ɾja̠k̚t͡ɕ͈a̠/
략탈	/ɾja̠k̚tʰa̠ɭ/
량	/ɾja̠ŋ/
량국	/ɾja̠ŋɡuk̚/
량반	/ɾja̠ŋba̠n/
량성수지	/ɾja̠ŋsʰʌ̹ŋsʰud͡ʑi/
량심	/ɾja̠ŋɕʰim/
량약	/ɾja̠ŋja̠k̚/
량해	/ɾja̠ŋɦɛ̝/
량호	/ɾja̠ŋβo̞/
러	/ɾʌ̹/
러 불규칙 활용	/ɾʌ̹ puɭɡjut͡ɕʰik̚ ɸwa̠ɾjoŋ/
러더포듐	/ɾʌ̹dʌ̹pʰo̞djum/
러변칙활용	/ɾʌ̹bjʌ̹nt͡ɕʰikʰwa̠ɾjoŋ/
러불규칙용언	/ɾʌ̹buɭɡjut͡ɕʰiɡjoŋʌ̹n/
러 불규칙 활용	/ɾʌ̹ puɭɡjut͡ɕʰik̚ ɸwa̠ɾjoŋ/
러브	/ɾʌ̹bɯ/
러브호텔	/ɾʌ̹bɯβo̞tʰe̞ɭ/
러시아	/ɾʌ̹ɕʰia̠/
러시아 제국	/ɾʌ̹ɕʰia̠ t͡ɕe̞ɡuk̚/
러시아어	/ɾʌ̹ɕʰia̠ʌ̹/
러시아워	/ɾʌ̹ɕʰia̠wʌ̹/
럭비	/ɾʌ̹k̚p͈i/
럭비공	/ɾʌ̹k̚p͈iɡo̞ŋ/
럭비풋볼	/ɾʌ̹k̚p͈ipʰut̚p͈o̞ɭ/
런가	/ɾʌ̹nɡa̠/
런던	/ɾʌ̹ndʌ̹n/
런던안개	/ɾʌ̹ndʌ̹na̠nɡɛ̝/
런들	/ɾʌ̹ndɯɭ/
럼	/ɾʌ̹m/
레	/ɾe̞/
레게	/ɾe̞ɡe̞/
레겐스부르크	/ɾe̞ɡe̞nsʰɯbuɾɯkxɯ/
레그혼	/ɾe̞ɡɯβo̞n/
레늄	/ɾe̞ɲjum/
레닌	/ɾe̞nin/
레닌그라드	/ɾe̞ninɡɯɾa̠dɯ/
레닌주의	/ɾe̞nind͡ʑuɰi/
레드오션	/ɾe̞dɯo̞ɕʰjʌ̹n/
레드카드	/ɾe̞dɯkʰa̠dɯ/
렛테루	/ɾe̞t̚tʰe̞ɾu/
레루	/ɾe̞ɾu/
레몬	/ɾe̞mo̞n/
레몬색	/ɾe̞mo̞nsʰɛ̝k̚/
레미콘	/ɾe̞mikʰo̞n/
레바논	/ɾe̞ba̠no̞n/
레버	/ɾe̞bʌ̹/
레소토	/ɾe̞sʰo̞tʰo̞/
레스링	/ɾe̞sʰɯɾiŋ/
레스토랑	/ɾe̞sʰɯtʰo̞ɾa̠ŋ/
레슨	/ɾe̞sʰɯn/
레슬링	/ɾe̞sʰɯɭʎiŋ/
레아	/ɾe̞a̠/
레오파드	/ɾe̞o̞pʰa̠dɯ/
레이더	/ɾe̞idʌ̹/
레이더 에코	/ɾe̞idʌ̹ e̞kʰo̞/
레이더 합성도	/ɾe̞idʌ̹ ha̠ps͈ʌ̹ŋdo̞/
레이더기지	/ɾe̞idʌ̹ɡid͡ʑi/
레이더망	/ɾe̞idʌ̹ma̠ŋ/
레이더빔	/ɾe̞idʌ̹bim/
레이더스코프	/ɾe̞idʌ̹sʰɯkʰo̞pʰɯ/
레이스	/ɾe̞isʰɯ/
레이아웃	/ɾe̞ia̠ut̚/
레이온	/ɾe̞io̞n/
레이윈존데	/ɾe̞iɥind͡ʑo̞nde̞/, /ɾe̞iynd͡ʑo̞nde̞/
레이자	/ɾe̞id͡ʑa̠/
레이저	/ɾe̞id͡ʑʌ̹/
레이저광선	/ɾe̞id͡ʑʌ̹ɡwa̠ŋsʰʌ̹n/
레이저통신	/ɾe̞id͡ʑʌ̹tʰo̞ŋɕʰin/
레이캬비크	/ɾe̞ikçja̠bikxɯ/
레인지	/ɾe̞ind͡ʑi/
레일	/ɾe̞iɭ/
레자	/ɾe̞d͡ʑa̠/
레저	/ɾe̞d͡ʑʌ̹/
레즈긴어	/ɾe̞d͡ʑɯɡinʌ̹/
레즈비언	/ɾe̞d͡ʑɯbiʌ̹n/
레지	/ɾe̞d͡ʑi/
레지던트	/ɾe̞d͡ʑidʌ̹ntʰɯ/
레지스탕스	/ɾe̞d͡ʑisʰɯtʰa̠ŋsʰɯ/
레코드	/ɾe̞kʰo̞dɯ/
레코드판	/ɾe̞kʰo̞dɯpʰa̠n/
레크리에이션	/ɾe̞kxɯɾie̞iɕʰjʌ̹n/
레토르트	/ɾe̞tʰo̞ɾɯtʰɯ/
레트	/ɾe̞tʰɯ/
레퍼토리	/ɾe̞pʰʌ̹tʰo̞ɾi/
렌	/ɾe̞n/
렌따	/ɾe̞nt͈a̠/
렌스	/ɾe̞nsʰɯ/
렌즈	/ɾe̞nd͡ʑɯ/
렌즈구름	/ɾe̞nd͡ʑɯɡuɾɯm/
렌토	/ɾe̞ntʰo̞/
렌티시모	/ɾe̞ntʰiɕʰimo̞/
렛테루	/ɾe̞t̚tʰe̞ɾu/
려	/ɾjʌ̹/
려객	/ɾjʌ̹ɡɛ̝k̚/
려고	/ɾjʌ̹ɡo̞/
려과	/ɾjʌ̹ɡwa̠/
려관	/ɾjʌ̹ɡwa̠n/
려권	/ɾjʌ̹ɡwʌ̹n/
려니	/ɾjʌ̹ni/
려면	/ɾjʌ̹mjʌ̹n/
려무나	/ɾjʌ̹muna̠/
려순	/ɾjʌ̹sʰun/
려차	/ɾjʌ̹t͡ɕʰa̠/
려행	/ɾjʌ̹ɦɛ̝ŋ/
력	/ɾjʌ̹k̚/
력기판	/ɾjʌ̹k̚k͈ipʰa̠n/
력대	/ɾjʌ̹k̚t͈ɛ̝/
력도	/ɾjʌ̹k̚t͈o̞/
력량	/ɾjʌ̹ŋɲja̠ŋ/
력법	/ɾjʌ̹k̚p͈ʌ̹p̚/
력사	/ɾjʌ̹ks͈a̠/
력사적	/ɾjʌ̹ks͈a̠d͡ʑʌ̹k̚/
련	/ɾjʌ̹n/
련결	/ɾjʌ̹nɡjʌ̹ɭ/
련계	/ɾjʌ̹nɡje̞/, /ɾjʌ̹nɡe̞/
련락	/ɾjʌ̹ɭɭa̠k̚/
련루	/ɾjʌ̹ɭɭu/
련마는	/ɾjʌ̹nma̠nɯn/
련맹	/ɾjʌ̹nmɛ̝ŋ/
련맹전	/ɾjʌ̹nmɛ̝ŋd͡ʑʌ̹n/
련못	/ɾjʌ̹nmo̞t̚/
련방	/ɾjʌ̹nba̠ŋ/
련속	/ɾjʌ̹nsʰo̞k̚/
련쇄	/ɾjʌ̹nsʰwɛ̝/
련습	/ɾjʌ̹nsʰɯp̚/
련승	/ɾjʌ̹nsʰɯŋ/
련애군	/ɾjʌ̹nɛ̝ɡun/
련어	/ɾjʌ̹nʌ̹/
련일	/ɾjʌ̹niɭ/
련합	/ɾjʌ̹nɦa̠p̚/
련행	/ɾjʌ̹nɦɛ̝ŋ/
렬	/ɾjʌ̹ɭ/
렬거	/ɾjʌ̹ɭɡʌ̹/
렬도	/ɾjʌ̹ɭdo̞/
렬악	/ɾjʌ̹ɾa̠k̚/
렬차	/ɾjʌ̹ɭt͡ɕʰa̠/
렴	/ɾjʌ̹m/
렷다	/ɾjʌ̹t̚t͈a̠/
령	/ɾjʌ̹ŋ/
령감	/ɾjʌ̹ŋɡa̠m/
령공	/ɾjʌ̹ŋɡo̞ŋ/
령도	/ɾjʌ̹ŋdo̞/
령롱하다	/ɾjʌ̹ŋno̞ŋɦa̠da̠/
령사	/ɾjʌ̹ŋsʰa̠/
령상	/ɾjʌ̹ŋsʰa̠ŋ/
령역	/ɾjʌ̹ŋjʌ̹k̚/
령유	/ɾjʌ̹ŋju/
령유권	/ɾjʌ̹ŋjuɡwʌ̹n/
령토	/ɾjʌ̹ŋtʰo̞/
령하	/ɾjʌ̹ŋɦa̠/
령해	/ɾjʌ̹ŋɦɛ̝/
례	/ɾje̞/, /ɾe̞/
례년	/ɾje̞ɲjʌ̹n/, /ɾe̞ɲjʌ̹n/
례물	/ɾje̞muɭ/, /ɾe̞muɭ/
례배	/ɾje̞bɛ̝/, /ɾe̞bɛ̝/
례복	/ɾje̞bo̞k̚/, /ɾe̞bo̞k̚/
례식	/ɾje̞ɕʰik̚/, /ɾe̞ɕʰik̚/
례외	/ɾje̞ø̞/, /ɾe̞we̞/
례우	/ɾje̞u/, /ɾe̞u/
례의	/ɾje̞ɰi/, /ɾe̞ɰi/
례절	/ɾje̞d͡ʑʌ̹ɭ/, /ɾe̞d͡ʑʌ̹ɭ/
로	/ɾo̞/
로가리듬	/ɾo̞ɡa̠ɾidɯm/
로고	/ɾo̞ɡo̞/
로고스	/ɾo̞ɡo̞sʰɯ/
로골	/ɾo̞ɡo̞ɭ/
로구나	/ɾo̞ɡuna̠/
로그	/ɾo̞ɡɯ/
로그함수	/ɾo̞ɡɯɦa̠msʰu/
로년	/ɾo̞ɲjʌ̹n/
로다	/ɾo̞da̠/
로동	/ɾo̞do̞ŋ/
로동법	/ɾo̞do̞ŋbʌ̹p̚/
로동자	/ɾo̞do̞ŋd͡ʑa̠/
로동화	/ɾo̞do̞ŋβwa̠/
로되	/ɾo̞dø̞/, /ɾo̞dwe̞/
로듐	/ɾo̞djum/
로라	/ɾo̞ɾa̠/
로렌슘	/ɾo̞ɾe̞nɕʰjum/
로렐라이	/ɾo̞ɾe̞ɭɭa̠i/
로력	/ɾo̞ɾjʌ̹k̚/
로령	/ɾo̞ɾjʌ̹ŋ/
로르샤흐테스트	/ɾo̞ɾɯɕʰja̠ɣɯtʰe̞sʰɯtʰɯ/
로르오바	/ɾo̞ɾɯo̞ba̠/
로마	/ɾo̞ma̠/
로마가톨릭교	/ɾo̞ma̠ɡa̠tʰo̞ɭʎik̚k͈jo/
로마가톨릭교회	/ɾo̞ma̠ɡa̠tʰo̞ɭʎik̚k͈joɦø̞/, /ɾo̞ma̠ɡa̠tʰo̞ɭʎik̚k͈joβwe̞/
로마교황	/ɾo̞ma̠ɡjoβwa̠ŋ/
로마네스크	/ɾo̞ma̠ne̞sʰɯkxɯ/
로마니어	/ɾo̞ma̠niʌ̹/
로마숫자	/ɾo̞ma̠sʰut̚t͡ɕ͈a̠/
로마자	/ɾo̞ma̠d͡ʑa̠/
로맨스	/ɾo̞mɛ̝nsʰɯ/
로무	/ɾo̞mu/
로므니아	/ɾo̞mɯnia̠/
로반	/ɾo̞ba̠n/
로보트	/ɾo̞bo̞tʰɯ/
로봇	/ɾo̞bo̞t̚/
로부터	/ɾo̞butʰʌ̹/
로비	/ɾo̞bi/
로사리오	/ɾo̞sʰa̠ɾio̞/
로샷	/ɾo̞ɕʰja̠t̚/
로서	/ɾo̞sʰʌ̹/
로선	/ɾo̞sʰʌ̹n/
로세	/ɾo̞sʰe̞/
로쇠	/ɾo̞sʰø̞/, /ɾo̞sʰwe̞/
로스또브-나-도누	/ɾo̞sʰɯt͈o̞bɯ-na̠-do̞nu/
로스비파	/ɾo̞sʰɯbipʰa̠/
로스앤젤레스	/ɾo̞sʰɯɛ̝nd͡ʑe̞ɭɭe̞sʰɯ/
로써	/ɾo̞s͈ʌ̹/
로씨야	/ɾo̞ɕ͈ija̠/
로씨야련방	/ɾo̞ɕ͈ija̠ɾjʌ̹nba̠ŋ/
로열젤리	/ɾo̞jʌ̹ɭd͡ʑe̞ɭʎi/
로이조	/ɾo̞id͡ʑo̞/
로인	/ɾo̞in/
로케트	/ɾo̞kʰe̞tʰɯ/
로켓	/ɾo̞kʰe̞t̚/
로타리	/ɾo̞tʰa̠ɾi/
로터	/ɾo̞tʰʌ̹/
로터리	/ɾo̞tʰʌ̹ɾi/
로터리기관	/ɾo̞tʰʌ̹ɾiɡiɡwa̠n/
로토	/ɾo̞tʰo̞/
로파	/ɾo̞pʰa̠/
로화	/ɾo̞βwa̠/
록음	/ɾo̞ɡɯm/
록지띠	/ɾo̞k̚t͡ɕ͈it͈i/
록화	/ɾo̞kʰwa̠/
론	/ɾo̞n/
론도	/ɾo̞ndo̞/
론란	/ɾo̞ɭɭa̠n/
론리	/ɾo̞ɭʎi/
론문	/ɾo̞nmun/
론법	/ɾo̞nbʌ̹p̚/
론설	/ɾo̞nsʰʌ̹ɭ/
론의	/ɾo̞nɰi/
론점	/ɾo̞nd͡ʑʌ̹m/
론증	/ɾo̞nd͡ʑɯŋ/
론평	/ɾo̞npʰjʌ̹ŋ/
론평원	/ɾo̞npʰjʌ̹ŋwʌ̹n/
롤러	/ɾo̞ɭɭʌ̹/
롤러스케이트	/ɾo̞ɭɭʌ̹sʰɯkʰe̞itʰɯ/
롭다	/ɾo̞p̚t͈a̠/
롱거리	/ɾo̞ŋɡʌ̹ɾi/
롱구	/ɾo̞ŋɡu/
롱구륜	/ɾo̞ŋɡuɾjun/
롱구판	/ɾo̞ŋɡupʰa̠n/
롱담	/ɾo̞ŋda̠m/
롱패딩	/ɾo̞ŋpʰɛ̝diŋ/
롼다	/ɾwa̠nda̠/
뢴트게늄	/ɾø̞ntʰɯɡe̞ɲjum/, /ɾwe̞ntʰɯɡe̞ɲjum/
뢴트겐	/ɾø̞ntʰɯɡe̞n/, /ɾwe̞ntʰɯɡe̞n/
뢴트겐사진	/ɾø̞ntʰɯɡe̞nsʰa̠d͡ʑin/, /ɾwe̞ntʰɯɡe̞nsʰa̠d͡ʑin/
료	/ɾjo/
료금	/ɾjoɡɯm/
료녕성	/ɾjoɲjʌ̹ŋsʰʌ̹ŋ/
료동반도	/ɾjodo̞ŋba̠ndo̞/
료리	/ɾjoɾi/
료리차림표	/ɾjoɾit͡ɕʰa̠ɾimpʰjo/
료식	/ɾjoɕʰik̚/
료양각	/ɾjoja̠ŋɡa̠k̚/
료양권	/ɾjoja̠ŋɡwʌ̹n/
료양소	/ɾjoja̠ŋsʰo̞/
료충	/ɾjot͡ɕʰuŋ/
료충지	/ɾjot͡ɕʰuŋd͡ʑi/
료해	/ɾjoɦɛ̝/
룡양순위사	/ɾjoŋja̠ŋsʰunɥisʰa̠/, /ɾjoŋja̠ŋsʰunysʰa̠/
룡양위	/ɾjoŋja̠ŋɥi/, /ɾjoŋja̠ŋy/
룡양호박	/ɾjoŋja̠ŋβo̞ba̠k̚/
룡정	/ɾjoŋd͡ʑʌ̹ŋ/
루	/ɾu/
루나	/ɾuna̠/
루루이	/ɾuɾui/
루마니아	/ɾuma̠nia̠/
루마니아어	/ɾuma̠nia̠ʌ̹/
루마니아인	/ɾuma̠nia̠in/
