𠻺	/a:˨/
人非聖賢，孰能無過	/jɐn˨˩ fei˥ sɪŋ˧ ji:n˨˩ sʊk˨ nɐŋ˨˩ mou˨˩ kwɔ:˧/, /jɐn˨˩ fei˥ sɪŋ˧ ji:n˨˩ sʊk˨ lɐŋ˨˩ mou˨˩ kwɔ:˧/
人非草木	/jɐn˨˩ fei˥ tsʰou˧˥ mʊk˨/
人面桃花	/jɐn˨˩ mi:n˨ tʰou˨˩ fa:˥/
人面獸心	/jɐn˨˩ mi:n˨ sɐu˧ sɐm˥/
人頭	/jɐn˨˩ tʰɐu˨˩/
人頭湧湧	/jɐn˨˩ tʰɐu˨˩ jʊŋ˧˥ jʊŋ˧˥/
人頭稅	/jɐn˨˩ tʰɐu˨˩ sɵy˧/
人頭豬腦	/jɐn˨˩ tʰɐu˨˩ tsy:˥ nou˩˧/, /jɐn˨˩ tʰɐu˨˩ tsy:˥ lou˩˧/
人類	/jɐn˨˩ lɵy˨/
人類學	/jɐn˨˩ lɵy˨ hɔ:k˨/
人類學家	/jɐn˨˩ lɵy˨ hɔ:k˨ ka:˥/
人馬	/jɐn˨˩ ma:˩˧/
人體	/jɐn˨˩ tʰɐi˧˥/
人龍	/jɐn˨˩ lʊŋ˨˩/
亼	/tsa:p˨/
什	/sɐm˨/, /sɐp˨/, /tsa:p˨/
什錦	/tsa:p˨ kɐm˧˥/
什錦炒麪	/tsa:p˨ kɐm˧˥ tsʰa:u˧˥ mi:n˨/
什錦炒麵	/tsa:p˨ kɐm˧˥ tsʰa:u˧˥ mi:n˨/
什錦菜	/tsa:p˨ kɐm˧˥ tsʰɔ:i˧/
什錦麪	/tsa:p˨ kɐm˧˥ mi:n˨/
什錦麵	/tsa:p˨ kɐm˧˥ mi:n˨/
什麼	/sɐm˨ mɔ:˥/
什麼時候	/sɐm˨ mɔ:˥ si:˨˩ hɐu˨/
仁	/jɐn˨˩/
仁人	/jɐn˨˩ jɐn˨˩/
仁人君子	/jɐn˨˩ jɐn˨˩ kwɐn˥ tsi:˧˥/
仁人志士	/jɐn˨˩ jɐn˨˩ tsi:˧ si:˨/
仁兄	/jɐn˨˩ hɪŋ˥/
仁厚	/jɐn˨˩ hɐu˩˧/
仁弟	/jɐn˨˩ tɐi˨/
仁德	/jɐn˨˩ tɐk˥/
仁心	/jɐn˨˩ sɐm˥/
仁心仁術	/jɐn˨˩ sɐm˥ jɐn˨˩ sɵt˨/
仁愛	/jɐn˨˩ ɔ:i˧/, /jɐn˨˩ ŋɔ:i˧/
仁慈	/jɐn˨˩ tsʰi:˨˩/
仁民愛物	/jɐn˨˩ mɐn˨˩ ɔ:i˧ mɐt˨/, /jɐn˨˩ mɐn˨˩ ŋɔ:i˧ mɐt˨/
仁義	/jɐn˨˩ ji:˨/
仁義禮智信	/jɐn˨˩ ji:˨ lɐi˩˧ tsi:˧ sɵn˧/
仁義道德	/jɐn˨˩ ji:˨ tou˨ tɐk˥/
仁者	/jɐn˨˩ tsɛ:˧˥/
仁者無敵	/jɐn˨˩ tsɛ:˧˥ mou˨˩ tɪk˨/
仁者见仁，智者見智	/jɐn˨˩ tsɛ:˧˥ ki:n˧ jɐn˨˩ tsi:˧ tsɛ:˧˥ ki:n˧ tsi:˧/
仁至義盡	/jɐn˨˩ tsi:˧ ji:˨ tsɵn˨/
仁術	/jɐn˨˩ sɵt˨/
仁言利博	/jɐn˨˩ ji:n˨˩ lei˨ pɔ:k˧/
仂	/lɐk˨/
仃	/tɪŋ˥/
仄	/tsʰɛ:k˥/
仄	/tsɐk˥/
仄紙	/tsʰɛ:k˥ tsi:˧˥/
仄聲	/tsɐk˥ sɪŋ˥/
仄韻	/tsɐk˥ wɐn˨/
仆	/fu:˨/, /pʰʊk˥/
仆	/pʰʊk˥/
仆低	/pʰʊk˥ tɐi˥/
仆住瞓	/pʰʊk˥ tsy:˨ fɐn˧/
仆喺張枱度	/pʰʊk˥ hɐi˧˥ tsœ:ŋ˥ tʰɔ:i˧˥ tou˨/
仆喺張檯度	/pʰʊk˥ hɐi˧˥ tsœ:ŋ˥ tʰɔ:i˧˥ tou˨/
仆親	/pʰʊk˥ tsʰɐn˥/
仆轉	/pʰʊk˥ tsy:n˧˥/
仇	/tsʰɐu˨˩/, /kʰɐu˨˩/, /sɐu˨˩/
仇人	/sɐu˨˩ jɐn˨˩/
仇口	/sɐu˨˩ hɐu˧˥/
仇家	/sɐu˨˩ ka:˥/
仇怨	/sɐu˨˩ jy:n˧/
仇恨	/sɐu˨˩ hɐn˨/
仇敵	/sɐu˨˩ tɪk˨/
仇殺	/sɐu˨˩ sa:t˧/
仇視	/sɐu˨˩ si:˨/
仇隙	/sɐu˨˩ kwɪk˥/
仉	/tsœ:ŋ˧˥/
今	/kɐm˥/
今個月	/kɐm˥ kɔ:˧ jy:t˨/
今個月尾	/kɐm˥ kɔ:˧ jy:t˨ mei˩˧/
今個禮拜	/kɐm˥ kɔ:˧ lɐi˩˧ pa:i˧/
今勻	/kɐm˥ wɐn˨˩/
今回	/kɐm˥ wu:i˨˩/
今天	/kɐm˥ tʰi:n˥/
今屆	/kɐm˥ ka:i˧/
今年	/kɐm˥ ni:n˨˩/, /kɐm˥ li:n˨˩/
今後	/kɐm˥ hɐu˨/
今日	/kɐm˥ jɐt˨/
今日好凍	/kɐm˥ jɐt˨ hou˧˥ tʊŋ˧/
今昔	/kɐm˥ sɪk˥/
今時今日	/kɐm˥ si:˨˩ kɐm˥ jɐt˨/
今時唔同往日	/kɐm˥ si:˨˩ m̩˨˩ tʰʊŋ˨˩ wɔ:ŋ˩˧ jɐt˨/
今晚黑	/kɐm˥ ma:n˩˧ hɐk˥/
今朝	/kɐm˥ tsi:u˥/
今朝有酒今朝醉	/kɐm˥ tsi:u˥ jɐu˩˧ tsɐu˧˥ kɐm˥ tsi:u˥ tsɵy˧/
今次	/kɐm˥ tsʰi:˧/
今生	/kɐm˥ sɐŋ˥/
今鋪	/kɐm˥ pʰou˥/
今非昔比	/kɐm˥ fei˥ sɪk˥ pei˧˥/
介	/ka:i˧/
介乎	/ka:i˧ fu:˨˩/
介入	/ka:i˧ jɐp˨/
介意	/ka:i˧ ji:˧/
介於	/ka:i˧ jy:˥/
介紹	/ka:i˧ si:u˨/
介紹人	/ka:i˧ si:u˨ jɐn˨˩/
介紹信	/ka:i˧ si:u˨ sɵn˧/
介紹所	/ka:i˧ si:u˨ sɔ:˧˥/
介繫詞	/ka:i˧ hɐi˨ tsʰi:˨˩/
介詞	/ka:i˧ tsʰi:˨˩/
介質	/ka:i˧ tsɐt˥/
介面	/ka:i˧ mi:n˨/
仍	/jɪŋ˨˩/
仍在	/jɪŋ˨˩ tsɔ:i˨/
仍應	/jɪŋ˨˩ jɪŋ˥/
仍未	/jɪŋ˨˩ mei˨/
仍然	/jɪŋ˨˩ ji:n˨˩/
仍舊	/jɪŋ˨˩ kɐu˨/
㗎仔	/ka:˨˩ tsɐi˧˥/
𡃁仔	/lɛ:ŋ˥ tsɐi˧˥/
仔	/tsɐi˧˥/
仔	/tsɐi˧˥/, /tsi:˧˥/
仔乸	/tsɐi˧˥ na:˧˥/, /tsɐi˧˥ la:˧˥/
仔大仔世界	/tsɐi˧˥ ta:i˨ tsɐi˧˥ sɐi˧ ka:i˧/
仔女	/tsɐi˧˥ nɵy˧˥/, /tsɐi˧˥ lɵy˧˥/
仔爺	/tsɐi˧˥ jɛ:˨˩/
仔細	/tsi:˧˥ sɐi˧/
仕	/si:˨/
仕女	/si:˨ nɵy˩˧/, /si:˨ lɵy˩˧/
仕女圖	/si:˨ nɵy˩˧ tʰou˨˩/, /si:˨ lɵy˩˧ tʰou˨˩/
仕宦	/si:˨ wa:n˨/
仕途	/si:˨ tʰou˨˩/
仕進	/si:˨ tsɵn˧/
他	/tʰa:˥/
他人	/tʰa:˥ jɐn˨˩/
他他條條	/tʰa:˥ tʰa:˥ tʰi:u˨˩ tʰi:u˨˩/
他條	/tʰa:˥ tʰi:u˨˩/
仗	/tsœ:ŋ˧/
仗	/tsœ:ŋ˧/, /tsœ:ŋ˨/
付	/fu:˨/
付之一炬	/fu:˨ tsi:˥ jɐt˥ kɵy˨/
付出	/fu:˨ tsʰɵt˥/
付息	/fu:˨ sɪk˥/
付款	/fu:˨ fu:n˧˥/
付訖	/fu:˨ kɐt˥/
付費	/fu:˨ fɐi˧/
付錢	/fu:˨ tsʰi:n˧˥/
仙	/si:n˥/
仙境	/si:n˥ kɪŋ˧˥/
仙遊	/si:n˥ jɐu˨˩/
仙遊咗	/si:n˥ jɐu˨˩ tsɔ:˧˥/
仙鶴	/si:n˥ hɔ:k˨/
仝	/tʰʊŋ˨˩/
仞	/jɐn˨/
仟	/tsʰi:n˥/
仡	/ka:k˧/, /ŋɐt˨/
仡佬族	/kɔ:˥ lou˧˥ tsʊk˨/
代	/tɔ:i˨/
代替	/tɔ:i˨ tʰɐi˧/
代溝	/tɔ:i˨ kʰɐu˥/
代表	/tɔ:i˨ pi:u˧˥/
令	/li:m˥/, /lɪŋ˨˩/, /lɪŋ˨/
𣲷𣲷令	/nɐp˨ nɐp˨ lɪŋ˧/, /lɐp˨ lɐp˨ lɪŋ˧/
令兄	/lɪŋ˨ hɪŋ˥/
令到	/lɪŋ˨ tou˧/
令千金	/lɪŋ˨ tsʰi:n˥ kɐm˥/
令堂	/lɪŋ˨ tʰɔ:ŋ˨˩/
令壽堂	/lɪŋ˨ sɐu˨ tʰɔ:ŋ˨˩/
令尊	/lɪŋ˨ tsy:n˥/
令弟	/lɪŋ˨ tɐi˨/
令愛	/lɪŋ˨ ɔ:i˧/, /lɪŋ˨ ŋɔ:i˧/
令狐	/lɪŋ˨˩ wu:˨˩/
令郎	/lɪŋ˨ lɔ:ŋ˧˥/
以	/ji:˩˧/, /jy:˩˧/
以上	/ji:˩˧ sœ:ŋ˨/
以下	/ji:˩˧ ha:˨/
以不變應萬變	/ji:˩˧ pɐt˥ pi:n˧ jɪŋ˧ ma:n˨ pi:n˧/
以假亂真	/ji:˩˧ ka:˧˥ ly:n˨ tsɐn˥/
以偏概全	/ji:˩˧ pʰi:n˥ kʰɔ:i˧ tsʰy:n˨˩/
以備不時之需	/ji:˩˧ pei˨ pɐt˥ si:˨˩ tsi:˥ sɵy˥/
以儆效尤	/ji:˩˧ kɪŋ˧˥ ha:u˨ jɐu˨˩/
以免	/ji:˩˧ mi:n˩˧/
以內	/ji:˩˧ nɔ:i˨/, /ji:˩˧ lɔ:i˨/
以前	/ji:˩˧ tsʰi:n˨˩/
以卵擊石	/ji:˩˧ lɵn˧˥ kɪk˥ sɛ:k˨/
以及	/ji:˩˧ kʰɐp˨/
以和為貴	/ji:˩˧ wɔ:˨˩ wɐi˨˩ kwɐi˧/
以外	/ji:˩˧ ŋɔ:i˨/, /ji:˩˧ ɔ:i˨/
以太	/ji:˩˧ tʰa:i˧/
以寡敵眾	/ji:˩˧ kwa:˧˥ tɪk˨ tsʊŋ˧/
以寡敵衆	/ji:˩˧ kwa:˧˥ tɪk˨ tsʊŋ˧/
以往	/ji:˩˧ wɔ:ŋ˩˧/
以後	/ji:˩˧ hɐu˨/
以德報怨	/ji:˩˧ tɐk˥ pou˧ jy:n˧/
以德服人	/ji:˩˧ tɐk˥ fʊk˨ jɐn˨˩/
以心為心	/ji:˩˧ sɐm˥ wɐi˨˩ sɐm˥/
以怨報德	/ji:˩˧ jy:n˧ pou˧ tɐk˥/
以攻為守	/ji:˩˧ kʊŋ˥ wɐi˨˩ sɐu˧˥/
以為	/ji:˩˧ wɐi˨˩/
以蠡測海	/ji:˩˧ lɐi˨˩ tsʰɐk˥ hɔ:i˧˥/
以訛傳訛	/ji:˩˧ ŋɔ:˨˩ tsʰy:n˨˩ ŋɔ:˨˩/, /ji:˩˧ ɔ:˨˩ tsʰy:n˨˩ ɔ:˨˩/
以逸待勞	/ji:˩˧ jɐt˨ tɔ:i˨ lou˨˩/
仨	/sa:m˥/
仫佬族	/mʊk˨ lou˧˥ tsʊk˨/
仭	/jɐn˨/
仰	/jœ:ŋ˩˧/, /ŋɔ:ŋ˩˧/
仰人鼻息	/jœ:ŋ˩˧ jɐn˨˩ pei˨ sɪk˥/
仰卧	/jœ:ŋ˩˧ ŋɔ:˨/, /jœ:ŋ˩˧ ɔ:˨/
仰泳	/jœ:ŋ˩˧ wɪŋ˨/
仰臥起坐	/jœ:ŋ˩˧ ŋɔ:˨ hei˧˥ tsɔ:˨/, /jœ:ŋ˩˧ ɔ:˨ hei˧˥ tsɔ:˨/
仲	/tsʊŋ˨/
仲𡃇	/tsʊŋ˨ pɐi˨/
仲估	/tsʊŋ˨ ku:˧˥/
仲使問	/tsʊŋ˨ sɐi˧˥ mɐn˨/
仲使講	/tsʊŋ˨ sɐi˧˥ kɔ:ŋ˧˥/
仲係	/tsʊŋ˨ hɐi˨/
仲係噉	/tsʊŋ˨ hɐi˨ kɐm˧˥/
仲兼	/tsʊŋ˨ ki:m˥/
仲冇咁嬲	/tsʊŋ˨ mou˩˧ kɐm˧ nɐu˥/, /tsʊŋ˨ mou˩˧ kɐm˧ lɐu˥/
仲加	/tsʊŋ˨ ka:˥/
仲唔係	/tsʊŋ˨ m̩˨˩ hɐi˨/
仲唔得	/tsʊŋ˨ m̩˨˩ tɐk˥/
仲喺度	/tsʊŋ˨ hɐi˧˥ tou˨/
仲大鑊	/tsʊŋ˨ ta:i˨ wɔ:k˨/
仲好	/tsʊŋ˨ hou˧˥/
仲弊	/tsʊŋ˨ pɐi˨/
仲想點	/tsʊŋ˨ sœ:ŋ˧˥ ti:m˧˥/
仲有	/tsʊŋ˨ jɐu˩˧/
仲有冇	/tsʊŋ˨ jɐu˩˧ mou˩˧/
仲未	/tsʊŋ˨ mei˨/
仲未𠶧	/tsʊŋ˨ mei˨ ti:m˨/
仲未到	/tsʊŋ˨ mei˨ tou˧/
仲未[口＋店]	/tsʊŋ˨ mei˨ ti:m˨/
仲未夠班	/tsʊŋ˨ mei˨ kɐu˧ pa:n˥/
仲未掂	/tsʊŋ˨ mei˨ ti:m˨/
仲未攪𠶧	/tsʊŋ˨ mei˨ ka:u˧˥ ti:m˨/
仲未攪[口＋店]	/tsʊŋ˨ mei˨ ka:u˧˥ ti:m˨/
仲未攪掂	/tsʊŋ˨ mei˨ ka:u˧˥ ti:m˨/
仲生	/tsʊŋ˨ sa:ŋ˥/
仲細	/tsʊŋ˨ sɐi˧/
仲要	/tsʊŋ˨ ji:u˧/
仲話	/tsʊŋ˨ wa:˨/
仲駛問	/tsʊŋ˨ sɐi˧˥ mɐn˨/
仲駛講	/tsʊŋ˨ sɐi˧˥ kɔ:ŋ˧˥/
仳	/pʰei˧˥/
仳離	/pʰei˧˥ lei˨˩/
仵	/ŋ˩˧/
件	/ki:n˨/
任	/jɐm˨˩/, /jɐm˨/
任何	/jɐm˨˩ hɔ:˨˩/
任務	/jɐm˨˩ mou˨/
任憑	/jɐm˨ pʰɐŋ˨˩/
任揀唔嬲	/jɐm˨ ka:n˧˥ m̩˨˩ nɐu˥/, /jɐm˨ ka:n˧˥ m̩˨˩ lɐu˥/
任職	/jɐm˨ tsɪk˥/
份	/pɐn˥/, /fɐn˨/
份人	/fɐn˨ jɐn˨˩/
份子	/fɐn˨ tsi:˧˥/
仿	/fɔ:ŋ˧˥/
仿造	/fɔ:ŋ˧˥ tsou˨/
伀	/tsʊŋ˥/
企	/kʰei˩˧/
企	/kʰei˧˥/, /kʰei˩˧/
企人邊	/kʰei˩˧ jɐn˨˩ pi:n˥/
企企理理	/kʰei˩˧ kʰei˩˧ lei˩˧ lei˩˧/
企出來	/kʰei˩˧ tsʰɵt˥ lei˨˩/
企出嚟	/kʰei˩˧ tsʰɵt˥ lei˨˩/
企到腳軟	/kʰei˩˧ tou˧ kœ:k˧ jy:n˩˧/
企唔住腳	/kʰei˩˧ m̩˨˩ tsy:˨ kœ:k˧/
企唔穩	/kʰei˩˧ m̩˨˩ wɐn˧˥/
企圖	/kʰei˩˧ tʰou˩˧/
企埋一邊	/kʰei˩˧ ma:i˨˩ jɐt˥ pi:n˥/
企埋一齊	/kʰei˩˧ ma:i˨˩ jɐt˥ tsʰɐi˨˩/
企埋嚟	/kʰei˩˧ ma:i˨˩ lei˨˩/
企埋邊	/kʰei˩˧ ma:i˨˩ pi:n˥/
企堂	/kʰei˩˧ tʰɔ:ŋ˧˥/
企定	/kʰei˩˧ tɪŋ˨/
企定定	/kʰei˩˧ tɪŋ˨ tɪŋ˨/
企定腳	/kʰei˩˧ tɪŋ˨ kœ:k˧/
企業	/kʰei˩˧ ji:p˨/
企業家	/kʰei˩˧ ji:p˨ ka:˥/
企櫃面	/kʰei˩˧ kwɐi˨ mi:n˧˥/
企歪啲	/kʰei˩˧ mɛ:˧˥ ti:˥/
企理	/kʰei˩˧ lei˩˧/
企硬	/kʰei˩˧ ŋa:ŋ˨/, /kʰei˩˧ a:ŋ˨/
企街	/kʰei˩˧ ka:i˥/
企起身	/kʰei˩˧ hei˧˥ sɐn˥/
企領	/kʰei˩˧ lɛ:ŋ˩˧/
企鵝	/kʰei˩˧ ŋɔ:˨˩/, /kʰei˩˧ ɔ:˨˩/
伃	/jy:˨˩/
伅	/tɵn˨/
伈	/sɐm˧˥/
伉	/kʰɔ:ŋ˧/
伉儷	/kʰɔ:ŋ˧ lɐi˨/
伊	/ji:˥/
伊人	/ji:˥ jɐn˨˩/
伊伊邑邑	/ji:˥ ji:˥ jɐp˥ jɐp˥/
伊士	/ji:˥ si:˧˥/
伊拉七	/ji:˥ la:i˥ tsʰɐt˥/
伊挹	/ji:˥ jɐp˥/
伊撈七	/ji:˥ lou˥ tsʰɐt˥/
伊邑	/ji:˥ jɐp˥/
伋	/kʰɐp˥/
伍	/ŋ˩˧/
伎	/kei˨/
伏	/pʊk˨/
伏	/pʊk˨/, /fʊk˨/
伏伊人	/pʊk˨ ji:˥ jɐn˥/
伏低	/pʊk˨ tɐi˥/
伏兒人	/pʊk˨ ji:˥ jɐn˥/
伏匿匿	/pʊk˨ nei˥ nei˥/, /pʊk˨ lei˥ lei˥/
伏法	/fʊk˨ fa:t˧/
伐	/fɐt˨/
伐木	/fɐt˨ mʊk˨/
休	/jɐu˥/
休假	/jɐu˥ ka:˧/
休息	/jɐu˥ sɪk˥/
休憩	/jɐu˥ hei˧/
休閑	/jɐu˥ ha:n˨˩/
休閑活動	/jɐu˥ ha:n˨˩ wu:t˨ tʊŋ˨/
休閒	/jɐu˥ ha:n˨˩/
休閒活動	/jɐu˥ ha:n˨˩ wu:t˨ tʊŋ˨/
伒	/kɐn˧/
伕	/fu:˥/
伙	/fɔ:˧˥/
伙房	/fɔ:˧˥ fɔ:ŋ˨˩/
伙計	/fɔ:˧˥ kei˧/
伙記	/fɔ:˧˥ kei˧/
伙食	/fɔ:˧˥ sɪk˨/
伢	/ŋa:˨˩/
伣	/ji:n˩˧/
伩	/mɐn˥/, /sɵn˧/
伭	/ji:n˨˩/
伮	/nou˨˩/
伯	/pa:˧/, /pa:k˧/
伯伯	/pa:k˧ pa:k˧/
伯娘	/pa:k˧ nœ:ŋ˨˩/, /pa:k˧ lœ:ŋ˨˩/
伯母	/pa:k˧ mou˩˧/
伯父	/pa:k˧ fu:˨/
伯父	/pa:k˧ fu:˧˥/
伯爺	/pa:k˧ jɛ:˥/
伯爺公	/pa:k˧ jɛ:˥ kʊŋ˥/
伯爺婆	/pa:k˧ jɛ:˥ pʰɔ:˧˥/
估	/ku:˧˥/
估	/ku:˧˥/, /ku:˧/
估估下	/ku:˧˥ ku:˧˥ ha:˧˥/
估估吓	/ku:˧˥ ku:˧˥ ha:˧˥/
估到	/ku:˧˥ tou˧˥/
估唔到	/ku:˧˥ m̩˨˩ tou˧˥/
估啱	/ku:˧˥ ŋa:m˥/, /ku:˧˥ a:m˥/
估計	/ku:˧˥ kɐi˧/
估錯	/ku:˧˥ tsʰɔ:˧/
伳	/si:t˧/
伴	/pu:n˨/, /pʰu:n˩˧/
伶	/lɪŋ˨˩/
伶仃	/lɪŋ˨˩ tɪŋ˥/
伶俐	/lɪŋ˨˩ lei˨/
伷	/tsɐu˨/
伸	/sɐn˥/
伸展	/sɐn˥ tsi:n˧˥/
伸懶	/sɐn˥ la:n˩˧/
伸懶腰	/sɐn˥ la:n˩˧ ji:u˥/
伸手不見五指	/sɐn˥ sɐu˧˥ pɐt˥ ki:n˧ ŋ˩˧ tsi:˧˥/
伸直咗	/sɐn˥ tsɪk˨ tsɔ:˧˥/
伸直腳	/sɐn˥ tsɪk˨ kœ:k˧/
伺	/tsi:˨/
伻	/pʰɪŋ˥/, /pʰɪŋ˨˩/
似	/tsʰi:˩˧/
似乎	/tsʰi:˩˧ fu:˨˩/
似到極	/tsʰi:˩˧ tou˧ kɪk˨/
似層層	/tsʰi:˩˧ tsʰɐŋ˨˩ tsʰɐŋ˨˩/
似模似樣	/tsʰi:˩˧ mou˨˩ tsʰi:˩˧ jœ:ŋ˨/
似樣	/tsʰi:˩˧ jœ:ŋ˨/
似足	/tsʰi:˩˧ tsʊk˥/
伽	/ka:˥/, /kʰɛ:˨˩/
伾	/pʰei˥/
佁	/ji:˨˩/, /ji:˩˧/
佃	/ti:n˨/, /tʰi:n˨˩/
佃農	/ti:n˨ nʊŋ˨˩/, /ti:n˨ lʊŋ˨˩/
但	/ta:n˨/
但係	/ta:n˨ hɐi˨/
但凡	/ta:n˨ fa:n˨˩/
佇	/tsʰy:˩˧/
佇立	/tsʰy:˩˧ la:p˨/
佈	/pou˧/
佈告欄	/pou˧ kou˧ la:n˨˩/
佈置	/pou˧ tsi:˧/
佈置定當	/pou˧ tsi:˧ tɪŋ˨ tɔ:ŋ˧/
佉	/kʰɵy˥/
佌	/tsʰi:˧˥/
位	/wɐi˧˥/, /wɐi˨/
位置	/wɐi˨ tsi:˧/
低B	/tɐi˥ pi:˥/
𢫨低	/ŋʊŋ˧˥ tɐi˥/, /ʊŋ˧˥ tɐi˥/
㧬低	/ŋʊŋ˧˥ tɐi˥/, /ʊŋ˧˥ tɐi˥/
𨃩低	/si:n˧ tɐi˥/
𢴈低	/ta:t˧ tɐi˥/
低	/tɐi˥/
低三下四	/tɐi˥ sa:m˥ ha:˨ sei˧/
低下	/tɐi˥ ha:˨/
低人一等	/tɐi˥ jɐn˨˩ jɐt˥ tɐŋ˧˥/
低估	/tɐi˥ ku:˧˥/
低低哋	/tɐi˥ tɐi˥ tei˧˥/
低俗	/tɐi˥ tsʊk˨/
低保	/tɐi˥ pou˧˥/
低價	/tɐi˥ ka:˧/
低劣	/tɐi˥ ly:t˧/
低劣性	/tɐi˥ ly:t˧ sɪŋ˧/
低唱	/tɐi˥ tsʰœ:ŋ˧/
低地	/tɐi˥ tei˨/
低垂	/tɐi˥ sɵy˨˩/
低壓	/tɐi˥ a:t˧/, /tɐi˥ ŋa:t˧/
低威	/tɐi˥ wɐi˥/
低年級	/tɐi˥ ni:n˨˩ kʰɐp˥/, /tɐi˥ li:n˨˩ kʰɐp˥/
低廉	/tɐi˥ li:m˨˩/
低微	/tɐi˥ mei˨˩/
低成本	/tɐi˥ sɪŋ˨˩ pu:n˧˥/
低收入	/tɐi˥ sɐu˥ jɐp˨/
低於	/tɐi˥ jy:˥/
低氣壓	/tɐi˥ hei˧ a:t˧/, /tɐi˥ hei˧ ŋa:t˧/
低沉	/tɐi˥ tsʰɐm˨˩/
低波	/tɐi˥ pɔ:˥/
低波行駛	/tɐi˥ pɔ:˥ hɐŋ˨˩ sɐi˧˥/
低溫	/tɐi˥ wɐn˥/
低溫氣候	/tɐi˥ wɐn˥ hei˧ hɐu˨/
低溫特報	/tɐi˥ wɐn˥ tɐk˨ pou˧/
低潮	/tɐi˥ tsʰi:u˨˩/
低潮期	/tɐi˥ tsʰi:u˨˩ kʰei˨˩/
低熱	/tɐi˥ ji:t˨/
低熱量	/tɐi˥ ji:t˨ lœ:ŋ˨/
低產	/tɐi˥ tsʰa:n˧˥/
低產期	/tɐi˥ tsʰa:n˧˥ kʰei˨˩/
低產量	/tɐi˥ tsʰa:n˧˥ lœ:ŋ˨/
低矮	/tɐi˥ ŋɐi˧˥/, /tɐi˥ ɐi˧˥/
低空	/tɐi˥ hʊŋ˥/
低空飛行	/tɐi˥ hʊŋ˥ fei˥ hɐŋ˨˩/
低窪	/tɐi˥ wa:˥/
低窪地區	/tɐi˥ wa:˥ tei˨ kʰɵy˥/
低端	/tɐi˥ ty:n˥/
低等	/tɐi˥ tɐŋ˧˥/
低等動物	/tɐi˥ tɐŋ˧˥ tʊŋ˨ mɐt˨/
低等植物	/tɐi˥ tɐŋ˧˥ tsɪk˨ mɐt˨/
低等生物	/tɐi˥ tɐŋ˧˥ sɐŋ˥ mɐt˨/
低級	/tɐi˥ kʰɐp˥/
低聲	/tɐi˥ sɪŋ˥/
低聲下氣	/tɐi˥ sɪŋ˥ ha:˨ hei˧/
低胸	/tɐi˥ hʊŋ˥/
低胸裝	/tɐi˥ hʊŋ˥ tsɔ:ŋ˥/
低能	/tɐi˥ nɐŋ˨˩/, /tɐi˥ lɐŋ˨˩/
低能兒童	/tɐi˥ nɐŋ˨˩ ji:˨˩ tʰʊŋ˨˩/, /tɐi˥ lɐŋ˨˩ ji:˨˩ tʰʊŋ˨˩/
低血壓	/tɐi˥ hy:t˧ a:t˧/, /tɐi˥ hy:t˧ ŋa:t˧/
低血糖	/tɐi˥ hy:t˧ tʰɔ:ŋ˨˩/
低調	/tɐi˥ ti:u˨/
低賤	/tɐi˥ tsi:n˨/
低迷	/tɐi˥ mɐi˨˩/
低迷不振	/tɐi˥ mɐi˨˩ pɐt˥ tsɐn˧/
低速	/tɐi˥ tsʰʊk˥/
低音	/tɐi˥ jɐm˥/
低頭	/tɐi˥ tʰɐu˨˩/
低頭不語	/tɐi˥ tʰɐu˨˩ pɐt˥ jy:˩˧/
低頻	/tɐi˥ pʰɐn˨˩/
低飛	/tɐi˥ fei˥/
低點	/tɐi˥ ti:m˧˥/
䀹住	/kɐp˨ tsy:˨/
住	/tsy:˨/
𢭃住	/tɐu˨ tsy:˨/
䀹住佢	/kɐp˨ tsy:˨ kʰɵy˩˧/
住响	/tsy:˨ hœ:ŋ˧˥/
住喺	/tsy:˨ hɐi˧˥/
住宅	/tsy:˨ tsa:k˨/
住宅區	/tsy:˨ tsa:k˨ kʰɵy˥/
住客	/tsy:˨ ha:k˧/
𢷮住度門	/tɵy˧˥ tsy:˨ tou˨ mu:n˧˥/
㨃住度門	/tɵy˧˥ tsy:˨ tou˨ mu:n˧˥/
住戶	/tsy:˨ wu:˨/
住落嚟	/tsy:˨ lɔ:k˨ lei˨˩/
佐	/tsɔ:˧/
佐料	/tsɔ:˧ li:u˨/
佑	/jɐu˨/
佑助	/jɐu˨ tsɔ:˨/
佒	/jœ:ŋ˧˥/, /jœ:ŋ˩˧/
佔	/tsi:m˧/
佔上風	/tsi:m˧ sœ:ŋ˨ fʊŋ˥/
佔位	/tsi:m˧ wɐi˨/
佔便宜	/tsi:m˧ pʰi:n˨˩ ji:˨˩/
佔優勢	/tsi:m˧ jɐu˥ sɐi˧/
佔多數	/tsi:m˧ tɔ:˥ sou˧/
佔據	/tsi:m˧ kɵy˧/
佔有	/tsi:m˧ jɐu˩˧/
佔有慾	/tsi:m˧ jɐu˩˧ jʊk˨/
佔有權	/tsi:m˧ jɐu˩˧ kʰy:n˨˩/
佔有率	/tsi:m˧ jɐu˩˧ lɵt˨/
佔為	/tsi:m˧ wɐi˨˩/
佔為己有	/tsi:m˧ wɐi˨˩ kei˧˥ jɐu˩˧/
佔用	/tsi:m˧ jʊŋ˨/
佔盡	/tsi:m˧ tsɵn˨/
佔綫	/tsi:m˧ si:n˧/
佔線	/tsi:m˧ si:n˧/
