aah	/ˈɑː/
conveniences	/kənvˈiːnɪənsɪz/
convenient	/kənvˈiːnɪənt/
conveniently	/kənvˈiːnɪəntli/
convening	/kənvˈiːnɪŋ/
convenor	/kənvˈɛnɐ/
convenors	/kənvˈɛnəz/
conventicle	/kənvˈɛntɪkə‍l/
conventionalised	/kənvˈɛnʃənəlˌa‍ɪzd/
conventionality	/kənvˌɛnʃənˈælɪti/
conventional	/kənvˈɛnʃənə‍l/
conventionally	/kənvˈɛnʃənə‍li/
convention	/kənvˈɛnʃən/
conventions	/kənvˈɛnʃənz/
convent	/kˈɒnvənt/
convents	/kˈɒnvənts/
converged	/kənvˈɜːd‍ʒd/
converge	/kənvˈɜːd‍ʒ/
convergence	/kənvˈɜːd‍ʒəns/
convergent	/kənvˈɜːd‍ʒənt/
converges	/kənvˈɜːd‍ʒɪz/
converging	/kənvˈɜːd‍ʒɪŋ/
conversant	/kənvˈɜːsənt/
conversationalist	/kɒnvəsˈe‍ɪʃənəlˌɪst/
conversational	/kɒnvəsˈe‍ɪʃənə‍l/
conversationally	/kɒnvəsˈe‍ɪʃənə‍li/
conversation	/kɒnvəsˈe‍ɪʃən/
conversations	/kɒnvəsˈe‍ɪʃənz/
conversazione	/kənvˌɜːsɐzˈa‍ɪ‍əni/
conversed	/kənvˈɜːsd/
conversely	/kənvˈɜːsli/
conversing	/kənvˈɜːsɪŋ/
conversion	/kənvˈɜːʃən/
conversions	/kənvˈɜːʃənz/
converted	/kənvˈɜːtɪd/
converter	/kənvˈɜːtɐ/
converters	/kənvˈɜːtəz/
convertible	/kənvˈɜːtəbə‍l/
convertibles	/kənvˈɜːtəbə‍lz/
converting	/kənvˈɜːtɪŋ/
convertor	/kənvˈɜːtɐ/
convertors	/kənvˈɜːtəz/
convex	/kɒnvˈɛks/
conveyance	/kənvˈe‍ɪəns/
conveyancer	/kənvˈe‍ɪənsɐ/
conveyances	/kənvˈe‍ɪənsɪz/
conveyancing	/kənvˈe‍ɪənsɪŋ/
conveyed	/kənvˈe‍ɪd/
conveyer	/kənvˈe‍ɪɐ/
conveyers	/kənvˈe‍ɪəz/
conveying	/kənvˈe‍ɪɪŋ/
convey	/kənvˈe‍ɪ/
conveyor	/kənvˈe‍ɪɐ/
conveyors	/kənvˈe‍ɪəz/
conveys	/kənvˈe‍ɪz/
convicted	/kənvˈɪktɪd/
convicting	/kənvˈɪktɪŋ/
conviction	/kənvˈɪkʃən/
convictions	/kənvˈɪkʃənz/
convinced	/kənvˈɪnst/
convince	/kənvˈɪns/
convinces	/kənvˈɪnsɪz/
convincing	/kənvˈɪnsɪŋ/
convincingly	/kənvˈɪnsɪŋli/
conviviality	/kənvˌɪvɪˈælɪti/
convivial	/kənvˈɪvɪə‍l/
convocation	/kɒnvəkˈe‍ɪʃən/
convoluted	/kˌɒnvəlˈuːtɪd/
convolution	/kɒnvəlˈuːʃən/
convolutions	/kɒnvəlˈuːʃənz/
convolvulus	/kənvˈɒlvjʊləs/
convoy	/kˈɒnvɔ‍ɪ/
convoys	/kˈɒnvɔ‍ɪz/
convulsed	/kənvˈʌlzd/
convulse	/kənvˈʌls/
convulsing	/kənvˈʌlsɪŋ/
convulsion	/kənvˈʌlʃən/
convulsions	/kənvˈʌlʃənz/
convulsive	/kənvˈʌlsɪv/
cooed	/kˈuːd/
cooee	/kˈuːiː/
cooing	/kˈuːɪŋ/
cookbook	/kˈʊkbʊk/
cookbooks	/kˈʊkbʊks/
cooked	/kˈʊkt/
cookeries	/kˈʊkəɹiz/
cooker	/kˈʊkɐ/
cookers	/kˈʊkəz/
cookery	/kˈʊkəɹi/
cookhouse	/kˈʊkha‍ʊs/
cookie	/kˈʊki/
cookies	/kˈʊkɪz/
cooking	/kˈʊkɪŋ/
cook	/kˈʊk/
cookout	/kˈʊka‍ʊt/
cookouts	/kˈʊka‍ʊts/
cooks	/kˈʊks/
coo	/kˈuː/
cookware	/kˈʊkwe‍ə/
cooky	/kˈʊki/
coolant	/kˈuːlənt/
coolants	/kˈuːlənts/
cooled	/kˈuːld/
cooler	/kˈuːlɐ/
coolers	/kˈuːləz/
coolest	/kˈuːləst/
coolie	/kˈuːli/
coolies	/kˈuːliz/
cooling	/kˈuːlɪŋ/
coolish	/kˈuːlɪʃ/
cool	/kˈuːl/
coolly	/kˈuːli/
coolness	/kˈuːlnəs/
cools	/kˈuːlz/
coomb	/kˈuːm/
coom	/kˈuːm/
coon	/kˈuːn/
coons	/kˈuːnz/
cooped	/kˈuːpt/
cooperage	/kə‍ʊˈɒpəɹɪd‍ʒ/
cooperated	/kə‍ʊˈɒpəɹˌe‍ɪtɪd/
cooperate	/kə‍ʊˈɒpəɹˌe‍ɪt/
cooperates	/kə‍ʊˈɒpəɹˌe‍ɪts/
cooperating	/kə‍ʊˈɒpəɹˌe‍ɪtɪŋ/
cooperation	/kə‍ʊˈɒpəɹˈe‍ɪʃən/
cooperative	/kə‍ʊˈɒpəɹətˌɪv/
cooperatively	/kə‍ʊˈɒpəɹətˌɪvli/
cooperatives	/kə‍ʊˈɒpəɹətˌɪvz/
coopered	/kˈuːpəd/
coopering	/kˈuːpəɹɪŋ/
cooper	/kˈuːpɐ/
coopers	/kˈuːpəz/
coops	/kˈuːps/
coordinated	/kə‍ʊˈɔːdɪnˌe‍ɪtɪd/
coordinating	/kə‍ʊˈɔːdɪnˌe‍ɪtɪŋ/
coordination	/kə‍ʊˈɔːdɪnˈe‍ɪʃən/
coordinator	/kə‍ʊˈɔːdɪnˌe‍ɪtɐ/
coordinators	/kə‍ʊˈɔːdɪnˌe‍ɪtəz/
coos	/kˈuːz/
cootie	/kˈuːti/
cooties	/kˈuːtɪz/
coot	/kˈuːt/
coots	/kˈuːts/
copacetic	/kˌɒpɐsˈɛtɪk/
coped	/kˈə‍ʊpd/
cope	/kˈə‍ʊp/
coper	/kˈə‍ʊpɐ/
copes	/kˈə‍ʊps/
copied	/kˈɒpɪd/
copier	/kˈɒpi‍ə/
copiers	/kˈɒpi‍əz/
copies	/kˈɒpɪz/
coping	/kˈə‍ʊpɪŋ/
copious	/kˈə‍ʊpɪəs/
copiously	/kˈə‍ʊpɪəsli/
cop	/kˈɒp/
copped	/kˈɒpt/
copperhead	/kˈɒpəhˌɛd/
copper	/kˈɒpɐ/
copperplate	/kˈɒpəplˌe‍ɪt/
coppers	/kˈɒpəz/
coppersmith	/kˈɒpəsmˌɪθ/
coppery	/kˈɒpəɹi/
coppiced	/kˈɒpɪst/
coppice	/kˈɒpɪs/
coppices	/kˈɒpɪsɪz/
coppicing	/kˈɒpɪsɪŋ/
copping	/kˈɒpɪŋ/
copra	/kˈɒpɹɐ/
coprolite	/kˈɒpɹəlˌa‍ɪt/
copse	/kˈɒps/
copses	/kˈɒpsɪz/
cops	/kˈɒps/
copter	/kˈɒptɐ/
copters	/kˈɒptəz/
copulated	/kˈɒpjʊlˌe‍ɪtɪd/
copulate	/kˈɒpjʊlˌe‍ɪt/
copulates	/kˈɒpjʊlˌe‍ɪts/
copulating	/kˈɒpjʊlˌe‍ɪtɪŋ/
copulation	/kˌɒpjʊlˈe‍ɪʃən/
copulations	/kˌɒpjʊlˈe‍ɪʃənz/
copybook	/kˈɒpɪbˌʊk/
copycat	/kˈɒpɪkˌæt/
copycats	/kˈɒpɪkˌæts/
copying	/kˈɒpɪɪŋ/
copyist	/kˈɒpɪˌɪst/
copyists	/kˈɒpɪˌɪsts/
copy	/kˈɒpi/
copyrighted	/kˈɒpɪɹˌa‍ɪtɪd/
copyright	/kˈɒpɪɹˌa‍ɪt/
copyrights	/kˈɒpɪɹˌa‍ɪts/
copywriter	/kˈɒpɪɹˌa‍ɪtɐ/
copywriters	/kˈɒpɪɹˌa‍ɪtəz/
copywriting	/kˈɒpɪɹˌa‍ɪtɪŋ/
coquet	/kˈɒke‍ɪ/
coquetry	/kˈɒkwɪtɹi/
coquette	/kəkˈɛt/
coquettish	/kəkˈɛtɪʃ/
coquettishly	/kəkˈɛtɪʃli/
coquille	/kˈɒkwɪl/
coquilles	/kˈɒkwɪlz/
coracle	/kˈɒɹəkə‍l/
coracles	/kˈɒɹəkə‍lz/
coral	/kˈɒɹə‍l/
corals	/kˈɒɹə‍lz/
corbeil	/kˈɔːbe‍ɪl/
corbel	/kˈɔːbə‍l/
corbels	/kˈɔːbə‍lz/
cordage	/kˈɔːdɪd‍ʒ/
corded	/kˈɔːdɪd/
corder	/kˈɔːdɐ/
cordiality	/kˌɔːdɪˈælɪti/
cordial	/kˈɔːdɪəl/
cordially	/kˈɔːdɪəli/
cordials	/kˈɔːdɪəlz/
cording	/kˈɔːdɪŋ/
cordite	/kˈɔːda‍ɪt/
cord	/kˈɔːd/
cordless	/kˈɔːdləs/
cordoned	/kˈɔːdənd/
cordoning	/kˈɔːdənɪŋ/
cordon	/kˈɔːdən/
cordons	/kˈɔːdənz/
cords	/kˈɔːdz/
corduroy	/kˈɔːdjɔːɹˌɔ‍ɪ/
corduroys	/kˈɔːdjɔːɹˌɔ‍ɪz/
cored	/kˈɔːd/
core	/kˈɔː/
coreopsis	/kˌɔːɹɪˈɒpsɪs/
corer	/kˈɔːɹɐ/
cores	/kˈɔːz/
corgi	/kˈɔːɡi/
corgis	/kˈɔːɡɪz/
coria	/kˈɒɹiɐ/
coriander	/kˌɒɹɪˈændɐ/
coring	/kˈɔːɹɪŋ/
corkage	/kˈɔːkɪd‍ʒ/
corkboard	/kˈɔːkbɔːd/
corked	/kˈɔːkt/
corker	/kˈɔːkɐ/
corkers	/kˈɔːkəz/
corking	/kˈɔːkɪŋ/
cork	/kˈɔːk/
corkscrewed	/kˈɔːkskɹuːd/
corkscrewing	/kˈɔːkskɹuːɪŋ/
corkscrew	/kˈɔːkskɹuː/
corkscrews	/kˈɔːkskɹuːz/
corks	/kˈɔːks/
corky	/kˈɔːki/
corm	/kˈɔːm/
cormorant	/kˈɔːməɹənt/
cormorants	/kˈɔːməɹənts/
corms	/kˈɔːmz/
cornball	/kˈɔːnbɔːl/
cornbread	/kˈɔːnbɹɛd/
corncob	/kˈɔːnkɒb/
corncrake	/kˈɔːŋkɹe‍ɪk/
corncrakes	/kˈɔːŋkɹe‍ɪks/
cornea	/kˈɔːni‍ə/
corneal	/kˈɔːni‍əl/
corneas	/kˈɔːni‍əz/
corned	/kˈɔːnd/
cornelian	/kɔːnˈiːli‍ən/
cornel	/kˈɔːnə‍l/
cornerback	/kˈɔːnəbˌæk/
cornered	/kˈɔːnəd/
cornering	/kˈɔːnəɹɪŋ/
corner	/kˈɔːnɐ/
corners	/kˈɔːnəz/
cornerstone	/kˈɔːnəstˌə‍ʊn/
cornerstones	/kˈɔːnəstˌə‍ʊnz/
cornet	/kˈɔːnɪt/
cornets	/kˈɔːnɪts/
cornett	/kˈɔːnɪt/
cornfield	/kˈɔːnfiːld/
cornfields	/kˈɔːnfiːldz/
cornflake	/kˈɔːnfle‍ɪk/
cornflakes	/kˈɔːnfle‍ɪks/
cornflour	/kˈɔːnfla‍ʊ‍ə/
cornflower	/kˈɔːnfla‍ʊɐ/
cornflowers	/kˈɔːnfla‍ʊəz/
cornice	/kˈɔːnɪs/
cornices	/kˈɔːnɪsɪz/
corniche	/kɔːnˈiːʃ/
cornicing	/kˈɔːnɪsɪŋ/
corniest	/kˈɔːnɪəst/
corniness	/kˈɔːnɪnəs/
corning	/kˈɔːnɪŋ/
corn	/kˈɔːn/
cornmeal	/kˈɔːnmi‍əl/
cornpone	/kˈɔːnpə‍ʊn/
cornrows	/kˈɔːnɹə‍ʊz/
corns	/kˈɔːnz/
cornstarch	/kˈɔːnstɑːk/
cornucopia	/kˌɔːnjuːkˈə‍ʊpi‍ə/
cornus	/kˈɔːnəs/
corny	/kˈɔːni/
corolla	/kəɹˈə‍ʊlɐ/
corollary	/kəɹˈɒləɹi/
corollas	/kəɹˈə‍ʊləz/
corona	/kəɹˈə‍ʊnɐ/
coronal	/kˈɒɹɒnə‍l/
coronary	/kˈɒɹənəɹi/
coronas	/kəɹˈə‍ʊnəz/
coronation	/kˌɒɹənˈe‍ɪʃən/
coronations	/kˌɒɹənˈe‍ɪʃənz/
coroner	/kˈɒɹənɐ/
coroners	/kˈɒɹənəz/
coronet	/kˈɒɹənˌɛt/
coronets	/kˈɒɹənˌɛts/
corporal	/kˈɔːpɹə‍l/
corporals	/kˈɔːpɹə‍lz/
corporate	/kˈɔːpəɹət/
corporately	/kˈɔːpəɹətli/
corporation	/kˌɔːpəɹˈe‍ɪʃən/
corporations	/kˌɔːpəɹˈe‍ɪʃənz/
corporeal	/kˈɔːpɔːɹˌi‍əl/
corpse	/kˈɔːps/
corpses	/kˈɔːpsɪz/
corpulence	/kˈɔːpjʊləns/
corpulent	/kˈɔːpjʊlənt/
corpuscle	/kˈɔːpʌskə‍l/
corpuscles	/kˈɔːpʌskə‍lz/
corpuscular	/kɔːpˈʌskjʊlɐ/
corpus	/kˈɔːpəs/
corral	/kəɹˈæl/
corralled	/kəɹˈæld/
corralling	/kəɹˈælɪŋ/
corrals	/kəɹˈælz/
correctable	/kəɹˈɛktəbə‍l/
corrected	/kəɹˈɛktɪd/
correcting	/kəɹˈɛktɪŋ/
correctional	/kəɹˈɛkʃənə‍l/
correction	/kəɹˈɛkʃən/
corrections	/kəɹˈɛkʃənz/
corrective	/kəɹˈɛktɪv/
correct	/kəɹˈɛkt/
correctly	/kəɹˈɛktli/
correctness	/kəɹˈɛktnəs/
corrector	/kəɹˈɛktɐ/
corrects	/kəɹˈɛkts/
correlated	/kˈɒɹɪlˌe‍ɪtɪd/
correlate	/kˈɒɹɪlˌe‍ɪt/
correlates	/kˈɒɹɪlˌe‍ɪts/
correlating	/kˈɒɹɪlˌe‍ɪtɪŋ/
correlation	/kˌɒɹɪlˈe‍ɪʃən/
correlations	/kˌɒɹɪlˈe‍ɪʃənz/
corresponded	/kˌɒɹɪspˈɒndɪd/
correspondence	/kˌɒɹɪspˈɒndəns/
correspondences	/kˌɒɹɪspˈɒndənsɪz/
correspondent	/kˌɒɹɪspˈɒndənt/
correspondents	/kˌɒɹɪspˈɒndənts/
corresponding	/kˌɒɹɪspˈɒndɪŋ/
correspondingly	/kˌɒɹɪspˈɒndɪŋli/
correspond	/kˌɒɹɪspˈɒnd/
corresponds	/kˌɒɹɪspˈɒndz/
corrida	/kˈɒɹɪdɐ/
corridor	/kˈɒɹɪdˌɔː/
corridors	/kˈɒɹɪdˌɔːz/
corrie	/kˈɒɹi/
corries	/kˈɒɹɪz/
corroborated	/kəɹˈɒbəɹˌe‍ɪtɪd/
corroborate	/kəɹˈɒbəɹˌe‍ɪt/
corroborates	/kəɹˈɒbəɹˌe‍ɪts/
corroborating	/kəɹˈɒbəɹˌe‍ɪtɪŋ/
corroboration	/kəɹˌɒbəɹˈe‍ɪʃən/
corroborative	/kəɹˈɒbɹətˌɪv/
corroded	/kəɹˈə‍ʊdɪd/
corrode	/kəɹˈə‍ʊd/
corrodes	/kəɹˈə‍ʊdz/
corroding	/kəɹˈə‍ʊdɪŋ/
corrosion	/kəɹˈə‍ʊʒən/
corrosive	/kəɹˈə‍ʊsɪv/
corrugated	/kˈɒɹəɡˌe‍ɪtɪd/
corrugate	/kˈɒɹəɡˌe‍ɪt/
corrugation	/kˌɒɹuːɡˈe‍ɪʃən/
corrugations	/kˌɒɹuːɡˈe‍ɪʃənz/
corrupted	/kəɹˈʌptɪd/
corrupter	/kəɹˈʌptɐ/
corruptible	/kəɹˈʌptəbə‍l/
corrupting	/kəɹˈʌptɪŋ/
corruption	/kəɹˈʌpʃən/
corruptions	/kəɹˈʌpʃənz/
corrupt	/kəɹˈʌpt/
corruptly	/kəɹˈʌptli/
corrupts	/kəɹˈʌpts/
corsage	/kɔːsˈɑːʒ/
corsages	/kɔːsˈɑːʒɪz/
corsair	/kˈɔːse‍ə/
corsairs	/kˈɔːse‍əz/
corse	/kˈɔːs/
corselet	/kˈɔːsɛlət/
corseted	/kˈɔːsɛtɪd/
corseting	/kˈɔːsɪtɪŋ/
corset	/kˈɔːsɛt/
corsetry	/kˈɔːsɪtɹi/
corsets	/kˈɔːsɛts/
cortex	/kˈɔːtɛks/
cortical	/kˈɔːtɪkə‍l/
corticosteroids	/kˈɔːtɪkˌɒstəɹˌɔ‍ɪdz/
cortisol	/kˈɔːtɪsˌɒl/
cortisone	/kˈɔːtɪsˌə‍ʊn/
corundum	/kəɹˈʌndəm/
coruscating	/kˈɒɹəskˌe‍ɪtɪŋ/
corvette	/kɔːvˈɛt/
corvettes	/kɔːvˈɛts/
corydalis	/kˌɔːɹɪdˈɑːliz/
coshed	/kˈɒʃt/
coshes	/kˈɒʃɪz/
cosh	/kˈɒʃ/
cosier	/kˈə‍ʊzɪɐ/
cosies	/kˈə‍ʊzɪz/
cosiest	/kˈə‍ʊzɪəst/
cosily	/kˈə‍ʊzɪli/
cosine	/kˈə‍ʊsa‍ɪn/
cosines	/kˈə‍ʊsa‍ɪnz/
cosiness	/kˈə‍ʊzɪnəs/
cosmetically	/kɒzmˈɛtɪkli/
cosmetic	/kɒzmˈɛtɪk/
cosmetics	/kɒzmˈɛtɪks/
cosmetologist	/kˌɒzmɪtˈɒləd‍ʒˌɪst/
cosmically	/kˈɒzmɪkli/
cosmic	/kˈɒzmɪk/
cosmogony	/kˈɒzməɡəni/
cosmological	/kˌɒzməlˈɒd‍ʒɪkə‍l/
cosmologist	/kɒzmˈɒləd‍ʒˌɪst/
cosmologists	/kɒzmˈɒləd‍ʒˌɪsts/
cosmology	/kɒzmˈɒləd‍ʒi/
cosmonaut	/kˈɒzmənˌɔːt/
cosmonauts	/kˈɒzmənˌɔːts/
cosmopolis	/kɒzmˈɒpəlˌiz/
cosmopolitanism	/kˌɒzməpˈɒlɪtənˌɪzəm/
cosmopolitan	/kˌɒzməpˈɒlɪtən/
cosmopolitans	/kˌɒzməpˈɒlɪtənz/
cosmos	/kˈɒzmɒs/
cossack	/kˈɒsæk/
cossacks	/kˈɒsæks/
cosseted	/kˈɒsɛtɪd/
cosseting	/kˈɒsɪtɪŋ/
cosset	/kˈɒsɛt/
coss	/kˈɒs/
costa	/kˈɒstɐ/
costal	/kˈɒstə‍l/
costard	/kˈə‍ʊstɑːd/
costed	/kˈɒstɪd/
costermonger	/kˈɒstəmˌɒŋɐ/
costermongers	/kˈɒstəmˌʌŋɡəz/
costing	/kˈɒstɪŋ/
costings	/kˈɒstɪŋz/
cost	/kˈɒst/
costless	/kˈɒstləs/
costlier	/kˈɒsliɐ/
costliest	/kˈɒsliəst/
costly	/kˈɒstli/
costs	/kˈɒsts/
costumed	/kˈɒstjuːmd/
costume	/kˈɒstjuːm/
costumer	/kˈɒstjuːmɐ/
costumes	/kˈɒstjuːmz/
costumiers	/kəstjˈuːmi‍əz/
costuming	/kˈɒstjuːmɪŋ/
cosy	/kˈə‍ʊzi/
cote	/kˈə‍ʊt/
coterie	/kˈə‍ʊtəɹi/
coteries	/kˈə‍ʊtəɹiz/
coterminous	/kˈə‍ʊtəmˌɪnəs/
cotes	/kˈə‍ʊts/
cotillion	/kə‍ʊtˈɪli‍ən/
cotillions	/kə‍ʊtˈɪli‍ənz/
cot	/kˈɒt/
cotoneaster	/kˈɒtə‍ʊnˌæstɐ/
cots	/kˈɒts/
cottage	/kˈɒtɪd‍ʒ/
cottager	/kˈɒtɪd‍ʒɐ/
cottagers	/kˈɒtɪd‍ʒəz/
cottages	/kˈɒtɪd‍ʒɪz/
cottaging	/kˈɒtɪd‍ʒɪŋ/
cotta	/kˈɒtɐ/
cottar	/kˈɒtɐ/
cotter	/kˈɒtɐ/
cotters	/kˈɒtəz/
cottoned	/kˈɒtənd/
cottoning	/kˈɒtənɪŋ/
cotton	/kˈɒtən/
cottonmouth	/kˈɒtənmˌa‍ʊθ/
cottons	/kˈɒtənz/
cottontail	/kˈɒtəntˌe‍ɪl/
cottonwood	/kˈɒtənwˌʊd/
cottony	/kˈɒtəni/
cotyledons	/kˌɒtɪlˈiːdənz/
couchant	/kˈa‍ʊt‍ʃənt/
couched	/kˈa‍ʊt‍ʃt/
couches	/kˈa‍ʊt‍ʃɪz/
couching	/kˈa‍ʊt‍ʃɪŋ/
couch	/kˈa‍ʊt‍ʃ/
cougar	/kˈuːɡɐ/
cougars	/kˈuːɡəz/
coughed	/kˈɒfd/
coughing	/kˈɒfɪŋ/
cough	/kˈɒf/
coughs	/kˈɒfz/
could	/kˈʊd/
couldst	/kˈʊdst/
coulis	/kˈuːliz/
coulomb	/kˈuːlɒm/
coulter	/kˈə‍ʊltɐ/
coulters	/kˈə‍ʊltəz/
council	/kˈa‍ʊnsə‍l/
councillor	/kˈa‍ʊnsɪlɐ/
councillors	/kˈa‍ʊnsɪləz/
councils	/kˈa‍ʊnsə‍lz/
counsel	/kˈa‍ʊnsə‍l/
counselled	/kˈa‍ʊnsə‍ld/
counselling	/kˈa‍ʊnsəlɪŋ/
counsellor	/kˈa‍ʊnsɛlɐ/
counsellors	/kˈa‍ʊnsɛləz/
counsels	/kˈa‍ʊnsə‍lz/
countdown	/kˈa‍ʊntda‍ʊn/
countdowns	/kˈa‍ʊntda‍ʊnz/
counted	/kˈa‍ʊntɪd/
countenanced	/kˈa‍ʊntənənst/
countenance	/kˈa‍ʊntənəns/
countenancing	/kˈa‍ʊntənənsɪŋ/
counteracted	/kˌa‍ʊntəɹˈæktɪd/
counteracting	/kˌa‍ʊntəɹˈæktɪŋ/
counteract	/kˌa‍ʊntəɹˈækt/
counteracts	/kˌa‍ʊntəɹˈækts/
counterargument	/kˈa‍ʊntəɹˌɑːɡjuːmənt/
counterattacked	/kˈa‍ʊntəɹɐtˌækt/
counterattack	/kˈa‍ʊntəɹɐtˌæk/
counterattacks	/kˈa‍ʊntəɹɐtˌæks/
counterbalanced	/kˈa‍ʊntəbˌælənst/
counterbalancing	/kˈa‍ʊntəbˌælənsɪŋ/
counterblast	/kˈa‍ʊntəblˌɑːst/
counterclaim	/kˈa‍ʊntəklˌe‍ɪm/
counterclaims	/kˈa‍ʊntəklˌe‍ɪmz/
counterclockwise	/kˈa‍ʊntəklˌɒkwa‍ɪz/
counterculture	/kˈa‍ʊntəkˌʌlt‍ʃɐ/
countered	/kˈa‍ʊntəd/
counterfactual	/kˈa‍ʊntəfˌækt‍ʃuːə‍l/
counterfeited	/kˈa‍ʊntəfˌɪtɪd/
counterfeiter	/kˈa‍ʊntəfˌɪtɐ/
counterfeiters	/kˈa‍ʊntəfˌɪtəz/
counterfeiting	/kˈa‍ʊntəfˌɪtɪŋ/
counterfeit	/kˈa‍ʊntəfˌɪt/
counterfeits	/kˈa‍ʊntəfˌɪts/
counterfoil	/kˈa‍ʊntəfˌɔ‍ɪl/
countering	/kˈa‍ʊntəɹɪŋ/
counterinsurgency	/kˈa‍ʊntəɹɪnsˌɜːd‍ʒənsi/
counterintelligence	/kˈa‍ʊntəɹɪntˌɛlɪd‍ʒəns/
counterintuitive	/kˌa‍ʊntəɹɪntjˈuːɪtˌɪv/
counterintuitively	/kˌa‍ʊntəɹɪntjˈuːɪtˌɪvli/
counter	/kˈa‍ʊntɐ/
countermanded	/kˈa‍ʊntəmˌændɪd/
countermand	/kˈa‍ʊntəmˌænd/
countermeasure	/kˈa‍ʊntəmˌɛʒɐ/
countermeasures	/kˈa‍ʊntəmˌɛʒəz/
countermove	/kˈa‍ʊntəmˌuːv/
counteroffensive	/kˈa‍ʊntəɹəfˌɛnsɪv/
counterpane	/kˈa‍ʊntəpˌe‍ɪn/
counterpanes	/kˈa‍ʊntəpˌe‍ɪnz/
counterpart	/kˈa‍ʊntəpˌɑːt/
counterparts	/kˈa‍ʊntəpˌɑːts/
counterpointed	/kˈa‍ʊntəpˌɔ‍ɪntɪd/
counterpointing	/kˈa‍ʊntəpˌɔ‍ɪntɪŋ/
counterpoint	/kˈa‍ʊntəpˌɔ‍ɪnt/
counterpoints	/kˈa‍ʊntəpˌɔ‍ɪnts/
counterproductive	/kˌa‍ʊntəpɹədˈʌktɪv/
countersigned	/kˈa‍ʊntəsˌa‍ɪnd/
countersign	/kˈa‍ʊntəsˌa‍ɪn/
counters	/kˈa‍ʊntəz/
countertenor	/kˈa‍ʊntətˌɛnɐ/
countertenors	/kˈa‍ʊntətˌɛnəz/
countervailing	/kˈa‍ʊntəvˌe‍ɪlɪŋ/
counterweight	/kˈa‍ʊntəwˌe‍ɪt/
counterweights	/kˈa‍ʊntəwˌe‍ɪts/
countesses	/kˈa‍ʊntɛsɪz/
countess	/kˈa‍ʊntɛs/
counties	/kˈa‍ʊntɪz/
counting	/kˈa‍ʊntɪŋ/
count	/kˈa‍ʊnt/
countless	/kˈa‍ʊntləs/
countries	/kˈʌntɹɪz/
countrified	/kˈʌntɹɪfˌa‍ɪd/
country	/kˈʌntɹi/
countryman	/kˈʌntɹɪmən/
countrymen	/kˈʌntɹɪmˌɛn/
countryside	/kˈʌntɹɪsˌa‍ɪd/
countrysides	/kˈʌntɹɪsˌa‍ɪdz/
countrywide	/kˈʌntɹɪwˌa‍ɪd/
countrywoman	/kˈʌntɹɪwˌʊmən/
countrywomen	/kˈʌntɹɪwˌɪmɪn/
counts	/kˈa‍ʊnts/
county	/kˈa‍ʊnti/
coupe	/kˈuːp/
coupes	/kˈuːps/
coup	/kˈuːp/
coupled	/kˈʌpə‍ld/
couple	/kˈʌpə‍l/
coupler	/kˈʌplɐ/
couples	/kˈʌpə‍lz/
couplet	/kˈʌplət/
couplets	/kˈʌpləts/
coupling	/kˈʌplɪŋ/
couplings	/kˈʌplɪŋz/
coupon	/kˈuːpɒn/
coupons	/kˈuːpɒnz/
coups	/kˈuːps/
courage	/kˈʌɹɪd‍ʒ/
courageous	/kʌɹˈe‍ɪd‍ʒəs/
courageously	/kʌɹˈe‍ɪd‍ʒəsli/
courageousness	/kʌɹˈe‍ɪd‍ʒəsnəs/
courante	/kɜːɹˈɑːnte‍ɪ/
courgette	/kɜːd‍ʒˈɛt/
courgettes	/kɜːd‍ʒˈɛts/
couriered	/kˈɜːɹi‍əd/
couriering	/kˈɜːɹi‍əɹɪŋ/
courier	/kˈɜːɹɪɐ/
couriers	/kˈɜːɹi‍əz/
coursed	/kˈɔːsd/
course	/kˈɔːs/
courser	/kˈɔːsɐ/
coursers	/kˈɔːsəz/
courses	/kˈɔːsɪz/
coursework	/kˈɔːswɜːk/
coursing	/kˈɔːsɪŋ/
courted	/kˈɔːtɪd/
courteous	/kˈɜːti‍əs/
courteously	/kˈɜːti‍əsli/
courter	/kˈɜːtɐ/
courtesan	/kˈɔːtɪzən/
courtesans	/kˈɔːtɪzənz/
courtesies	/kˈɜːtəsɪz/
courtesy	/kˈɜːtəsi/
courthouse	/kˈɔːtha‍ʊs/
courtier	/kˈɔːtɪɐ/
courtiers	/kˈɔːti‍əz/
courting	/kˈɔːtɪŋ/
court	/kˈɔːt/
courtliness	/kˈɔːtlinəs/
courtly	/kˈɔːtli/
courtroom	/kˈɔːtɹuːm/
courtrooms	/kˈɔːtɹuːmz/
courtship	/kˈɔːtʃɪp/
courtships	/kˈɔːtʃɪps/
courts	/kˈɔːts/
courtyard	/kˈɔːtjɑːd/
courtyards	/kˈɔːtjɑːdz/
couscous	/kˈuːskuːs/
cousin	/kˈʌzən/
cousins	/kˈʌzənz/
couteau	/kˈa‍ʊtə‍ʊ/
couthie	/kˈuːθi/
couth	/kˈuːθ/
couture	/kuːtˈɔː/
couturier	/kˈa‍ʊt‍ʃəɹɪɐ/
couturiers	/kˈa‍ʊt‍ʃəɹˌi‍əz/
covalent	/kˈə‍ʊve‍ɪlənt/
covalently	/kˈə‍ʊve‍ɪləntli/
cove	/kˈə‍ʊv/
covenanted	/kˈʌvənəntɪd/
covenanter	/kˈʌvənəntɐ/
