a	/a/
likl	/likl̩/
likl muos	/likl̩ muɔs/
lili	/lili/
lingguistik	/liŋguistik/
linggwis	/liŋgwis/
lis	/lis/
lis a	/lisa/
lisn	/lisn̩/
litosfier	/litosfɪɛɹ/
lizad	/lizad/
lob	/lob/
long	/loŋ/
lorn	/loɹn/
lou	/lɔu/
luk	/luk/
luo	/lʊo/
luokal	/luɔkal/
luokalaiz	/luɔkalaɪz/
luokiet	/luɔkɪɛt/
luokiet ina	/luɔkɪɛt ina/
luokiet nier	/luɔkɪɛt nɪɛɹ/
Luusi	/luːsi/
Luwi	/luwi/
Luwiiz	/luwi:z/
Maach	/maːtʃ/
maaga	/maːga/
Maak	/maːk/
maakit	/maːkit/
Maakos	/maːkos/
maanin	/maːnin/
mada	/mada/
mada-tong	/madatoŋ/
madan	/madan/
madifai	/madifaɪ/
madifikieshan	/madifikɪɛʃan/
magaziin	/magaziːn/
magij	/magɪdʒ/
magl	/magl̩/
maigrieshan	/maɪgɹɪɛʃan/
Maikal	/maɪkal/
main	/maɪn/
mait	/maɪt/
maitbi	/maɪtbi/
majariti	/madʒaɹiti/
man	/man/
manatii	/manatiː/
manazebl	/manazebl̩/
Manchesta	/mantʃesta/
Mandivl	/mandivl̩/
manggo	/maŋgo/
mangguus	/maŋguːs/
manita	/manita/
Mantiga Bie	/mantiga bɪɛ/
manyufakcha	/maɲufaktʃa/
manyufakcharin	/maɲufaktʃaɹin/
Maruun Tong	/maɹuːntoŋ/
mas	/mas/
mas komiunikieshan	/mas komjunikɪɛʃan/
mashet	/maʃet/
mashiin	/maʃiːn/
mashiin tuul	/maʃiːn tuːl/
mashiinri	/maʃiːnɹi/
matiirialis	/matiːɹialis/
matimatix	/matimatiks/
Matyu	/matju/
medisn	/medisn̩/
meditieshan	/meditɪɛʃan/
meja	/medʒa/
mejament	/medʒament/
mek	/mek/
mekop	/mekop/
memba	/memba/
Mexiko	/meksiko/
mi	/mi/
midiom	/midiom/
midya	/midja/
Mie	/mɪɛ/
Mie Pen	/mɪɛpen/
miebi	/mɪɛbi/
mieja	/mɪɛdʒa/
miel	/mɪɛl/
mien	/mɪɛn/
mienli	/mɪɛnli/
Mieri	/mɪɛɹi/
migl	/migl̩/
Migl Iis	/migl̩ iːs/
migl-klaas	/migl̩ klaːs/
Miglsex Kounti	/migl̩seks kounti/
miin	/miːn/
miinin	/miːnin/
miit	/miːt/
miita	/miːta/
miizolek	/miːzolek/
milichri	/militʃɹi/
miliyan	/milijan/
mimuorial	/mimuɔɹial/
minista	/minista/
mishaneri	/miʃaneɹi/
misnuoma	/misnuɔma/
mixcha	/mikstʃa/
mixcho	/mikstʃo/
Mobie	/mɔbɪɛ/
mongx	/moŋks/
moni	/moni/
Morant Bie	/moɹantbɪɛ/
mountn	/mɔuntn̩/
mout	/mɔut/
muo	/muɔ/
muo dahn	/muɔdã/
muobail	/muɔbaɪl/
muor	/muɔɹ/
muos	/muɔs/
muosli	/muɔsli/
muotaim	/muɔtaɪm/
muuv	/muːv/
muuv frahn	/muːvfɹã/
muuv gaa	/muːvgaː/
myuuzik	/mjuːzik/
myuziom	/mjuziom/
na	/na/
na fi	/nafi/
na kech di riek	/na ketʃ di ɹɪɛk/
na onggl	/na oŋgl̩/
naamali	/naːmali/
Naaman	/naːman/
naasi	/naːsi/
naasti	/naːsti/
naat	/naːt/
Naat Afrika	/naːt afɹika/
Naat Amerika	/naːt amɛɹɪka/
naatiis	/naːtiːs/
naatwes	/naːtwes/
nadan	/nadan/
Naijiiria	/naɪdʒiːɹja/
nain	/naɪn/
naint	/naɪnt/
naintiin	/naɪntiːn/
nais	/naɪs/
nait	/naɪt/
naiz	/naɪz/
nalij	/nalidʒ/
nanfikshan	/nanfikʃan/
Nansi	/nansi/
naritiv	/naɹitiv/
navl	/navl̩/
neba	/neba/
Nedalanz	/nedalanz/
nex	/neks/
nex ier	/neks ɪɛɹ/
niecha	/nɪɛtʃa/
niel	/nɪɛl/
niem	/nɪɛm/
niernis	/nɪɛɹnis/
nieshan	/nɪɛʃan/
nieshan stiet	/nɪɛʃan stɪɛt/
nietib	/nɪɛtib/
nietib langwij	/nɪɛtib laŋwidʒ/
Nigril	/nigɹil/
niigl	/niːgl̩/
niyilis	/nijilis/
no kja	/nokja/
no kja umoch	/nokja umotʃ/
no kwait	/no kwaɪt/
no kya	/no kja/
no kya ou	/no kyja ɔu/
no riili	/no ɹiːli/
nof	/nof/
nof piipl	/nof piːpl̩/
nof tangx	/nof taŋks/
nof-nof	/nofnof/
noftaim	/noftaɪm/
nomba	/nomba/
non	/non/
nondiles	/nondiles/
notn	/notn̩/
notn na go so	/notn̩ nagoso/
Novemba	/novemba/
nuo	/nuɔ/
nuot	/nuɔt/
nuotobl	/nuɔtobl̩/
nuoz	/nuɔz/
nyaamps	/ɲaːmps/
nyam	/ɲam/
nyam aaf	/ɲamaːf/
nyami-nyami	/ɲamiɲami/
nyuu	/ɲuː/
Nyuu Yaak	/njuːjaːk/
Nyuu Yaak Siti	/njuːjaːk siti/
nyuuz	/ɲuːz/
nyuuzpiepa	/ɲuːzpɪɛpa/
ogli	/oglɪ/
okor	/okoɹ/
okro	/okɹo/
olo	/olo/
ombl	/ombl̩/
onggl	/oŋgl̩/
onggl wan	/oŋgl̩ wan/
onjrid	/ondʒɹid/
ont	/ont/
ontalaji	/ontaladʒi/
ontin	/ontin/
ontruut	/ontɹuːt/
op	/op/
op tu	/optu/
opdiet	/opdɪɛt/
opinyan	/opiɲan/
opsaid dong	/opsaɪd doŋ/
Orbort	/oɹbort/
ort	/oɹt/
ortkwiek	/oɹtkwɪɛk/
ou	/ɔu/
oun	/ɔun/
ous	/ɔus/
ousomeba	/ɔusomeba/
Owad	/owad/
ozban	/ozban/
paadn	/paːdn̩/
Paal	/paːl/
paaliment	/paːliment/
paarat	/paːɹat/
paas	/paːs/
paas dong	/paːsdoŋ/
paas ischri	/paːs istʃɹi/
paasl	/paːsl̩/
paasn	/paːsn̩/
paasteriti	/paːsteɹiti/
paat	/paːat/
paat a	/paːta/
paati	/paːti/
Pachrik	/patʃɹik/
pahn	/pã/
pain	/paɪn/
paint	/paɪnt/
paip	/paɪp/
Pakistan	/pakistan/
pakit	/pakit/
paliis	/paliːs/
palisi	/palisi/
palitikal	/palitikal/
palitishan	/palitiʃan/
palitix	/palitiks/
Panish	/panish/
Panish Tong	/paniʃtoŋ/
papila	/papila/
papilieshan	/papilɪɛʃan/
papishuo	/papiʃuɔ/
papyulieshan	/papjulɪɛʃan/
pashan fruut	/paʃan fɹuːt/
pat	/pat/
pati	/pati/
patwa	/patwa/
pel	/pel/
pelin	/pelin/
pepa	/pepa/
picha	/pitʃa/
picha buk	/pitʃa buk/
pie	/pɪɛ/
pie fa	/pɪɛfa/
piej	/pɪɛdʒ/
piepa	/pɪɛpa/
pier	/pɪɛɹ/
pierans	/pɪɛɹans/
pieschri	/pɪɛstʃɹi/
pieshans	/pɪɛʃans/
piich patan	/piːtʃ patan/
piik	/piːk/
piika	/piːka/
piiki-puoki	/piːkipuɔki/
piil	/piːl/
piini	/pːini/
piini-waali	/piːniwaːli/
piipl	/piːpl̩/
Piipl Nashinal Paati	/piːpl̩ naʃinal paːti/
piiriad	/piːɹiad/
piis	/piːs/
Piita	/piːta/
piiz	/piːz/
pikni	/pikni/
pilikin	/pilikin/
pimenta	/pimenta/
pio	/pio/
pit	/pit/
pitieta	/pitɪɛta/
pitni	/pitni/
plaan	/plaːn/
plaant	/plaːnt/
plaantin	/plaːntin/
pleja	/pledʒa/
plie	/plɪɛ/
plies	/plɪɛs/
pliet	/plɪɛt/
plit	/plit/
plom	/plom/
poblik	/poblik/
poblikieshan	/poblikɪɛʃan/
poblish	/pobliʃ/
poblisha	/pobliʃa/
pofaam	/pofaːm/
poliis	/poliːs/
poliisman	/poliːsman/
politikal paati	/politikal paːti/
pongkin	/poŋkin/
ponish	/poniʃ/
ponishment	/poniʃment/
por-kiapita	/poɹ kjapita/
porl	/poɹl/
pormanent	/poɹmanent/
posnal	/posnal/
posnal infamieshan	/posnal infamɪɛʃan/
pospektiv	/pospektiv/
potenshal	/potenʃal/
potienin	/potɪɛnin/
potikila	/potikila/
potikyula	/potikjula/
powa	/powa/
prablem	/pɹablem/
praim	/pɹaɪm/
praim minista	/pɹaɪm minista/
prais	/pɹaɪs/
praivisi	/pɹaɪvisi/
prajek	/pɹadʒek/
pramis	/pɹamis/
pravins	/pɹavins/
pred	/pɹed/
preke	/pɹeke/
priivos	/pɹiːvos/
primenta	/pɹimenta/
prizaab	/pɹizaːb/
prizn	/pɹizn̩/
prodok	/pɹodok/
prodokshan	/pɹodokʃan/
profeshanal chrienin	/pɹofeʃanal tʃɹɪɛnin/
pronongx	/pɹonoŋks/
protek	/pɹotek/
protekshan	/pɹotekʃan/
prumuot	/pɹumuɔt/
pruogram	/pɹuɔgɹam/
pruoses	/pɹuɔses/
pudn	/pudn̩/
pumuot	/pumuɔt/
puo	/puɔ/
puohim	/puɔhim/
puok	/puɔk/
puos	/puɔs/
Puosha	/puɔʃa/
puosi	/puɔsi/
puot	/puɔt/
Puot Antuoni	/puɔt antuɔni/
Puot Maraya	/puotmaɹaja/
Puotlan	/puɔtlan/
Puotmuor	/puotmuoɹ/
pupaa	/pupaː/
pus	/pus/
pwail	/pwaɪl/
pyaa-pyaa	/pjaːpjaː/
pyuuriti	/pjuːɹɪtɪ/
raa	/ɹaː/
raatid	/ɹaːtid/
raip	/ɹaɪp/
rais	/ɹaɪs/
rais ahn piiz	/ɹaɪs ã piːz/
rait	/ɹaɪt/
raita	/ɹaɪta/
raitn	/ɹaɪtn̩/
Raki Paint	/ɹakipaɪnt/
raktuon	/ɹaktuɔn/
rang	/ɹaŋ/
rang-said	/ɹaŋsaɪd/
Raya Byuuno	/ɹajabjuːno/
reda	/ɹeda/
redi	/ɹedɪ/
refa	/ɹefa/
refa tu	/ɹefatu/
refa tu az	/ɹefatuaz/
refarans	/ɹefaɹans/
refarans buk	/ɹefaɹans buk/
refrans	/ɹefɹans/
rekaad	/ɹekaːd/
rekanaiz	/ɹekanaɪz/
rekanaiz se	/ɹekanaɪzse/
rekanishan	/ɹekaniʃan/
respirieshan	/ɹespiɹɪɛʃan/
revaluushan	/ɹevaluːʃan/
revarii	/ɹevaɹiː/
revinyuu	/ɹeviɲuː/
riba	/ɹiba/
ribelyan	/ɹibeljan/
ridim	/ɹidim/
ried	/ɹɪɛd/
riedio	/ɹɪɛdio/
riek	/ɹɪɛk/
rielwie	/ɹɪɛlwɪɛ/
rielwie stieshan	/ɹɪɛlwɪɛ stɪɛʃan/
rien	/ɹɪɛn/
rienj	/ɹɪɛndʒ/
ries	/ɹɪɛs/
riesin	/ɹɪɛsin/
riesizim	/ɹɪɛsizim/
rieza	/ɹɪɛza/
riezn	/ɹɪɛzn̩/
rifaam	/ɹifaːm/
rifain	/ɹifaɪn/
rigl	/ɹigl̩/
riid	/ɹiːd/
riida	/ɹiːda/
riijan	/ɹiːdʒan/
riijanal	/ɹiːdʒanal/
riili	/ɹiːli/
riisant	/ɹiːsant/
riizn	/ɹiːzn̩/
rijais	/ɹijaɪs/
rilaxieshan	/ɹilaksɪɛʃan/
rilieshanship	/ɹilɪɛʃanʃip/
rilietid	/ɹilɪɛtid/
riliis	/ɹiliːs/
rilijan	/ɹilidʒan/
rimien	/ɹimɪɛn/
ripoblik	/ɹipoblik/
Ripoblik a Airilan	/ɹipoblik a aɪɹilan/
Ripoblik a Chaina	/ɹipoblik a tʃaɪna/
riprizent	/ɹipɹizent/
ris	/ɹis/
rispek	/ɹispek/
ritorn	/ɹitoɹn/
Rivazdiel	/ɹivazdɪɛl/
rivuolt	/ɹivuɔlt/
rizaat	/ɹizaːt/
rizolt	/ɹizolt/
romantik	/ɹomantik/
ron	/ɹon/
Ronawe Bie	/ɹonawebɪɛ/
Rosha	/ɹoʃa/
ruod	/ɹuɔd/
Ruoman Kyaklik	/ɹuɔman kjaklik/
Ruoman Kyaklik Choch	/ɹuɔman kjaklik tʃotʃ/
ruos	/ɹuɔs/
ruudnis	/ɹuːdnis/
ruul	/ɹuːl/
ruut	/ɹuːt/
saab	/saːb/
saabis	/saːbis/
saach	/saːtʃ/
Saadi Ariebia	/saːdi aɹɪɛbja/
saaf	/saːf/
saalfish	/saːlfiʃ/
saaya saas	/saːja saːs/
sai	/saɪ/
Saiman	/saɪman/
sait	/saɪt/
saiyans	/saɪjans/
sakrifais	/sakɹifaɪs/
Salaman	/salaman/
Samyuel	/samjuel/
san	/san/
sang	/saŋ/
Sanja	/sandʒa/
Santa Kruuz	/santakɹuːz/
santapii	/santapiː/
sar	/saɹ/
saril	/saɹil/
sasayati	/sasajati/
sataya	/sataja/
Savlamaar	/savlamaːɹ/
sayans	/sajans/
sayantis	/sajantis/
schraip	/stʃɹaɪp/
schuu	/stʃuː/
se	/se/
sebm	/sebm̩/
sebmt	/sebm̩t/
sebmtiin	/sebm̩tiːn/
sebn	/sebn̩/
sebnt	/sebn̩t/
sebntiin	/sebn̩tiːn/
sebral	/sebɹal/
sef	/sef/
sekan	/sekan/
sekl	/sekl̩/
seklment	/sekl̩ment/
sekshan	/sekʃan/
sela	/sela/
Senchral hIeja	/sentʃɹalhɪɛdʒa/
senchri	/sentʃɹi/
senit	/senit/
senita	/senita/
sens	/sens/
sensobl	/sensobl̩/
sensos	/sensos/
sentans	/sentans/
sentri	/sentɹi/
separieshan	/sepaɹɪɛʃan/
Septemba	/septemba/
set a ruul	/setaɹuːl/
sexizim	/seksizim/
sfier	/sfɪɛɹ/
shaachij	/ʃaːtʃɪdʒ/
shaat	/ʃaːt/
shap	/ʃap/
shap-maasa	/ʃapmaːsa/
sheda	/ʃeda/
shiem	/ʃɪɛm/
shier	/ʃɪɛɹ/
shob	/ʃob/
shot	/ʃot/
shout	/ʃɔut/
shudn	/ʃudn̩/
shuga	/ʃuga/
shuga kien	/ʃuga kɪɛn/
shuo	/ʃuɔ/
shuor	/ʃuɔɹ/
shuut	/ʃuːt/
si	/si/
sib	/sib/
sidong	/sidoŋ/
sief	/sɪɛf/
sieka	/sɪɛka/
siel	/sɪɛl/
siem	/sɪɛm/
siem wie	/sɪɛm wɪɛ/
siem wie laka ef	/sɪɛm wɪɛ laka ef/
Siera	/sɪɛra/
siev	/sɪɛv/
sii	/siː/
sii kyaptin	/siː kjaptin/
siikuel	/siːkwel/
siim	/siːm/
siim fi	/siːmfi/
siin	/siːn/
siis	/siːs/
siitorkl	/siːtoɹkl̩/
siizn	/siːzn̩/
siiznin	/siːznin/
sik	/sɪk/
silekshan	/silekʃan/
Silvia	/silvia/
Sin Jiemz	/sindʒɪɛmz/
Sin Kiachrin	/sinkjatʃɹin/
Sin Kits ahn Niivis	/sinkits ã niːvis/
Sin Luusha	/sinluːʃa/
Sin Mieri	/sinmɪɛɹi/
Sin Tamas	/sintamas/
Sin Vinsn ahn di Grenidiinz	/sinvinsn̩ ã di gɹenidiːnz/
sing	/sɪŋ/
singa	/siŋa/
Singgapuor	/siŋgapuoɹ/
siniek	/sinɪɛk/
sinieli	/sɪnɪɛli/
Sint An	/sintan/
Sint Anju	/sintandʒu/
Sint Anz Bie	/sintanzbɪɛ/
Sint Ilizibet	/sintilizibet/
sinting	/sintiŋ/
sipl	/sipl̩/
sista	/sista/
sistim	/sistim/
siti	/siti/
sitieshan	/sitɪɛʃan/
sitiet	/sitɪɛt/
sitizn	/sitizn̩/
sitn	/sitn̩/
six	/siks/
sixt	/sikst/
sixtiin	/sikstiːn/
skai	/skaɪ/
skelyan	/skeljan/
skuul	/skuːl/
skwier	/skwɪɛɹ/
skwier kilomita	/skwɪɛɹ kilomita/
slait	/slaɪt/
slieb	/slɪɛb/
sliip	/sliːp/
sluo	/slʊo/
smaal	/smaːl/
smadi	/smadi/
smadi els	/smadi els/
smadi uu	/smadi uː/
smuok	/smuɔk/
so langx az	/solaŋksaz/
sobjek	/sobdʒek/
sodan	/sodan/
sofa	/sofa/
sofarieshan	/sofaɹɪɛʃan/
sohn	/sõ/
sojes	/sodʒes/
som	/som/
soma	/soma/
somwe	/somwe/
sopm	/sopm̩/
sopraizn	/sopɹaɪzn̩/
sopres	/sopɹes/
Sori Kounti	/soɹi kounti/
sorkl	/soɹkl̩/
sorniem	/soɹnɪɛm/
sorosi	/soɹosi/
soroun	/soɹɔun/
soroun bai	/soɹɔun baɪ/
sostien	/sostɪɛn/
soua	/sɔua/
soun	/sɔun/
sout	/sɔut/
Sout Afrika	/sout afɹika/
Sout Koria	/sout koɹia/
soutiis	/sɔutiːs/
Soutiis Ieja	/soutiːsɪɛdʒa/
soutwes	/sɔutwes/
spais	/spaɪs/
spekchrom	/spektʃɹom/
Spien	/spɪɛn/
spies	/spɪɛs/
spiishiz	/spiːʃiz/
spring	/spɹiŋ/
spring rien	/spɹiŋ ɹɪɛn/
spring waata	/spɹiŋ waːta/
spuoxman	/spuɔksman/
staach	/staːtʃ/
staam	/staːm/
staar	/staːɹ/
staar apl	/staːɹ apl̩/
staarfruut	/staːɹ fɹuːt/
staat	/staːt/
stail	/staɪl/
stie	/stɪɛ/
stiebl	/stɪɛbl̩/
stiej	/stɪɛdʒ/
stieshan	/stɪɛʃan/
stiet	/stɪɛt/
stietos	/stɪɛtos/
Stiibm	/stiːbm̩/
stiim	/stiːm/
stiim powa	/stiːm powa/
stodi	/stodi/
stuon	/stuɔn/
suhn	/sũ/
suimz	/suimz/
Suitsalan	/suitsalan/
sumaal	/sumaːl/
sumuud	/sumuːd/
suoja	/suɔdʒa/
suop	/suɔp/
suos	/suɔs/
suoshal	/suɔʃal/
suoshal woka	/suɔʃal woka/
Suoviet Yuunian	/suovɪɛt juːnjan/
susu	/susu/
suucha	/suːtʃa/
suun	/suːn/
suup	/suːp/
Swiidn	/swiːdn̩/
swiit	/swiːt/
swiit pepa	/swiːt pepa/
swiit pitieta	/swiːt pitɪɛta/
swiit-swiit	/swiːtswiːt/
swimin	/swimin/
taak	/taːk/
taakin	/taːkin/
taat	/taːt/
taat frahn	/taːt fɹã/
taikl	/taɪkl̩/
Tailan	/taɪlan/
taim	/taɪm/
talawa	/talawa/
Tamas	/tamas/
tambrik	/tambɹik/
tambrin	/tambɹin/
tan	/tan/
tan op	/tanop/
tandad	/tandad/
tangx	/taŋks/
tap	/tap/
tapik	/tapik/
taya	/taja/
tayad	/tajad/
tek	/tek/
tek iin	/tek iːn/
tek kier a	/tek kɪɛɹ/
tek plies	/tek plɪɛs/
tek uoba	/tek uɔba/
tekniik	/tekniːk/
tel	/tel/
tel nou	/tel nɔu/
ten	/ten/
tenis	/tenis/
tent	/tent/
tenya	/teɲa/
terichri	/teɹitʃɹi/
tertiin	/teɹtiːn/
textail	/tekstaɪl/
tide	/tide/
tiebl	/tɪɛbl̩/
tiel	/tɪɛl/
ties	/tɪɛs/
tieta	/tɪɛta/
tigeda	/tigeda/
tii	/tiː/
tiich	/tiːtʃ/
tiif	/tiːf/
tiit	/tiːt/
tik	/tik/
tingk	/tiŋk/
tingz	/tiŋz/
tiori	/tioɹi/
tisyu	/tisju/
tix	/tɪks/
toch	/totʃ/
tod	/tod/
todi	/todi/
tof	/tof/
ton	/ton/
tong	/tɔŋ/
Torki	/Toɹki/
torkl	/toɹkl̩/
torm	/toɹm/
tormal	/toɹmal/
tornin paint	/toɹnin paɪnt/
torpmtaim	/toɹpm̩taɪm̩/
toti	/totɪ/
toun	/tɔun/
touzn	/tɔuzn̩/
towa	/towa/
towil	/towil/
tros	/tɹos/
tu	/tu/
tumatis	/tumatis/
tuo	/tuɔ/
tuofuu	/tuɔfuː/
tuon	/tuɔn/
tuonaliti	/tuɔnaliti/
tuori	/tuɔɹi/
tuu	/tuː/
tuul	/tuːl/
twelb	/twelb/
twenti	/twenti/
ud	/ud/
uman	/uman/
umoch	/umotʃ/
unu	/unu/
uoba	/uɔba/
uoba taim	/uɔba taɪm/
uobasior	/uɔbasioɹ/
Uochi Rayas	/uotʃiɹajas/
uol	/uɔl/
uoli	/uɔli/
uoliip	/huɔliːp/
uom	/uɔm/
uon	/uɔn/
uona	/uɔna/
uonaship	/uɔnaʃip/
uonyan	/uoɲan/
uopm	/uɔpm̩/
uopm op	/uɔpm̩ op/
uoshan	/uɔʃan/
uovn	/uovn̩/
uu	/uː/
vais	/vaɪs/
van	/van/
varayati	/vaɹajati/
vejitebl	/vedʒitebl̩/
vieri	/vɪɛɹi/
Vietnam	/vɪɛtnam/
vijan	/vidʒan/
Vik	/vik/
viniga	/viniga/
volkieno	/volkɪɛno/
vorjan	/voɹdʒan/
vowil	/vowil/
vuokal	/vuɔkal/
vuokalis	/vuɔkalis/
vuot	/vuɔt/
wa	/wa/
wa dehn kaal	/wa dehn kaːl/
waak	/waːk/
waal	/waːl/
waam	/waːm/
waapm	/waːpm̩/
waar	/waːɹ/
waata	/waːta/
wahn	/wã/
waidpred	/waɪdpɹed/
waif	/waɪf/
wail	/waɪl/
wails	/waɪls/
wait	/waɪt/
wala	/wala/
wan	/wan/
wan nex	/wan neks/
wan wie	/wan wɪɛ/
wapn-bapn	/wapn̩bapn̩/
was	/was/
wat-lef	/watlef/
wat-liiv	/watliːv/
we miin se	/wemiːnse/
weda	/weda/
wehn	/wẽ/
wes	/wes/
Wes Afrika	/wes afɹika/
Wesmolan	/wesmolan/
Westan Yuurop	/wɛstan juːɹop/
wi	/wi/
wid	/wid/
widout	/widɔut/
widoutn	/widɔutn̩/
wie	/wɪɛ/
wiej	/wɪɛdʒ/
wiet	/wɪɛt/
wiik	/wiːk/
wiil	/wiːl/
winta	/winta/
wod	/wod/
wod-a-mout	/wodamɔut/
wok	/wok/
wok fuos	/wok fuɔs/
woka	/woka/
woklis	/woklis/
wol	/wol/
wori	/woɹi/
worom	/woɹom/
wot	/wot/
wotlis	/wotlis/
wud	/wud/
wuol	/wuɔl/
ya	/ja/
yaad	/jaːd/
yaadi	/jaːdi/
yai	/jaɪ/
yam	/jam/
yampi	/jampi/
yaso	/jaso/
yaxep	/jaksep/
yeside	/jeside/
yong	/joŋ/
yu	/ju/
yumaniti	/jumaniti/
Yunaitid Kindom	/junaɪtid kindom/
Yunaitid Stiet	/junaɪtid stɪɛt/
yunivorsiti	/junivoɹsiti/
Yuu	/juː/
Yuukrien	/juːkɹɪɛn/
yuuman	/juːman/
Yuuna	/yuːna/
yuuniiknis	/juːniːknis/
yuunyan	/juːɲan/
Yuurop	/juːɹop/
yuus	/juːs/
yuusful	/juːsful/
yuusij	/juːsidʒ/
yuut	/juːt/
yuuz	/juːz/
zela	/zela/
zuu	/zuː/
