a	/aː/
Ágústa	/auːkusta/
Ágústi	/auːkustɪ/
Ágústínus	/auːkustiːnʏs/
ágústloka	/auːkustlɔːka/
ágústmánaðar	/auːkustmauːnaðar/
ágústmánuði	/auːkustmauːnʏðɪ/
Ágústs	/auːkus/
Ágústsdóttir	/auːkustouhtɪr/
Ágústsdóttur	/auːkustouhtʏr/
Ágústsson	/auːkusɔːn/
Ágústssonar	/auːkusɔːnar/
Ágústssyni	/auːkusɪːnɪ/
Ágústu	/auːkustʏ/
ágæt	/auːcait/
ágæta	/auːcaita/
ágætan	/auːcaitan/
ágætar	/auːcaitar/
ágætasta	/auːcaitasta/
ágæti	/auːcaitɪ/
ágætir	/auːcaitɪ/
ágætis	/auːcaitɪs/
ágætlega	/auːcaitlɛɣa/
ágætri	/auːcaitrɪ/
ágætt	/auːcaiht/
ágætu	/auːcaitʏ/
ágætum	/auːcaitʏm/
ágætur	/auːcaitʏr/
áhafnar	/auːhapnar/
áhafnarinnar	/auːhapnarɪnar/
áhafnarskipta	/aːuhapnarscɪfta/
áhafnir	/auːhapnɪr/
áhangendur	/auːhauŋkɛntʏr/
áheit	/auːheit/
áhersla	/auːhɛr̥stla/
áherslan	/auːhɛr̥stlan/
áherslu	/auːhɛr̥stlʏ/
áhersluauka	/aːuhɛr̥stlʏœika/
áherslubreytingar	/aːuhɛr̥stlʏprɛːjtiŋkar/
áherslum	/auːhɛr̥stlʏm/
áherslur	/auːhɛr̥stlʏr/
áherslurnar	/auːhɛr̥stlʏnar/
áheyrandi	/aːuhɛjrantɪ/
áheyrenda	/auːheirɛnta/
áheyrendum	/auːheirɛntʏm/
áheyrendur	/auːheirɛntʏr/
áheyrn	/auːheirtn̥/
áheyrnar	/auːheirtnar/
áheyrnarfulltrúar	/aːuhɛjrtnarfʏtl̥tʰruar/
áhlaup	/auːl̥œip/
áhlaupi	/auːl̥œipɪ/
áhlaupið	/auːl̥œipɪð/
áhlaupinu	/auːl̥œipɪnʏ/
áhorf	/auːhɔrv/
áhorfanda	/auːhɔrvanta/
áhorfandann	/auːhɔrvantan/
áhorfandans	/auːhɔrvantans/
áhorfandanum	/auːhɔrvantanʏm/
áhorfandi	/aːuhɔrvantɪ/
áhorfandinn	/auːhɔrvantɪn/
áhorfenda	/auːhɔrvɛnta/
áhorfendum	/auːhɔrvɛntʏm/
áhorfendur	/auːhɔrvɛntʏr/
áhrif	/auːr̥ɪv/
áhrifa	/auːr̥ɪva/
áhrifamaður	/aːur̥ɪvamaːðʏr/
áhrifamátt	/auːr̥ɪvamauht/
áhrifameiri	/auːr̥ɪvameiːrɪ/
áhrifamenn	/auːr̥ɪvamɛn/
áhrifamesta	/auːr̥ɪvamɛsta/
áhrifamesti	/auːr̥ɪvamɛstɪ/
áhrifamestu	/auːr̥ɪvamɛstʏ/
áhrifamikið	/auːr̥ɪvamɪːcɪð/
áhrifamikil	/auːr̥ɪvamɪːcɪl/
áhrifamikill	/auːr̥ɪvamɪːcɪtl̥/
áhrifamikinn	/auːr̥ɪvamɪːcɪn/
áhrifamikla	/auːr̥ɪvamɪhkla/
áhrifamiklir	/auːr̥ɪvamɪhklɪr/
áhrifarík	/auːr̥ɪvariːk/
áhrifaríkt	/auːr̥ɪvarixt/
áhrifasagan	/aːur̥ɪvasaːɣan/
áhrifasvæði	/auːr̥ɪvasvaiːðɪ/
áhrifavald	/auːr̥ɪvavalt/
áhrifavaldar	/auːr̥ɪvavaltar/
áhrifavaldur	/auːr̥ɪvavaltʏr/
áhrifin	/auːr̥ɪvɪn/
áhrifum	/auːr̥ɪvʏm/
áhrærir	/auːr̥airɪr/
áhuga	/auːhʏɣa/
áhugafélag	/auːhʏɣafjɛːlaɣ/
áhugafólk	/auːhʏɣafoul̥k/
áhugafólki	/auːhʏɣafoul̥cɪ/
áhugafólks	/auːhʏɣafoul̥ks/
áhugahópar	/auːhʏɣahouːpar/
áhugahópur	/auːhʏɣahouːpʏr/
áhugalaus	/auːhʏɣalœiːs/
áhugalaust	/auːhʏɣalœist/
áhugaleysi	/auːhʏɣaleiːsɪ/
áhugaleysið	/auːhʏɣaleiːsɪ/
áhugamaður	/auːhʏɣamaːðʏr/
áhugamanna	/auːhʏɣamana/
áhugamanneskja	/aːuhʏɣamanɛsca/
áhugamanni	/aːuhʏɣamanɪ/
áhugamál	/auːhʏɣamauːl/
áhugamáli	/auːhʏɣamauːlɪ/
áhugamálin	/auːhʏɣamauːlɪn/
áhugamálum	/auːhʏɣamauːlʏm/
áhugamenn	/auːhʏɣamɛn/
áhugamönnum	/auːhʏɣamœnʏm/
áhugann	/auːhʏɣan/
áhugasama	/auːhʏɣasama/
áhugasamari	/auːhʏɣasamarɪ/
áhugasamir	/auːhʏɣasamɪr/
áhugasamt	/aːuhʏɣasam̥t/
áhugasamur	/auːhʏɣasamʏr/
áhugasvið	/auːhʏɣasvɪːð/
áhugasöm	/auːhʏɣasœm/
áhugasömum	/auːhʏɣasœmʏm/
áhugaverð	/auːhʏɣavɛrð/
áhugaverða	/auːhʏɣavɛrða/
áhugaverðan	/auːhʏɣavɛrðan/
áhugaverðar	/auːhʏɣavɛrðar/
áhugaverðari	/auːhʏɣavɛrðarɪ/
áhugaverðir	/auːhʏɣavɛrðɪr/
áhugaverðri	/aːuhʏɣavɛrðrɪ/
áhugaverðu	/auːhʏɣavɛrðʏ/
áhugaverðum	/auːhʏɣavɛrðʏm/
áhugaverður	/auːhʏɣavɛrðʏr/
áhugavert	/auːhʏɣavɛr̥t/
áhugi	/auːhʏijɪ/
áhuginn	/auːhʏijɪn/
áhvílandi	/auːkvilantɪ/
áhyggjuefni	/auːhɪcʏɛpnɪ/
áhyggjufull	/auːhɪcʏfʏtl̥/
áhyggjufullir	/auːhɪcʏfʏtlɪr/
áhyggjufullur	/auːhɪcʏfʏtlʏr/
áhyggjulaus	/auːhɪcʏlœiːs/
áhyggjulaust	/auːhɪcʏlœist/
áhyggjulausu	/auːhɪcʏlœiːsʏ/
áhyggjuleysi	/auːhɪcʏleiːsɪ/
áhyggjum	/auːhɪcʏm/
áhyggjur	/auːhɪcʏr/
áhyggjurnar	/auːhɪcʏtnar/
áhyggjusvip	/auːhɪcʏsviːp/
áhætta	/auːhaihta/
áhættan	/auːhaihtan/
áhættu	/auːhaihtʏ/
áhættuíþróttir	/auːhaihtʏiːθrouhtɪtnar/
áhættuna	/auːhaihtʏna/
áhættunni	/auːhaihtʏnɪ/
áhættusamt	/auːhaihtʏsam̥t/
áhættusöm	/auːhaihtʏsœm/
áhættuþáttum	/auːhaihtʏθauhtʏm/
áhættuþáttur	/auːhaihtʏθauhtʏr/
áhættuþætti	/auːhaihtʏθaihtɪ/
áhöfn	/auːhœpn̥/
áhöfnin	/auːhœpnɪn/
áhöfnina	/auːhœpnɪna/
áhöfninni	/auːhœpnɪnɪ/
áhöld	/auːhœlt/
áhöldin	/auːhœltɪn/
áhöldum	/auːhœltʏm/
áin	/auːɪn/
áir	/aːuɪr/
Ákadóttir	/auːkatouhtɪr/
ákafa	/auːkava/
ákafan	/auːkavan/
ákafanum	/auːkavanʏm/
ákafar	/auːkavar/
ákafir	/auːkavɪr/
ákaflega	/auːkavlɛɣa/
ákafri	/auːkavrɪ/
ákaft	/auːkaft/
ákafur	/auːkavʏr/
ákall	/auːkatl̥/
ákalla	/auːkatla/
ákallaði	/auːkatlaðɪ/
ákalli	/auːkatlɪ/
ákavíti	/aːukʰaviːtɪ/
ákefð	/auːcɛvð/
Áki	/auːcɪ/
ákjósanleg	/auːcousanlɛɣ/
ákjósanlegt	/auːcousanlɛxt/
ákjósanlegur	/auːcousanlɛɣʏr/
áklæði	/auːklaiðɪ/
ákúrum	/auːkurʏm/
ákúrur	/auːkurʏr/
ákvað	/auːkvað/
ákvaðst	/auːkvaðst/
ákvarða	/auːkvarða/
ákvarðana	/auːkvarðana/
ákvarðanatöku	/auːkvarðanatʰœːkʏ/
ákvarðanir	/auːkvarðanɪr/
ákvarðanirnar	/aːukʰvarðanɪtnar/
ákvarðar	/auːkvarðar/
ákváðu	/auːkvauðʏ/
ákváðum	/auːkvauðʏm/
ákveð	/auːkʰvɛð/
ákveða	/auːkʰvɛða/
ákveði	/auːkʰvɛðɪ/
ákveðið	/auːkʰvɛðɪð/
ákveðin	/auːkʰvɛðɪn/
ákveðinn	/auːkʰvɛðɪn/
ákveðinna	/auːkʰvɛðɪna/
ákveðinnar	/auːkʰvɛðɪnar/
ákveðinni	/auːkʰvɛðɪnɪ/
ákveðins	/auːkʰvɛðɪns/
ákveðna	/auːkʰvɛðna/
ákveðnar	/auːkʰvɛðna/
ákveðnari	/auːkʰvɛðnarɪ/
ákveðni	/auːkʰvɛðnɪ/
ákveðnir	/auːkʰvɛðnɪr/
ákveðnu	/auːkʰvɛðnʏ/
ákveðnum	/auːkʰvɛðnʏm/
ákveðum	/auːkʰvɛðʏm/
ákveður	/auːkʰvɛðʏr/
ákvæða	/auːkvaiða/
ákvæði	/auːkvaiðɪ/
ákvæðið	/auːkvaiðɪð/
ákvæðinu	/auːkvaiðɪnʏ/
ákvæðis	/auːkvaiðɪs/
ákvæðisins	/auːkvaiðɪsɪns/
ákvæðum	/auːkvaiðʏm/
ákvörðuð	/auːkvœrðʏð/
ákvörðun	/auːkvœrðʏn/
ákvörðunar	/auːkvœrðʏnar/
ákvörðunarlandinu	/aːukʰvœrðʏnarlantɪnʏ/
ákvörðunarstað	/auːkvœrðʏnarstað/
ákvörðunin	/auːkvœrðʏnɪn/
ákvörðunina	/auːkvœrðʏnɪna/
ákvörðuninni	/auːkvœrðʏnɪnɪ/
ákvörðunum	/auːkvœrðʏnʏm/
ákæra	/auːcaira/
ákærð	/auːcairð/
ákærða	/auːcairða/
ákærði	/auːcairðɪ/
ákærðir	/auːcairðɪr/
ákærðu	/auːcairðʏ/
ákærður	/auːcairðʏr/
ákært	/auːcair̥t/
ákæru	/auːcairʏ/
ákærulið	/auːcairʏlɪːð/
ákæruliðum	/auːcairʏlɪːðʏm/
ákærunnar	/auːcairʏnar/
ákærunni	/auːcairʏnɪ/
ákærur	/auːcairʏr/
ákæruvaldið	/auːcairʏvaltɪð/
ákæruvaldsins	/auːcairʏvaltsɪns/
áköf	/auːkœv/
áköfu	/auːkœvʏ/
ál	/auːl/
Álaborg	/auːlapɔrk/
álag	/auːlaɣ/
álagi	/auːlaijɪ/
álagið	/auːlaijɪð/
álagning	/auːlakniŋk/
álagningar	/auːlakniŋkar/
álagningarstofn	/aːulakniŋkarstɔpn̥/
álagningu	/auːlakniŋkʏ/
álags	/auːlaxs/
álagstímum	/auːlaxstiːmʏm/
Álandseyjum	/auːlantseiːjʏm/
áleiðis	/auːleiðɪs/
áleit	/auːleit/
áleitið	/auːleitɪð/
áleitin	/auːleitɪn/
áleitinn	/auːleitɪn/
áleitnar	/auːleihtnar/
álengdar	/auːleiŋtar/
áletrun	/auːlɛtrʏn/
áletruninni	/auːlɛtrʏnɪnɪ/
álfa	/aulva/
Álfabakka	/aulvapahka/
álfabikar	/aulvapɪːkar/
Álfadal	/aulvataːl/
álfar	/aulvar/
Álfaskeiði	/aulvasceiðɪ/
álfastaðir	/aulvastaːðɪr/
álfatrú	/aulfatʰruː/
Álfatúni	/aulvatuːnɪ/
álfelgur	/aulfɛlkʏr/
Álfheiður	/aulvheiðʏr/
Álfheima	/aulvheima/
Álfheimar	/aulvheimar/
Álfheimum	/aulvheimʏm/
Álfholti	/aulfhɔl̥tɪ/
Álfhóli	/aulvhoulɪ/
Álfhólsvegi	/aulfhoulsveiːjɪ/
álfkona	/aulvkɔna/
álframleiðslu	/aulframleiðstlʏ/
Álfrún	/aulvrun/
Álfsnesi	/aulstnɛsɪ/
Álfsstöðum	/aulstœðʏm/
álft	/aul̥t/
Álftafirði	/aul̥tafɪrðɪ/
Álftagerði	/aul̥tacɛrðɪ/
Álftamýri	/aul̥tamiːrɪ/
Álftanes	/aul̥tanɛːs/
Álftanesi	/aul̥tanɛːsɪ/
Álftaness	/aul̥tanɛs/
Álftanesskóla	/aul̥tanɛskouːla/
álftir	/aul̥tɪr/
álfum	/aulvʏm/
álfuna	/aulvʏna/
álfunnar	/aulvʏnar/
álfunni	/aulvʏnɪ/
álfur	/aulvʏr/
álfurinn	/aulvʏrɪn/
álfyrirtækisins	/aːulfɪrɪrtʰaːjcɪsɪns/
álfþórsson	/aulvθour̥sɔːn/
áli	/auːlɪ/
áliðið	/auːlɪðɪð/
áliðnu	/auːlɪðnʏ/
áliðnum	/auːlɪðnʏm/
álinn	/auːlɪn/
álit	/auːlɪt/
álita	/auːlɪta/
álitaefni	/auːlɪtaɛpnɪ/
álitaefnum	/aːulɪtaɛpnʏm/
álitamál	/auːlɪtamauːl/
áliti	/auːlɪtɪ/
álitið	/auːlɪtɪð/
álitin	/auːlɪtɪn/
álitinn	/auːlɪtɪn/
álitinu	/auːlɪtɪnʏ/
álitlegum	/aːulɪtlɛːɣʏm/
álitlegur	/auːlɪtlɛɣʏr/
álitnir	/auːlɪhtnɪr/
álits	/auːlɪts/
álitsbeiðni	/aːulɪtspɛjðnɪ/
álitsgerð	/auːlɪtscɛrð/
álitu	/auːlɪtʏ/
álitum	/auːlɪtʏm/
álíka	/auːlika/
álítur	/auːlitʏr/
álkubyggð	/aul̥kʏpɪɣð/
álkuna	/aul̥kʏna/
áll	/autl̥/
álmu	/aulmʏ/
álmunni	/aulmʏnɪ/
álnir	/aulnɪr/
álpappír	/aulpahpir/
álpast	/aul̥past/
álplata	/aːulpʰlata/
áls	/auls/
áltaki	/aultʰacɪ/
álút	/auːlut/
álútir	/auːlutɪr/
álútur	/auːlutʏr/
álver	/aulvɛr/
álvera	/aulvɛra/
álveri	/aulvɛrɪ/
álverið	/aulvɛrɪð/
álverinu	/aulvɛrɪnʏ/
álverksmiðju	/aulvɛr̥ksmɪðjʏ/
álvers	/aulvɛr̥s/
álversandstæðingum	/aulvɛr̥santstajðiŋkʏm/
álversins	/aulvɛr̥sɪns/
álykta	/auːlɪxta/
ályktað	/auːlɪxtað/
ályktaði	/auːlɪxtaðɪ/
ályktanir	/auːlɪxtanɪr/
ályktar	/auːlɪxtar/
ályktun	/auːlɪxtʏn/
ályktunina	/aːulɪxtʏnɪna/
ályktuninni	/auːlɪxtʏnɪnɪ/
ályktunum	/auːlɪxtʏnʏm/
álög	/auːlœɣ/
álögum	/auːlœɣʏm/
álögur	/auːlœɣʏr/
ám	/auːm/
ámátlega	/auːmautlɛɣa/
áminna	/auːmɪna/
áminning	/auːmɪniŋk/
áminningar	/auːmɪniŋkar/
áminningu	/auːmɪniŋkʏ/
áminnti	/auːmɪn̥tɪ/
ámóta	/auːmouta/
Ámundadóttir	/auːmʏntatouhtɪr/
Ámundakotið	/auːmʏntakʰɔːtɪð/
Ámundakotsfeðgarnir	/auːmʏntakɔtsfɛðkatnɪr/
ámæli	/auːmailɪ/
ámælisvert	/auːmailɪsvɛr̥t/
án	/auːn/
ána	/auːna/
Ánanaust	/auːnanœist/
ánauð	/auːnœið/
ánetjast	/auːnɛtjast/
ánna	/auna/
ánni	/aunɪ/
ánum	/auːnʏm/
ánægð	/auːnaiɣð/
ánægða	/auːnaiɣða/
ánægðan	/auːnaiɣðan/
ánægðar	/auːnaiɣðar/
ánægðari	/auːnaiɣðarɪ/
ánægðir	/auːnaiɣðɪr/
ánægður	/auːnaiɣðʏr/
ánægja	/auːnaija/
ánægjan	/auːnaijan/
ánægju	/auːnaijʏ/
ánægjuefni	/auːnaijʏɛpnɪ/
ánægjuleg	/auːnaijʏlɛɣ/
ánægjulega	/auːnaijʏlɛɣa/
ánægjulegar	/auːnaijʏlɛɣar/
ánægjulegasti	/auːnaijʏlɛːɣastɪ/
ánægjulegra	/auːnaijʏlɛɣra/
ánægjulegt	/auːnaijʏlɛxt/
ánægjulegu	/auːnaijʏlɛɣʏ/
ánægjulegur	/auːnaijʏlɛɣʏr/
ánægjunnar	/auːnaijʏnar/
ánægjunni	/auːnaijʏnɪ/
ánægjustundir	/auːnaijʏstʏntɪr/
ánægjustundirnar	/auːnaijʏstʏntɪtnar/
ánægt	/auːnaixt/
áorkað	/auːɔr̥kað/
ár	/auːr/
ára	/auːra/
árabil	/auːrapɪl/
árabili	/auːrapɪlɪ/
árabilinu	/auːrapɪlɪnʏ/
áralanga	/auːralauŋka/
áralangar	/aːuralauŋkar/
áramót	/auːramout/
áramóta	/auːramouta/
áramótin	/auːramoutɪn/
áramótum	/auːramoutʏm/
árangri	/auːrauŋkrɪ/
árangrinum	/auːrauŋkrɪnʏm/
árangur	/auːrauŋkʏr/
árangurinn	/auːrauŋkʏrɪŋ/
árangurs	/auːrauŋkʏr̥s/
árangurslausri	/auːrauŋkʏr̥stlœisrɪ/
árangurslaust	/auːrauŋkʏr̥stlœist/
árangursmat	/aːurauŋkʏr̥smaːt/
árangursrík	/auːrauŋkʏrsriːk/
árangursríkt	/auːrauŋkʏrsrixt/
árangursríkum	/aːurauŋkʏr̥sriːkʏm/
árangursskýrslu	/aːurauŋkʏr̥scistlʏ/
árangursstjórnun	/aːurauŋkʏr̥stjourtnʏn/
áranna	/auːrana/
árans	/auːrans/
árar	/auːrar/
áraraðir	/auːraraːðɪr/
árarnar	/auːratnar/
áratug	/auːratʏːɣ/
áratuga	/auːratʏːɣa/
áratugar	/auːratʏːɣar/
áratugarins	/auːratʏːɣarɪns/
áratugaskeið	/auːratʏɣasceiːð/
áratugi	/auːratʏːjɪ/
áratugina	/auːratʏːjɪna/
áratuginn	/auːratʏːjɪn/
áratugir	/auːratʏːjɪr/
áratugnum	/auːratʏknʏm/
áratugs	/aːuratʰʏks/
áratugum	/auːratʏːɣʏm/
áratugur	/auːratʏːɣʏr/
áratugurinn	/auːratʏːɣʏrɪn/
árás	/auːraus/
árása	/auːrausa/
árásanna	/auːrausana/
árásar	/auːrausar/
árásarinnar	/auːrausarɪnar/
árásarmaðurinn	/auːrausarmaːðʏrɪn/
árásin	/auːrausɪn/
árásina	/auːrausɪna/
árásinni	/auːrausɪnɪ/
árásir	/auːrausɪr/
árásirnar	/auːrausɪtnar/
árásum	/auːrausʏm/
árásunum	/auːrausɔnʏm/
árátta	/auːrauhta/
áráttu	/auːrauhtʏ/
árbak	/aurpaːk/
árbakka	/aurpahka/
árbakkann	/aurpahkan/
árbakkanum	/aurpahkanʏm/
Árborg	/aurpɔrk/
Árborgar	/aurpɔrkar/
árbók	/aurpouk/
Árbæ	/aurpai/
Árbæjar	/aurpaijar/
Árbæjarapótek	/aurpaijaraːpoutɛk/
Árbæjarkirkja	/aurpaijarcɪr̥ca/
Árbæjarkirkju	/aurpaijarcɪr̥cʏ/
Árbæjarlaug	/aurpaijarlœiːɣ/
Árbæjarsafn	/aurpaijarsapn̥/
Árbæjarsafni	/aurpaijarsapnɪ/
Árbæjarsafns	/aurpaijarsaps/
Árbæjarskóla	/aurpaijarskouːla/
Árbænum	/aurpainʏm/
Árbær	/aurpair/
Árbærinn	/aurpairɪn/
árdaga	/aurtaka/
Árdal	/aurtal/
árdegis	/aurteijɪs/
árdölum	/aurtœlʏm/
áreiðanleg	/auːreiðanlɛɣ/
áreiðanlega	/auːraiðanlɛɣa/
áreiðanlegar	/auːreiðanlɛɣar/
áreiðanlegt	/auːreiðanlɛxt/
áreiðanlegum	/auːreiðanlɛɣʏm/
áreiðanleika	/auːreiðanleiːka/
áreiti	/auːreitɪ/
áreitni	/auːreihtnɪ/
árekstra	/auːrɛkstra/
árekstraprófanir	/aːurɛkstrapʰrouːanɪr/
árekstrar	/auːrɛkstrar/
árekstri	/auːrɛkstrɪ/
árekstrinum	/auːrɛkstrɪnʏm/
árekstrum	/auːrɛkstrʏm/
árekstur	/auːrɛkstʏr/
áreksturinn	/auːrɛkstʏrɪn/
áreynslan	/auːreinstlan/
áreynslu	/auːreinstlʏ/
áreynslulaust	/auːreinstlʏlœist/
áreyrum	/aːurɛjrʏm/
árétta	/auːrjɛhta/
áréttað	/auːrjɛhtað/
áréttaði	/auːrjɛhtaðɪ/
áréttar	/auːrjɛhtar/
árfarvegir	/aur̥farvɛjɪr/
árferði	/aurfɛrðɪ/
árganga	/aurkauŋka/
árgangana	/aurkauŋkana/
árgangar	/aurkauŋkar/
árgangi	/aurkauɲcɪ/
árgangsmótið	/aurkauŋsmouːtɪð/
árgangur	/aurkauŋkʏr/
árgarðshorn	/aurkarðshɔtn̥/
árgerð	/aurcɛrð/
Árgerði	/auːrcɛrðɪ/
árgjöll	/aurcœtl̥/
árgöngum	/aurkœiŋkʏm/
ári	/auːrɪ/
árið	/auːrɪð/
árin	/auːrɪn/
árina	/auːrɪna/
árinnar	/auːrɪnar/
árinni	/auːrɪnɪ/
árinu	/auːrɪnʏ/
áritað	/auːrɪtað/
áritun	/auːrɪtʏn/
áríðandi	/auːriðantɪ/
árla	/aurtla/
árleg	/aurlɛɣ/
árlega	/aurlɛɣa/
árlegan	/aurlɛɣan/
árlegar	/aurlɛɣar/
árlegi	/aurleijɪ/
árlegri	/aurlɛɣrɪ/
árlegs	/aurlɛxs/
árlegt	/aurlɛxt/
árlegu	/aurlɛɣʏ/
árlegum	/aurlɛɣʏm/
árlegur	/aurlɛɣʏr/
Ármann	/aurman/
Ármanni	/aurmanɪ/
Ármanns	/aurmans/
Ármannsdóttir	/aurmanstouhtɪr/
Ármannsdóttur	/aurmanstouhtʏr/
Ármannsfell	/aurmansfɛtl̥/
Ármannsson	/aurmansɔːn/
Ármannssonar	/aurmansɔːnar/
ármótahyl	/aurmoutahɪːl/
ármótunum	/aurmoutɔnʏm/
Ármúla	/aurmula/
Ármúlaskóla	/aurmulaskouːla/
ármynnum	/aurmɪnʏm/
Árna	/autna/
Árnadóttir	/autnatouhtɪr/
Árnadóttur	/autnatouhtʏr/
árnað	/aurtnað/
Árnagarði	/aurtnakarðɪ/
ÁrnaKári	/aurtna kʰauːrɪ/
árnar	/aurtnar/
Árnason	/aurtnasɔːn/
Árnasonar	/aurtnasɔːnar/
Árnastofnun	/aurtnastɔpnʏn/
Árnasyni	/aurtnasɪːnɪ/
Árnes	/aurnes/
Árneshreppi	/aurnesr̥ɛhpɪ/
Árnesi	/aurnesɪ/
Árnesinga	/aurnɛsiŋka/
árness	/aurnɛs/
Árnessýslu	/aurnɛsistlʏ/
Árni	/autnɪ/
Árný	/aurni/
áróðri	/auːrouðrɪ/
áróður	/auːrouðʏr/
Árósum	/auːrousʏm/
árrof	/aurɔv/
árs	/aur̥s/
ársalur	/aur̥salʏr/
ársbyrjun	/aur̥spɪrjʏn/
ársfjórðung	/aur̥sfjourðuŋk/
ársfjórðungi	/aur̥sfjourðuɲcɪ/
ársfjórðungs	/aur̥sfjourðuŋks/
ársfjórðungslega	/aur̥sfjourðuŋkstlɛɣa/
ársfundar	/aur̥sfʏntar/
ársfundi	/aur̥sfʏntɪ/
ársfundur	/aur̥sfʏntʏr/
ársgamla	/aur̥skamla/
ársgrundvelli	/aur̥skrʏntvɛtlɪ/
árshátíð	/aur̥shautið/
árshátíðinni	/aur̥shautiðɪnɪ/
ársins	/aur̥sɪns/
árskaup	/aur̥skʰœip/
Árskógar	/aur̥skouar/
Árskógi	/aur̥skoujɪ/
Árskógsströnd	/aur̥skouɣstrœnt/
Árskógur	/aur̥skouʏr/
árskú	/aur̥sku/
árslaun	/aur̥stlœin/
árslok	/aur̥stlɔk/
ársloka	/aur̥stlɔka/
ársreikninga	/aur̥sreihkniŋka/
ársreikningar	/aur̥srɛjhkniŋkar/
ársreikningi	/aur̥sreihkniɲcɪ/
ársreikningsins	/aur̥srɛjhkniŋsɪns/
ársreikningum	/aur̥sreihkniŋkʏm/
ársrit	/aur̥srɪt/
ársskýrslu	/aur̥scistlʏ/
ársskýrslur	/aur̥scistlʏr/
árstíð	/aur̥stið/
árstíðabundinni	/aur̥stiðapʏntɪnɪ/
árstíðabundnir	/aur̥stiðapʏntnɪr/
árstíðir	/aur̥stʰiðɪr/
árstíðirnar	/aur̥stiðɪtnar/
árstíðum	/aur̥stiðʏm/
árstíma	/aur̥stima/
árstímum	/aur̥stimʏm/
ársverk	/aur̥svɛr̥k/
ársþing	/aur̥sθiŋk/
ársþingi	/aur̥sθiɲcɪ/
Ársæl	/aur̥sail/
Ársæli	/aur̥sailɪ/
Ársæll	/aur̥saitl̥/
Ársælsson	/aur̥sailsɔːn/
ártal	/aur̥tʰal/
ártalið	/aur̥talɪð/
Ártún	/aur̥tun/
Ártúni	/aur̥tunɪ/
Ártúnsskóla	/aur̥tunskouːla/
ártöl	/aur̥tœl/
árum	/auːrʏm/
árunum	/auːrɔnʏm/
Árvakur	/aurvakʏr/
árvekni	/aurvɛhknɪ/
árviss	/aurvɪs/
Árvöllum	/aurvœtlʏm/
árþúsund	/aurθusʏnt/
áræddi	/auːraitɪ/
áræði	/auːraiðɪ/
áræðinn	/auːraiðɪn/
ás	/auːs/
ása	/auːsa/
ásaka	/auːsaka/
ásakað	/auːsakað/
ásakaði	/auːsakaðɪ/
ásakana	/auːsakana/
ásakanir	/auːsakanɪr/
ásakanirnar	/auːsakanɪtnar/
ásamt	/auːsam̥t/
ásana	/auːsana/
ásar	/aːusar/
ásatrú	/aːusatʰruː/
ásatrúar	/aːusatʰruːar/
ásátt	/auːsauht/
ásáttir	/auːsauhtɪr/
Ásberg	/auːspɛrk/
Ásbirni	/auːspɪtnɪ/
Ásbjarnarson	/auspjatnarsɔːn/
Ásbjörn	/auːspjœtn̥/
Ásbjörns	/auːspjœrs/
Ásbjörnsdóttir	/auspjœr̥stouhtɪr/
Ásbjörnsson	/auːspjœrsɔːn/
Ásbyrgi	/auːspɪrcɪ/
Ásdís	/austis/
Ásdísar	/austiːsar/
Ásdísi	/austisɪ/
ásetning	/auːsɛhtniŋk/
ásetningi	/auːsɛhtniɲcɪ/
ásetningur	/auːsɛhtniŋkʏr/
ásett	/auːsɛht/
ásettu	/auːsɛhtʏ/
Ásgarði	/auːskarðɪ/
Ásgarður	/auːskarðʏr/
Ásgeir	/auːsceir/
Ásgeiri	/auːsceirɪ/
Ásgeirs	/auːsceir̥s/
Ásgeirsdóttir	/auːsceir̥stouhtɪr/
Ásgeirsdóttur	/auːsceir̥stouhtʏr/
Ásgeirsson	/auːsceir̥sɔːn/
Ásgeirssonar	/auːsceir̥sɔːnar/
Ásgeirssyni	/auːsceir̥sɪːnɪ/
Ásgerði	/auːscɛrðɪ/
Ásgerður	/auːscɛrðʏr/
Ásgrím	/auːskrim/
Ásgríms	/auːskrims/
Ásgrímsdóttir	/auːskrimstouhtɪr/
Ásgrímsson	/auːskrimsɔːn/
Ásgrímssonar	/auːskrimsɔːnar/
Ásgrímssyni	/auːskrimsɪːnɪ/
Ásgrímur	/auːskrimʏr/
Áshildur	/auːshɪltʏr/
ási	/auːsɪ/
ásigkomulagi	/auːsɪɣkʰɔmʏlaːjɪ/
ásinn	/auːsɪn/
ásjáandi	/auːsjauantɪ/
ásjár	/auːsjaur/
ásjóna	/auːsjouna/
ásjónu	/auːsjounʏ/
Áskel	/auːscɛl/
Áskell	/auːscɛtl̥/
áskelsdóttir	/aːuscʰɛlstouhtɪr/
Áskelsson	/auːscɛlsɔːn/
Áskelssonar	/auːscɛlsɔːnar/
Áskirkja	/auːscɪr̥ca/
Áskirkju	/auːscɪr̥cʏ/
áskoranir	/auːskɔranɪr/
áskorendur	/aːuskɔrɛntʏr/
áskorun	/auːskɔrʏn/
áskorunin	/auːskɔrʏnɪn/
áskoruninni	/auːskɔrʏnɪnɪ/
áskotnast	/auːskɔhtnast/
áskrifandi	/auːskrɪvantɪ/
áskrifendum	/auːskrɪvɛntʏm/
áskrifendur	/auːskrɪvɛntʏr/
áskrift	/auːskrɪft/
áskriftar	/aːuskrɪftar/
